receipt_id,receipt_date,customer_id,invoice_id,amount,payment_method,bank_account,reference
RCPT-2025-00019,2025-03-15,CUST-0001,INV-2025-00031,1717336,CASH,Cash on Hand,Cash sale settlement
RCPT-2025-00020,2025-04-15,CUST-0001,INV-2025-00034,34800000,CASH,Cash on Hand,Cash sale settlement
RCPT-2025-00021,2025-04-15,CUST-0035,INV-2025-00040,4500000,CASH,Cash on Hand,Cash sale settlement
RCPT-2025-00022,2025-04-15,CUST-0001,INV-2025-00042,1515296,CASH,Cash on Hand,Cash sale settlement
RCPT-2025-00023,2025-05-15,CUST-0001,INV-2025-00045,37120000,CASH,Cash on Hand,Cash sale settlement
RCPT-2025-00024,2025-05-15,CUST-0035,INV-2025-00051,4800000,CASH,Cash on Hand,Cash sale settlement
RCPT-2025-00025,2025-05-15,CUST-0001,INV-2025-00053,1616316,CASH,Cash on Hand,Cash sale settlement
RCPT-2025-00026,2025-06-15,CUST-0001,INV-2025-00056,39440000,CASH,Cash on Hand,Cash sale settlement
RCPT-2025-00027,2025-06-15,CUST-0035,INV-2025-00062,5100000,CASH,Cash on Hand,Cash sale settlement
RCPT-2025-00028,2025-06-15,CUST-0001,INV-2025-00064,1717336,CASH,Cash on Hand,Cash sale settlement
RCPT-2025-00029,2025-07-15,CUST-0001,INV-2025-00067,39440000,CASH,Cash on Hand,Cash sale settlement
RCPT-2025-00030,2025-07-15,CUST-0035,INV-2025-00073,5100000,CASH,Cash on Hand,Cash sale settlement
RCPT-2025-00031,2025-07-15,CUST-0001,INV-2025-00075,1717336,CASH,Cash on Hand,Cash sale settlement
RCPT-2025-00032,2025-08-15,CUST-0001,INV-2025-00078,39440000,CASH,Cash on Hand,Cash sale settlement
RCPT-2025-00033,2025-08-15,CUST-0035,INV-2025-00084,5100000,CASH,Cash on Hand,Cash sale settlement
RCPT-2025-00034,2025-08-15,CUST-0001,INV-2025-00086,1717336,CASH,Cash on Hand,Cash sale settlement
RCPT-2025-00035,2025-09-15,CUST-0001,INV-2025-00089,41760000,CASH,Cash on Hand,Cash sale settlement
RCPT-2025-00036,2025-09-15,CUST-0035,INV-2025-00095,5400000,CASH,Cash on Hand,Cash sale settlement
RCPT-2025-00037,2025-09-15,CUST-0001,INV-2025-00097,1818356,CASH,Cash on Hand,Cash sale settlement
RCPT-2025-00038,2025-10-15,CUST-0001,INV-2025-00100,41760000,CASH,Cash on Hand,Cash sale settlement
RCPT-2025-00039,2025-10-15,CUST-0035,INV-2025-00106,5400000,CASH,Cash on Hand,Cash sale settlement
RCPT-2025-00040,2025-10-15,CUST-0001,INV-2025-00108,1818356,CASH,Cash on Hand,Cash sale settlement
RCPT-2025-00041,2025-11-15,CUST-0001,INV-2025-00111,41760000,CASH,Cash on Hand,Cash sale settlement
RCPT-2025-00042,2025-11-15,CUST-0035,INV-2025-00117,5400000,CASH,Cash on Hand,Cash sale settlement
RCPT-2025-00043,2025-11-15,CUST-0001,INV-2025-00119,1818356,CASH,Cash on Hand,Cash sale settlement
RCPT-2025-00044,2025-12-15,CUST-0001,INV-2025-00122,41760000,CASH,Cash on Hand,Cash sale settlement
RCPT-2025-00045,2025-12-15,CUST-0035,INV-2025-00128,5400000,CASH,Cash on Hand,Cash sale settlement
RCPT-2025-00046,2025-12-15,CUST-0001,INV-2025-00130,1818355,CASH,Cash on Hand,Cash sale settlement
RCPT-2025-00047,2025-01-22,CUST-0002,INV-2025-00002,16443000,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00048,2025-01-25,CUST-0003,INV-2025-00003,12919500,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00049,2025-01-28,CUST-0004,INV-2025-00004,9787500,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00050,2025-02-19,CUST-0033,INV-2025-00010,4545890,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00051,2025-02-22,CUST-0036,INV-2025-00011,1809485,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00052,2025-02-24,CUST-0011,INV-2025-00005,8700000,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00053,2025-02-28,CUST-0007,INV-2025-00015,9135000,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00054,2025-03-02,CUST-0005,INV-2025-00013,15346800,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00055,2025-03-05,CUST-0006,INV-2025-00014,12058200,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00056,2025-03-08,CUST-0021,INV-2025-00006,4350000,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00057,2025-03-13,CUST-0016,INV-2025-00008,1500000,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00058,2025-03-22,CUST-0034,INV-2025-00021,4242830,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00059,2025-03-25,CUST-0037,INV-2025-00022,1688853,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00060,2025-03-25,CUST-0009,INV-2025-00025,14642100,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00061,2025-03-30,CUST-0008,INV-2025-00024,18635400,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00062,2025-04-05,CUST-0010,INV-2025-00026,11092500,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00063,2025-04-08,CUST-0022,INV-2025-00017,4060000,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00064,2025-04-11,CUST-0012,INV-2025-00016,8120000,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00065,2025-04-13,CUST-0017,INV-2025-00019,1400000,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00066,2025-04-22,CUST-0038,INV-2025-00033,2050750,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00067,2025-04-22,CUST-0002,INV-2025-00035,16443000,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00068,2025-04-24,CUST-0013,INV-2025-00027,9860000,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00069,2025-04-25,CUST-0003,INV-2025-00036,12919500,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00070,2025-04-26,CUST-0018,INV-2025-00030,1700000,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00071,2025-04-28,CUST-0004,INV-2025-00037,9787500,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00072,2025-05-04,CUST-0021,INV-2025-00032,5152008,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00073,2025-05-06,CUST-0023,INV-2025-00028,4930000,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00074,2025-05-22,CUST-0024,INV-2025-00039,4350000,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00075,2025-05-27,CUST-0019,INV-2025-00041,1500000,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00076,2025-05-28,CUST-0007,INV-2025-00048,10440000,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00077,2025-05-30,CUST-0005,INV-2025-00046,17539200,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00078,2025-06-02,CUST-0006,INV-2025-00047,13780800,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00079,2025-06-04,CUST-0022,INV-2025-00043,4545890,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00080,2025-06-07,CUST-0039,INV-2025-00044,1809485,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00081,2025-06-21,CUST-0025,INV-2025-00050,4640000,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00082,2025-06-22,CUST-0040,INV-2025-00055,1930117,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00083,2025-06-24,CUST-0014,INV-2025-00038,8700000,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00084,2025-06-25,CUST-0009,INV-2025-00058,14642100,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00085,2025-06-30,CUST-0008,INV-2025-00057,18635400,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00086,2025-07-04,CUST-0023,INV-2025-00054,4848949,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00087,2025-07-06,CUST-0010,INV-2025-00059,11092500,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00088,2025-07-11,CUST-0020,INV-2025-00052,1600000,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00089,2025-07-20,CUST-0024,INV-2025-00065,5152008,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00090,2025-07-22,CUST-0041,INV-2025-00061,4930000,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00091,2025-07-22,CUST-0002,INV-2025-00068,18635400,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00092,2025-07-23,CUST-0036,INV-2025-00066,2050750,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00093,2025-07-24,CUST-0015,INV-2025-00049,9280000,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00094,2025-07-25,CUST-0003,INV-2025-00069,14642100,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00095,2025-07-28,CUST-0004,INV-2025-00070,11092500,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00096,2025-08-09,CUST-0016,INV-2025-00060,9860000,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00097,2025-08-19,CUST-0025,INV-2025-00076,5152008,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00098,2025-08-21,CUST-0042,INV-2025-00072,4930000,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00099,2025-08-22,CUST-0037,INV-2025-00077,2050750,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00100,2025-08-28,CUST-0007,INV-2025-00081,11092500,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00101,2025-08-30,CUST-0005,INV-2025-00079,18635400,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00102,2025-09-02,CUST-0006,INV-2025-00080,14642100,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00103,2025-09-08,CUST-0017,INV-2025-00071,9860000,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00104,2025-09-19,CUST-0041,INV-2025-00087,5152008,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00105,2025-09-22,CUST-0038,INV-2025-00088,2050750,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00106,2025-09-24,CUST-0018,INV-2025-00082,9860000,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00107,2025-09-25,CUST-0009,INV-2025-00091,15503400,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00108,2025-09-25,CUST-0043,INV-2025-00063,1700000,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00109,2025-09-30,CUST-0008,INV-2025-00090,19731600,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00110,2025-10-06,CUST-0010,INV-2025-00092,11745000,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00111,2025-10-06,CUST-0021,INV-2025-00083,4930000,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00112,2025-10-20,CUST-0042,INV-2025-00098,5455067,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00113,2025-10-22,CUST-0002,INV-2025-00101,19731600,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00114,2025-10-25,CUST-0044,INV-2025-00074,1700000,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00115,2025-10-25,CUST-0003,INV-2025-00102,15503400,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00116,2025-10-25,CUST-0019,INV-2025-00093,10440000,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00117,2025-10-26,CUST-0045,INV-2025-00085,1700000,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00118,2025-10-28,CUST-0004,INV-2025-00103,11745000,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00119,2025-11-06,CUST-0022,INV-2025-00094,5220000,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00120,2025-11-07,CUST-0039,INV-2025-00099,2171382,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00121,2025-11-11,CUST-0048,INV-2025-00096,1800000,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00122,2025-11-19,CUST-0033,INV-2025-00109,5455067,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00123,2025-11-22,CUST-0040,INV-2025-00110,2171382,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00124,2025-11-28,CUST-0007,INV-2025-00114,11745000,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00125,2025-11-30,CUST-0005,INV-2025-00112,19731600,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00126,2025-12-03,CUST-0006,INV-2025-00113,15503400,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00127,2025-12-06,CUST-0023,INV-2025-00105,5220000,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00128,2025-12-09,CUST-0020,INV-2025-00104,10440000,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00129,2025-12-11,CUST-0049,INV-2025-00107,1800000,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00130,2025-12-20,CUST-0034,INV-2025-00120,5455067,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00131,2025-12-22,CUST-0024,INV-2025-00116,5220000,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00132,2025-12-23,CUST-0036,INV-2025-00121,2171382,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00133,2025-12-25,CUST-0009,INV-2025-00124,15503400,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00134,2025-12-27,CUST-0050,INV-2025-00118,1800000,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00135,2025-12-30,CUST-0008,INV-2025-00123,19731600,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00136,2026-01-05,CUST-0010,INV-2025-00125,11745000,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00137,2026-01-21,CUST-0025,INV-2025-00127,5220000,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00138,2026-01-22,CUST-0037,INV-2025-00132,2171382,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00139,2026-01-26,CUST-0011,INV-2025-00129,1800000,BANK_TRANSFER,SCB-CURR,Settled per credit term
RCPT-2025-00140,2026-02-03,CUST-0021,INV-2025-00131,4728172,BANK_TRANSFER,SCB-CURR,Partial settlement
