txn_id,txn_date,account,direction,counterparty,category,amount,balance,reference,description
BANK-2025-00055,2025-02-12,SCB-CURR,OUT,SUP-0013,AP_PAYMENT,42000,100431224,BILL-2025-00009,Paid per credit term
BANK-2025-00056,2025-02-12,SCB-CURR,OUT,SUP-0014,AP_PAYMENT,63000,100368224,BILL-2025-00010,Paid per credit term
BANK-2025-00057,2025-02-14,SCB-CURR,OUT,SUP-0023,AP_PAYMENT,504000,99864224,BILL-2025-00011,Paid per credit term
BANK-2025-00058,2025-02-14,SCB-CURR,OUT,SUP-0024,AP_PAYMENT,1050000,98814224,BILL-2025-00012,Paid per credit term
BANK-2025-00059,2025-02-15,SCB-CURR,IN,CUST-0035,AR_COLLECTION,4200000,103014224,INV-2025-00018,Cash sale settlement
BANK-2025-00060,2025-02-15,SCB-CURR,IN,CUST-0001,AR_COLLECTION,1414277,104428501,INV-2025-00020,Cash sale settlement
BANK-2025-00061,2025-02-15,SCB-CURR,IN,CUST-0001,AR_COLLECTION,32480000,136908501,INV-2025-00012,Cash sale settlement
BANK-2025-00062,2025-02-16,SCB-CURR,OUT,SUP-0007,AP_PAYMENT,336000,136572501,BILL-2025-00013,Paid per credit term
BANK-2025-00063,2025-02-18,SCB-CURR,OUT,SUP-0021,AP_PAYMENT,63000,136509501,BILL-2025-00016,Paid per credit term
BANK-2025-00064,2025-02-18,SCB-CURR,OUT,SUP-0022,AP_PAYMENT,42000,136467501,BILL-2025-00017,Paid per credit term
BANK-2025-00065,2025-02-19,SCB-CURR,IN,CUST-0033,AR_COLLECTION,4545890,141013391,INV-2025-00010,Settled per credit term
BANK-2025-00066,2025-02-20,SCB-CURR,IN,Various,OTHER_INCOME,893103,141906494,OI-2,Insurance commission, scrap, misc
BANK-2025-00067,2025-02-20,SCB-CURR,OUT,SUP-0020,AP_PAYMENT,84000,141822494,BILL-2025-00018,Paid per credit term
BANK-2025-00068,2025-02-22,SCB-CURR,IN,CUST-0036,AR_COLLECTION,1809485,143631979,INV-2025-00011,Settled per credit term
BANK-2025-00069,2025-02-24,SCB-CURR,OUT,SUP-0025,AP_PAYMENT,462000,143169979,BILL-2025-00019,Paid per credit term
BANK-2025-00070,2025-02-24,SCB-CURR,IN,CUST-0011,AR_COLLECTION,8700000,151869979,INV-2025-00005,Settled per credit term
BANK-2025-00071,2025-02-28,SCB-CURR,IN,CUST-0007,AR_COLLECTION,9135000,161004979,INV-2025-00015,Settled per credit term
BANK-2025-00072,2025-02-28,SCB-CURR,OUT,SUP-0030,PAYROLL,6718090,154286889,PAYROLL-2,Monthly payroll
BANK-2025-00073,2025-03-01,SCB-CURR,OUT,SUP-0003,AP_PAYMENT,2625000,151661889,BILL-2025-00003,Paid per credit term
BANK-2025-00074,2025-03-01,SCB-CURR,OUT,SUP-0016,LEASE_PAYMENT,1416227,150245662,LEASE-3,Right-of-use lease payment
BANK-2025-00075,2025-03-02,SCB-CURR,IN,CUST-0005,AR_COLLECTION,15346800,165592462,INV-2025-00013,Settled per credit term
BANK-2025-00076,2025-03-03,SCB-CURR,OUT,SUP-0004,AP_PAYMENT,562500,165029962,BILL-2025-00004,Paid per credit term
BANK-2025-00077,2025-03-04,SCB-CURR,OUT,SUP-0009,AP_PAYMENT,210000,164819962,BILL-2025-00014,Paid per credit term
BANK-2025-00078,2025-03-04,SCB-CURR,OUT,SUP-0011,AP_PAYMENT,126000,164693962,BILL-2025-00015,Paid per credit term
BANK-2025-00079,2025-03-05,SCB-CURR,OUT,SUP-0028,INTEREST,597048,164096914,INT-3,Bank loan interest
BANK-2025-00080,2025-03-05,SCB-CURR,IN,CUST-0006,AR_COLLECTION,12058200,176155114,INV-2025-00014,Settled per credit term
BANK-2025-00081,2025-03-05,SCB-CURR,OUT,SUP-0005,AP_PAYMENT,562500,175592614,BILL-2025-00005,Paid per credit term
BANK-2025-00082,2025-03-08,SCB-CURR,IN,CUST-0021,AR_COLLECTION,4350000,179942614,INV-2025-00006,Settled per credit term
BANK-2025-00083,2025-03-12,SCB-CURR,OUT,SUP-0001,AP_PAYMENT,66500000,113442614,BILL-2025-00020,Paid per credit term
BANK-2025-00084,2025-03-13,SCB-CURR,OUT,SUP-0017,AP_PAYMENT,274400,113168214,BILL-2025-00026,Paid per credit term
BANK-2025-00085,2025-03-13,SCB-CURR,OUT,SUP-0016,AP_PAYMENT,705600,112462614,BILL-2025-00025,Paid per credit term
BANK-2025-00086,2025-03-13,SCB-CURR,IN,CUST-0016,AR_COLLECTION,1500000,113962614,INV-2025-00008,Settled per credit term
BANK-2025-00087,2025-03-14,SCB-CURR,OUT,SUP-0002,AP_PAYMENT,2475033,111487581,BILL-2025-00021,Paid per credit term
BANK-2025-00088,2025-03-15,SCB-CURR,IN,SUP-0028,ST_LOAN_DRAW,230000000,341487581,STLN-Q1,ST loan facility draw
BANK-2025-00089,2025-03-15,SCB-CURR,OUT,SUP-0013,AP_PAYMENT,39200,341448381,BILL-2025-00028,Paid per credit term
BANK-2025-00090,2025-03-15,SCB-CURR,OUT,SUP-0012,AP_PAYMENT,156800,341291581,BILL-2025-00027,Paid per credit term
BANK-2025-00091,2025-03-15,SCB-CURR,IN,CUST-0035,AR_COLLECTION,5100000,346391581,INV-2025-00029,Cash sale settlement
BANK-2025-00092,2025-03-15,SCB-CURR,IN,CUST-0001,AR_COLLECTION,1717336,348108917,INV-2025-00031,Cash sale settlement
BANK-2025-00093,2025-03-15,SCB-CURR,OUT,SUP-0014,AP_PAYMENT,58800,348050117,BILL-2025-00029,Paid per credit term
BANK-2025-00094,2025-03-15,SCB-CURR,IN,CUST-0001,AR_COLLECTION,39440000,387490117,INV-2025-00023,Cash sale settlement
BANK-2025-00095,2025-03-17,SCB-CURR,OUT,SUP-0024,AP_PAYMENT,980000,386510117,BILL-2025-00031,Paid per credit term
BANK-2025-00096,2025-03-17,SCB-CURR,OUT,SUP-0023,AP_PAYMENT,470400,386039717,BILL-2025-00030,Paid per credit term
BANK-2025-00097,2025-03-19,SCB-CURR,OUT,SUP-0007,AP_PAYMENT,313600,385726117,BILL-2025-00032,Paid per credit term
BANK-2025-00098,2025-03-20,SCB-CURR,IN,Various,OTHER_INCOME,1084482,386810599,OI-3,Insurance commission, scrap, misc
BANK-2025-00099,2025-03-21,SCB-CURR,OUT,SUP-0022,AP_PAYMENT,39200,386771399,BILL-2025-00036,Paid per credit term
BANK-2025-00100,2025-03-21,SCB-CURR,OUT,SUP-0021,AP_PAYMENT,58800,386712599,BILL-2025-00035,Paid per credit term
BANK-2025-00101,2025-03-22,SCB-CURR,IN,CUST-0034,AR_COLLECTION,4242830,390955429,INV-2025-00021,Settled per credit term
BANK-2025-00102,2025-03-23,SCB-CURR,OUT,SUP-0020,AP_PAYMENT,78400,390877029,BILL-2025-00037,Paid per credit term
BANK-2025-00103,2025-03-25,SCB-CURR,IN,CUST-0009,AR_COLLECTION,14642100,405519129,INV-2025-00025,Settled per credit term
BANK-2025-00104,2025-03-25,SCB-CURR,IN,CUST-0037,AR_COLLECTION,1688853,407207982,INV-2025-00022,Settled per credit term
BANK-2025-00105,2025-03-27,SCB-CURR,OUT,SUP-0025,AP_PAYMENT,431200,406776782,BILL-2025-00038,Paid per credit term
BANK-2025-00106,2025-03-28,SCB-CURR,OUT,SUP-0030,PAYROLL,8157681,398619101,PAYROLL-3,Monthly payroll
BANK-2025-00107,2025-03-30,SCB-CURR,IN,CUST-0008,AR_COLLECTION,18635400,417254501,INV-2025-00024,Settled per credit term
BANK-2025-00108,2025-04-01,SCB-CURR,OUT,SUP-0016,LEASE_PAYMENT,1249612,416004889,LEASE-4,Right-of-use lease payment
BANK-2025-00109,2025-04-01,SCB-CURR,OUT,SUP-0003,AP_PAYMENT,2450000,413554889,BILL-2025-00022,Paid per credit term
BANK-2025-00110,2025-04-03,SCB-CURR,OUT,SUP-0004,AP_PAYMENT,525000,413029889,BILL-2025-00023,Paid per credit term
BANK-2025-00111,2025-04-04,SCB-CURR,OUT,SUP-0011,AP_PAYMENT,117600,412912289,BILL-2025-00034,Paid per credit term
BANK-2025-00112,2025-04-04,SCB-CURR,OUT,SUP-0009,AP_PAYMENT,196000,412716289,BILL-2025-00033,Paid per credit term
BANK-2025-00113,2025-04-05,SCB-CURR,IN,CUST-0010,AR_COLLECTION,11092500,423808789,INV-2025-00026,Settled per credit term
BANK-2025-00114,2025-04-05,SCB-CURR,OUT,SUP-0005,AP_PAYMENT,525000,423283789,BILL-2025-00024,Paid per credit term
BANK-2025-00115,2025-04-05,SCB-CURR,OUT,SUP-0028,INTEREST,526807,422756982,INT-4,Bank loan interest
BANK-2025-00116,2025-04-08,SCB-CURR,IN,CUST-0022,AR_COLLECTION,4060000,426816982,INV-2025-00017,Settled per credit term
BANK-2025-00117,2025-04-09,SCB-CURR,OUT,SUP-0001,AP_PAYMENT,80750000,346066982,BILL-2025-00039,Paid per credit term
BANK-2025-00118,2025-04-10,SCB-CURR,OUT,SUP-0016,AP_PAYMENT,856800,345210182,BILL-2025-00044,Paid per credit term
BANK-2025-00119,2025-04-10,SCB-CURR,OUT,SUP-0017,AP_PAYMENT,333200,344876982,BILL-2025-00045,Paid per credit term
BANK-2025-00120,2025-04-11,SCB-CURR,OUT,SUP-0002,AP_PAYMENT,3005398,341871584,BILL-2025-00040,Paid per credit term
BANK-2025-00121,2025-04-11,SCB-CURR,IN,CUST-0012,AR_COLLECTION,8120000,349991584,INV-2025-00016,Settled per credit term
BANK-2025-00122,2025-04-12,SCB-CURR,OUT,SUP-0014,AP_PAYMENT,71400,349920184,BILL-2025-00048,Paid per credit term
BANK-2025-00123,2025-04-12,SCB-CURR,OUT,SUP-0013,AP_PAYMENT,47600,349872584,BILL-2025-00047,Paid per credit term
BANK-2025-00124,2025-04-12,SCB-CURR,OUT,SUP-0012,AP_PAYMENT,190400,349682184,BILL-2025-00046,Paid per credit term
BANK-2025-00125,2025-04-13,SCB-CURR,IN,CUST-0017,AR_COLLECTION,1400000,351082184,INV-2025-00019,Settled per credit term
BANK-2025-00126,2025-04-14,SCB-CURR,OUT,SUP-0023,AP_PAYMENT,571200,350510984,BILL-2025-00049,Paid per credit term
BANK-2025-00127,2025-04-14,SCB-CURR,OUT,SUP-0024,AP_PAYMENT,1190000,349320984,BILL-2025-00050,Paid per credit term
BANK-2025-00128,2025-04-15,SCB-CURR,IN,CUST-0001,AR_COLLECTION,1515296,350836280,INV-2025-00042,Cash sale settlement
BANK-2025-00129,2025-04-15,SCB-CURR,IN,CUST-0035,AR_COLLECTION,4500000,355336280,INV-2025-00040,Cash sale settlement
BANK-2025-00130,2025-04-15,SCB-CURR,IN,CUST-0001,AR_COLLECTION,34800000,390136280,INV-2025-00034,Cash sale settlement
BANK-2025-00131,2025-04-16,SCB-CURR,OUT,SUP-0007,AP_PAYMENT,380800,389755480,BILL-2025-00051,Paid per credit term
BANK-2025-00132,2025-04-18,SCB-CURR,OUT,SUP-0021,AP_PAYMENT,71400,389684080,BILL-2025-00054,Paid per credit term
BANK-2025-00133,2025-04-18,SCB-CURR,OUT,SUP-0022,AP_PAYMENT,47600,389636480,BILL-2025-00055,Paid per credit term
BANK-2025-00134,2025-04-20,SCB-CURR,OUT,SUP-0019,CAPEX,1500000,388136480,CAPEX-EQ-1,Service center equipment
BANK-2025-00135,2025-04-20,SCB-CURR,OUT,SUP-0020,AP_PAYMENT,95200,388041280,BILL-2025-00056,Paid per credit term
BANK-2025-00136,2025-04-20,SCB-CURR,IN,Various,OTHER_INCOME,956896,388998176,OI-4,Insurance commission, scrap, misc
BANK-2025-00137,2025-04-22,SCB-CURR,IN,CUST-0002,AR_COLLECTION,16443000,405441176,INV-2025-00035,Settled per credit term
BANK-2025-00138,2025-04-22,SCB-CURR,IN,CUST-0038,AR_COLLECTION,2050750,407491926,INV-2025-00033,Settled per credit term
BANK-2025-00139,2025-04-24,SCB-CURR,IN,CUST-0013,AR_COLLECTION,9860000,417351926,INV-2025-00027,Settled per credit term
BANK-2025-00140,2025-04-24,SCB-CURR,OUT,SUP-0025,AP_PAYMENT,523600,416828326,BILL-2025-00057,Paid per credit term
BANK-2025-00141,2025-04-25,SCB-CURR,IN,CUST-0003,AR_COLLECTION,12919500,429747826,INV-2025-00036,Settled per credit term
BANK-2025-00142,2025-04-26,SCB-CURR,IN,CUST-0018,AR_COLLECTION,1700000,431447826,INV-2025-00030,Settled per credit term
BANK-2025-00143,2025-04-28,SCB-CURR,OUT,SUP-0030,PAYROLL,7197954,424249872,PAYROLL-4,Monthly payroll
BANK-2025-00144,2025-04-28,SCB-CURR,IN,CUST-0004,AR_COLLECTION,9787500,434037372,INV-2025-00037,Settled per credit term
BANK-2025-00145,2025-04-29,SCB-CURR,OUT,SUP-0003,AP_PAYMENT,2975000,431062372,BILL-2025-00041,Paid per credit term
BANK-2025-00146,2025-05-01,SCB-CURR,OUT,SUP-0016,LEASE_PAYMENT,1332919,429729453,LEASE-5,Right-of-use lease payment
BANK-2025-00147,2025-05-01,SCB-CURR,OUT,SUP-0004,AP_PAYMENT,637500,429091953,BILL-2025-00042,Paid per credit term
BANK-2025-00148,2025-05-02,SCB-CURR,OUT,SUP-0011,AP_PAYMENT,142800,428949153,BILL-2025-00053,Paid per credit term
BANK-2025-00149,2025-05-02,SCB-CURR,OUT,SUP-0009,AP_PAYMENT,238000,428711153,BILL-2025-00052,Paid per credit term
BANK-2025-00150,2025-05-03,SCB-CURR,OUT,SUP-0005,AP_PAYMENT,637500,428073653,BILL-2025-00043,Paid per credit term
BANK-2025-00151,2025-05-04,SCB-CURR,IN,CUST-0021,AR_COLLECTION,5152008,433225661,INV-2025-00032,Settled per credit term
BANK-2025-00152,2025-05-05,SCB-CURR,OUT,SUP-0028,INTEREST,561927,432663734,INT-5,Bank loan interest
BANK-2025-00153,2025-05-05,SCB-CURR,OUT,NCI,DIVIDEND_NCI,40727,432623007,DIV-NCI,Dividend to non-controlling interest
BANK-2025-00154,2025-05-05,SCB-CURR,OUT,Shareholders,DIVIDEND,15956511,416666496,DIV-2025,Annual dividend to parent shareholders
BANK-2025-00155,2025-05-06,SCB-CURR,IN,CUST-0023,AR_COLLECTION,4930000,421596496,INV-2025-00028,Settled per credit term
BANK-2025-00156,2025-05-10,SCB-CURR,OUT,SUP-0001,AP_PAYMENT,71250000,350346496,BILL-2025-00058,Paid per credit term
BANK-2025-00157,2025-05-11,SCB-CURR,OUT,SUP-0016,AP_PAYMENT,756000,349590496,BILL-2025-00063,Paid per credit term
BANK-2025-00158,2025-05-11,SCB-CURR,OUT,SUP-0017,AP_PAYMENT,294000,349296496,BILL-2025-00064,Paid per credit term
BANK-2025-00159,2025-05-12,SCB-CURR,OUT,SUP-0002,AP_PAYMENT,2651821,346644675,BILL-2025-00059,Paid per credit term
BANK-2025-00160,2025-05-13,SCB-CURR,OUT,SUP-0014,AP_PAYMENT,63000,346581675,BILL-2025-00067,Paid per credit term
BANK-2025-00161,2025-05-13,SCB-CURR,OUT,SUP-0013,AP_PAYMENT,42000,346539675,BILL-2025-00066,Paid per credit term
BANK-2025-00162,2025-05-13,SCB-CURR,OUT,SUP-0012,AP_PAYMENT,168000,346371675,BILL-2025-00065,Paid per credit term
BANK-2025-00163,2025-05-15,SCB-CURR,OUT,SUP-0024,AP_PAYMENT,1050000,345321675,BILL-2025-00069,Paid per credit term
BANK-2025-00164,2025-05-15,SCB-CURR,OUT,SUP-0023,AP_PAYMENT,504000,344817675,BILL-2025-00068,Paid per credit term
BANK-2025-00165,2025-05-15,SCB-CURR,IN,CUST-0001,AR_COLLECTION,37120000,381937675,INV-2025-00045,Cash sale settlement
BANK-2025-00166,2025-05-15,SCB-CURR,IN,CUST-0035,AR_COLLECTION,4800000,386737675,INV-2025-00051,Cash sale settlement
BANK-2025-00167,2025-05-15,SCB-CURR,OUT,SUP-0028,ST_LOAN_REPAY,255000000,131737675,STLN-Q2,ST loan repayment
BANK-2025-00168,2025-05-15,SCB-CURR,IN,CUST-0001,AR_COLLECTION,1616316,133353991,INV-2025-00053,Cash sale settlement
BANK-2025-00169,2025-05-17,SCB-CURR,OUT,SUP-0007,AP_PAYMENT,336000,133017991,BILL-2025-00070,Paid per credit term
BANK-2025-00170,2025-05-19,SCB-CURR,OUT,SUP-0022,AP_PAYMENT,42000,132975991,BILL-2025-00074,Paid per credit term
BANK-2025-00171,2025-05-19,SCB-CURR,OUT,SUP-0021,AP_PAYMENT,63000,132912991,BILL-2025-00073,Paid per credit term
BANK-2025-00172,2025-05-20,SCB-CURR,IN,Various,OTHER_INCOME,1020689,133933680,OI-5,Insurance commission, scrap, misc
BANK-2025-00173,2025-05-21,SCB-CURR,OUT,SUP-0020,AP_PAYMENT,84000,133849680,BILL-2025-00075,Paid per credit term
BANK-2025-00174,2025-05-22,SCB-CURR,IN,CUST-0024,AR_COLLECTION,4350000,138199680,INV-2025-00039,Settled per credit term
BANK-2025-00175,2025-05-25,SCB-CURR,OUT,SUP-0025,AP_PAYMENT,462000,137737680,BILL-2025-00076,Paid per credit term
BANK-2025-00176,2025-05-27,SCB-CURR,IN,CUST-0019,AR_COLLECTION,1500000,139237680,INV-2025-00041,Settled per credit term
BANK-2025-00177,2025-05-28,SCB-CURR,IN,CUST-0007,AR_COLLECTION,10440000,149677680,INV-2025-00048,Settled per credit term
BANK-2025-00178,2025-05-28,SCB-CURR,OUT,SUP-0030,PAYROLL,7677818,141999862,PAYROLL-5,Monthly payroll
BANK-2025-00179,2025-05-30,SCB-CURR,OUT,SUP-0003,AP_PAYMENT,2625000,139374862,BILL-2025-00060,Paid per credit term
BANK-2025-00180,2025-05-30,SCB-CURR,IN,CUST-0005,AR_COLLECTION,17539200,156914062,INV-2025-00046,Settled per credit term
BANK-2025-00181,2025-05-30,SCB-CURR,OUT,SUP-0026,TAX,8000000,148914062,TAX-MAY,Half-year income tax
BANK-2025-00182,2025-06-01,SCB-CURR,OUT,SUP-0004,AP_PAYMENT,562500,148351562,BILL-2025-00061,Paid per credit term
BANK-2025-00183,2025-06-01,SCB-CURR,OUT,SUP-0016,LEASE_PAYMENT,1416227,146935335,LEASE-6,Right-of-use lease payment
BANK-2025-00184,2025-06-02,SCB-CURR,IN,CUST-0006,AR_COLLECTION,13780800,160716135,INV-2025-00047,Settled per credit term
BANK-2025-00185,2025-06-02,SCB-CURR,OUT,SUP-0011,AP_PAYMENT,126000,160590135,BILL-2025-00072,Paid per credit term
BANK-2025-00186,2025-06-02,SCB-CURR,OUT,SUP-0009,AP_PAYMENT,210000,160380135,BILL-2025-00071,Paid per credit term
BANK-2025-00187,2025-06-03,SCB-CURR,OUT,SUP-0005,AP_PAYMENT,562500,159817635,BILL-2025-00062,Paid per credit term
BANK-2025-00188,2025-06-04,SCB-CURR,IN,CUST-0022,AR_COLLECTION,4545890,164363525,INV-2025-00043,Settled per credit term
BANK-2025-00189,2025-06-05,SCB-CURR,OUT,SUP-0028,INTEREST,597048,163766477,INT-6,Bank loan interest
BANK-2025-00190,2025-06-07,SCB-CURR,IN,CUST-0039,AR_COLLECTION,1809485,165575962,INV-2025-00044,Settled per credit term
BANK-2025-00191,2025-06-09,SCB-CURR,OUT,SUP-0001,AP_PAYMENT,76000000,89575962,BILL-2025-00077,Paid per credit term
BANK-2025-00192,2025-06-10,SCB-CURR,OUT,SUP-0016,AP_PAYMENT,806400,88769562,BILL-2025-00082,Paid per credit term
BANK-2025-00193,2025-06-10,SCB-CURR,OUT,SUP-0017,AP_PAYMENT,313600,88455962,BILL-2025-00083,Paid per credit term
BANK-2025-00194,2025-06-11,SCB-CURR,OUT,SUP-0002,AP_PAYMENT,2828609,85627353,BILL-2025-00078,Paid per credit term
BANK-2025-00195,2025-06-12,SCB-CURR,OUT,SUP-0013,AP_PAYMENT,44800,85582553,BILL-2025-00085,Paid per credit term
BANK-2025-00196,2025-06-12,SCB-CURR,OUT,SUP-0014,AP_PAYMENT,67200,85515353,BILL-2025-00086,Paid per credit term
BANK-2025-00197,2025-06-12,SCB-CURR,OUT,SUP-0012,AP_PAYMENT,179200,85336153,BILL-2025-00084,Paid per credit term
