payment_id,payment_date,supplier_id,bill_id,amount,payment_method,bank_account,reference
PAY-2025-00060,2025-03-27,SUP-0025,BILL-2025-00038,431200,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00061,2025-04-01,SUP-0003,BILL-2025-00022,2450000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00062,2025-04-03,SUP-0004,BILL-2025-00023,525000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00063,2025-04-04,SUP-0009,BILL-2025-00033,196000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00064,2025-04-04,SUP-0011,BILL-2025-00034,117600,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00065,2025-04-05,SUP-0005,BILL-2025-00024,525000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00066,2025-04-09,SUP-0001,BILL-2025-00039,80750000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00067,2025-04-10,SUP-0016,BILL-2025-00044,856800,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00068,2025-04-10,SUP-0017,BILL-2025-00045,333200,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00069,2025-04-11,SUP-0002,BILL-2025-00040,3005398,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00070,2025-04-12,SUP-0013,BILL-2025-00047,47600,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00071,2025-04-12,SUP-0012,BILL-2025-00046,190400,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00072,2025-04-12,SUP-0014,BILL-2025-00048,71400,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00073,2025-04-14,SUP-0023,BILL-2025-00049,571200,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00074,2025-04-14,SUP-0024,BILL-2025-00050,1190000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00075,2025-04-16,SUP-0007,BILL-2025-00051,380800,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00076,2025-04-18,SUP-0021,BILL-2025-00054,71400,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00077,2025-04-18,SUP-0022,BILL-2025-00055,47600,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00078,2025-04-20,SUP-0020,BILL-2025-00056,95200,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00079,2025-04-24,SUP-0025,BILL-2025-00057,523600,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00080,2025-04-29,SUP-0003,BILL-2025-00041,2975000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00081,2025-05-01,SUP-0004,BILL-2025-00042,637500,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00082,2025-05-02,SUP-0011,BILL-2025-00053,142800,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00083,2025-05-02,SUP-0009,BILL-2025-00052,238000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00084,2025-05-03,SUP-0005,BILL-2025-00043,637500,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00085,2025-05-10,SUP-0001,BILL-2025-00058,71250000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00086,2025-05-11,SUP-0016,BILL-2025-00063,756000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00087,2025-05-11,SUP-0017,BILL-2025-00064,294000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00088,2025-05-12,SUP-0002,BILL-2025-00059,2651821,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00089,2025-05-13,SUP-0012,BILL-2025-00065,168000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00090,2025-05-13,SUP-0013,BILL-2025-00066,42000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00091,2025-05-13,SUP-0014,BILL-2025-00067,63000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00092,2025-05-15,SUP-0024,BILL-2025-00069,1050000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00093,2025-05-15,SUP-0023,BILL-2025-00068,504000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00094,2025-05-17,SUP-0007,BILL-2025-00070,336000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00095,2025-05-19,SUP-0022,BILL-2025-00074,42000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00096,2025-05-19,SUP-0021,BILL-2025-00073,63000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00097,2025-05-21,SUP-0020,BILL-2025-00075,84000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00098,2025-05-25,SUP-0025,BILL-2025-00076,462000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00099,2025-05-30,SUP-0003,BILL-2025-00060,2625000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00100,2025-06-01,SUP-0004,BILL-2025-00061,562500,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00101,2025-06-02,SUP-0009,BILL-2025-00071,210000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00102,2025-06-02,SUP-0011,BILL-2025-00072,126000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00103,2025-06-03,SUP-0005,BILL-2025-00062,562500,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00104,2025-06-09,SUP-0001,BILL-2025-00077,76000000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00105,2025-06-10,SUP-0016,BILL-2025-00082,806400,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00106,2025-06-10,SUP-0017,BILL-2025-00083,313600,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00107,2025-06-11,SUP-0002,BILL-2025-00078,2828609,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00108,2025-06-12,SUP-0012,BILL-2025-00084,179200,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00109,2025-06-12,SUP-0014,BILL-2025-00086,67200,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00110,2025-06-12,SUP-0013,BILL-2025-00085,44800,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00111,2025-06-14,SUP-0023,BILL-2025-00087,537600,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00112,2025-06-14,SUP-0024,BILL-2025-00088,1120000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00113,2025-06-16,SUP-0007,BILL-2025-00089,358400,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00114,2025-06-18,SUP-0022,BILL-2025-00093,44800,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00115,2025-06-18,SUP-0021,BILL-2025-00092,67200,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00116,2025-06-20,SUP-0020,BILL-2025-00094,89600,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00117,2025-06-24,SUP-0025,BILL-2025-00095,492800,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00118,2025-06-29,SUP-0003,BILL-2025-00079,2800000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00119,2025-07-01,SUP-0004,BILL-2025-00080,600000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00120,2025-07-02,SUP-0011,BILL-2025-00091,134400,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00121,2025-07-02,SUP-0009,BILL-2025-00090,224000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00122,2025-07-03,SUP-0005,BILL-2025-00081,600000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00123,2025-07-10,SUP-0001,BILL-2025-00096,80750000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00124,2025-07-11,SUP-0016,BILL-2025-00101,856800,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00125,2025-07-11,SUP-0017,BILL-2025-00102,333200,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00126,2025-07-12,SUP-0002,BILL-2025-00097,3005398,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00127,2025-07-13,SUP-0014,BILL-2025-00105,71400,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00128,2025-07-13,SUP-0013,BILL-2025-00104,47600,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00129,2025-07-13,SUP-0012,BILL-2025-00103,190400,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00130,2025-07-15,SUP-0023,BILL-2025-00106,571200,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00131,2025-07-15,SUP-0024,BILL-2025-00107,1190000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00132,2025-07-17,SUP-0007,BILL-2025-00108,380800,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00133,2025-07-19,SUP-0021,BILL-2025-00111,71400,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00134,2025-07-19,SUP-0022,BILL-2025-00112,47600,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00135,2025-07-21,SUP-0020,BILL-2025-00113,95200,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00136,2025-07-25,SUP-0025,BILL-2025-00114,523600,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00137,2025-07-30,SUP-0003,BILL-2025-00098,2975000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00138,2025-08-01,SUP-0004,BILL-2025-00099,637500,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00139,2025-08-02,SUP-0011,BILL-2025-00110,142800,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00140,2025-08-02,SUP-0009,BILL-2025-00109,238000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00141,2025-08-03,SUP-0005,BILL-2025-00100,637500,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00142,2025-08-09,SUP-0001,BILL-2025-00115,80750000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00143,2025-08-10,SUP-0016,BILL-2025-00120,856800,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00144,2025-08-10,SUP-0017,BILL-2025-00121,333200,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00145,2025-08-11,SUP-0002,BILL-2025-00116,3005398,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00146,2025-08-12,SUP-0012,BILL-2025-00122,190400,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00147,2025-08-12,SUP-0013,BILL-2025-00123,47600,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00148,2025-08-12,SUP-0014,BILL-2025-00124,71400,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00149,2025-08-14,SUP-0024,BILL-2025-00126,1190000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00150,2025-08-14,SUP-0023,BILL-2025-00125,571200,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00151,2025-08-16,SUP-0007,BILL-2025-00127,380800,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00152,2025-08-18,SUP-0022,BILL-2025-00131,47600,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00153,2025-08-18,SUP-0021,BILL-2025-00130,71400,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00154,2025-08-20,SUP-0020,BILL-2025-00132,95200,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00155,2025-08-24,SUP-0025,BILL-2025-00133,523600,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00156,2025-08-29,SUP-0003,BILL-2025-00117,2975000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00157,2025-08-31,SUP-0004,BILL-2025-00118,637500,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00158,2025-09-01,SUP-0009,BILL-2025-00128,238000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00159,2025-09-01,SUP-0011,BILL-2025-00129,142800,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00160,2025-09-02,SUP-0005,BILL-2025-00119,637500,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00161,2025-09-09,SUP-0001,BILL-2025-00134,80750000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00162,2025-09-10,SUP-0016,BILL-2025-00139,856800,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00163,2025-09-10,SUP-0017,BILL-2025-00140,333200,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00164,2025-09-11,SUP-0002,BILL-2025-00135,3005398,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00165,2025-09-12,SUP-0012,BILL-2025-00141,190400,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00166,2025-09-12,SUP-0014,BILL-2025-00143,71400,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00167,2025-09-12,SUP-0013,BILL-2025-00142,47600,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00168,2025-09-14,SUP-0023,BILL-2025-00144,571200,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00169,2025-09-14,SUP-0024,BILL-2025-00145,1190000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00170,2025-09-16,SUP-0007,BILL-2025-00146,380800,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00171,2025-09-18,SUP-0022,BILL-2025-00150,47600,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00172,2025-09-18,SUP-0021,BILL-2025-00149,71400,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00173,2025-09-20,SUP-0020,BILL-2025-00151,95200,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00174,2025-09-24,SUP-0025,BILL-2025-00152,523600,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00175,2025-09-29,SUP-0003,BILL-2025-00136,2975000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00176,2025-10-01,SUP-0004,BILL-2025-00137,637500,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00177,2025-10-02,SUP-0011,BILL-2025-00148,142800,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00178,2025-10-02,SUP-0009,BILL-2025-00147,238000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00179,2025-10-03,SUP-0005,BILL-2025-00138,637500,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00180,2025-10-10,SUP-0001,BILL-2025-00153,85500000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00181,2025-10-11,SUP-0016,BILL-2025-00158,907200,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00182,2025-10-11,SUP-0017,BILL-2025-00159,352800,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00183,2025-10-12,SUP-0002,BILL-2025-00154,3182186,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00184,2025-10-13,SUP-0012,BILL-2025-00160,201600,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00185,2025-10-13,SUP-0014,BILL-2025-00162,75600,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00186,2025-10-13,SUP-0013,BILL-2025-00161,50400,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00187,2025-10-15,SUP-0023,BILL-2025-00163,604800,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00188,2025-10-15,SUP-0024,BILL-2025-00164,1260000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00189,2025-10-17,SUP-0007,BILL-2025-00165,403200,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00190,2025-10-19,SUP-0021,BILL-2025-00168,75600,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00191,2025-10-19,SUP-0022,BILL-2025-00169,50400,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00192,2025-10-21,SUP-0020,BILL-2025-00170,100800,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00193,2025-10-25,SUP-0025,BILL-2025-00171,554400,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00194,2025-10-30,SUP-0003,BILL-2025-00155,3150000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00195,2025-11-01,SUP-0004,BILL-2025-00156,675000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00196,2025-11-02,SUP-0011,BILL-2025-00167,151200,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00197,2025-11-02,SUP-0009,BILL-2025-00166,252000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00198,2025-11-03,SUP-0005,BILL-2025-00157,675000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00199,2025-11-09,SUP-0001,BILL-2025-00172,85500000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00200,2025-11-10,SUP-0017,BILL-2025-00178,352800,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00201,2025-11-10,SUP-0016,BILL-2025-00177,907200,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00202,2025-11-11,SUP-0002,BILL-2025-00173,3182186,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00203,2025-11-12,SUP-0013,BILL-2025-00180,50400,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00204,2025-11-12,SUP-0014,BILL-2025-00181,75600,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00205,2025-11-12,SUP-0012,BILL-2025-00179,201600,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00206,2025-11-14,SUP-0023,BILL-2025-00182,604800,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00207,2025-11-14,SUP-0024,BILL-2025-00183,1260000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00208,2025-11-16,SUP-0007,BILL-2025-00184,403200,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00209,2025-11-18,SUP-0021,BILL-2025-00187,75600,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00210,2025-11-18,SUP-0022,BILL-2025-00188,50400,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00211,2025-11-20,SUP-0020,BILL-2025-00189,100800,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00212,2025-11-24,SUP-0025,BILL-2025-00190,554400,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00213,2025-11-29,SUP-0003,BILL-2025-00174,3150000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00214,2025-12-01,SUP-0004,BILL-2025-00175,675000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00215,2025-12-02,SUP-0011,BILL-2025-00186,151200,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00216,2025-12-02,SUP-0009,BILL-2025-00185,252000,BANK_TRANSFER,SCB-CURR,Paid per credit term
PAY-2025-00217,2025-12-03,SUP-0005,BILL-2025-00176,675000,BANK_TRANSFER,SCB-CURR,Paid per credit term
