bill_id,bill_date,due_date,supplier_id,expense_account,expense_type,segment,amount,vat_amount,total_amount,credit_term_days,reference,status
BILL-2025-00087,2025-05-15,2025-06-14,SUP-0023,5310,Marketing,Selling,537600,37632,575232,30,MKTG-5,OPEN
BILL-2025-00088,2025-05-15,2025-06-14,SUP-0024,5210,Logistics,Distribution,1120000,78400,1198400,30,LOGISTICS-5,OPEN
BILL-2025-00089,2025-05-17,2025-06-16,SUP-0007,5210,Fuel,Distribution,358400,25088,383488,30,FUEL-5,OPEN
BILL-2025-00090,2025-05-18,2025-07-02,SUP-0009,5130,Paint-Body,Service,224000,15680,239680,45,PAINT-5,OPEN
BILL-2025-00091,2025-05-18,2025-07-02,SUP-0011,5130,Tires,Service,134400,9408,143808,45,TIRES-5,OPEN
BILL-2025-00092,2025-05-19,2025-06-18,SUP-0021,5417,Security,Admin,67200,4704,71904,30,SEC-5,OPEN
BILL-2025-00093,2025-05-19,2025-06-18,SUP-0022,5417,Cleaning,Admin,44800,3136,47936,30,CLEAN-5,OPEN
BILL-2025-00094,2025-05-21,2025-06-20,SUP-0020,5417,IT,Admin,89600,6272,95872,30,IT-5,OPEN
BILL-2025-00095,2025-05-25,2025-06-24,SUP-0025,5416,Professional,Admin,492800,34496,527296,30,PROF-5,OPEN
BILL-2025-00096,2025-06-10,2025-07-10,SUP-0001,1141,Inventory-Vehicle,Inventory,80750000,5652500,86402500,30,HONDA-INV-6,OPEN
BILL-2025-00097,2025-06-12,2025-07-12,SUP-0002,1141,Inventory-Accessories,Inventory,3005398,210377.86,3215775.86,30,HONDA-ACC-6,OPEN
BILL-2025-00098,2025-06-15,2025-07-30,SUP-0003,1142,Inventory-Parts,Inventory,2975000,208250,3183250,45,HONDA-PRT-6,OPEN
BILL-2025-00099,2025-06-17,2025-08-01,SUP-0004,1142,Inventory-Parts,Inventory,637500,44625,682125,45,DENSO-PRT-6,OPEN
BILL-2025-00100,2025-06-19,2025-08-03,SUP-0005,1142,Inventory-Parts,Inventory,637500,44625,682125,45,BOSCH-PRT-6,OPEN
BILL-2025-00101,2025-06-11,2025-07-11,SUP-0016,5412,Rent,Admin,856800,59976,916776,30,RENT-SHOWROOM-6,OPEN
BILL-2025-00102,2025-06-11,2025-07-11,SUP-0017,5412,Rent,Admin,333200,23324,356524,30,RENT-SVC-6,OPEN
BILL-2025-00103,2025-06-13,2025-07-13,SUP-0012,5413,Utilities-Electric,Admin,190400,13328,203728,30,ELEC-6,OPEN
BILL-2025-00104,2025-06-13,2025-07-13,SUP-0013,5413,Utilities-Water,Admin,47600,3332,50932,30,WATER-6,OPEN
BILL-2025-00105,2025-06-13,2025-07-13,SUP-0014,5413,Telecom,Admin,71400,4998,76398,30,TELECOM-6,OPEN
BILL-2025-00106,2025-06-15,2025-07-15,SUP-0023,5310,Marketing,Selling,571200,39984,611184,30,MKTG-6,OPEN
BILL-2025-00107,2025-06-15,2025-07-15,SUP-0024,5210,Logistics,Distribution,1190000,83300,1273300,30,LOGISTICS-6,OPEN
BILL-2025-00108,2025-06-17,2025-07-17,SUP-0007,5210,Fuel,Distribution,380800,26656,407456,30,FUEL-6,OPEN
BILL-2025-00109,2025-06-18,2025-08-02,SUP-0009,5130,Paint-Body,Service,238000,16660,254660,45,PAINT-6,OPEN
BILL-2025-00110,2025-06-18,2025-08-02,SUP-0011,5130,Tires,Service,142800,9996,152796,45,TIRES-6,OPEN
BILL-2025-00111,2025-06-19,2025-07-19,SUP-0021,5417,Security,Admin,71400,4998,76398,30,SEC-6,OPEN
BILL-2025-00112,2025-06-19,2025-07-19,SUP-0022,5417,Cleaning,Admin,47600,3332,50932,30,CLEAN-6,OPEN
BILL-2025-00113,2025-06-21,2025-07-21,SUP-0020,5417,IT,Admin,95200,6664,101864,30,IT-6,OPEN
BILL-2025-00114,2025-06-25,2025-07-25,SUP-0025,5416,Professional,Admin,523600,36652,560252,30,PROF-6,OPEN
BILL-2025-00115,2025-07-10,2025-08-09,SUP-0001,1141,Inventory-Vehicle,Inventory,80750000,5652500,86402500,30,HONDA-INV-7,OPEN
BILL-2025-00116,2025-07-12,2025-08-11,SUP-0002,1141,Inventory-Accessories,Inventory,3005398,210377.86,3215775.86,30,HONDA-ACC-7,OPEN
BILL-2025-00117,2025-07-15,2025-08-29,SUP-0003,1142,Inventory-Parts,Inventory,2975000,208250,3183250,45,HONDA-PRT-7,OPEN
BILL-2025-00118,2025-07-17,2025-08-31,SUP-0004,1142,Inventory-Parts,Inventory,637500,44625,682125,45,DENSO-PRT-7,OPEN
BILL-2025-00119,2025-07-19,2025-09-02,SUP-0005,1142,Inventory-Parts,Inventory,637500,44625,682125,45,BOSCH-PRT-7,OPEN
BILL-2025-00120,2025-07-11,2025-08-10,SUP-0016,5412,Rent,Admin,856800,59976,916776,30,RENT-SHOWROOM-7,OPEN
BILL-2025-00121,2025-07-11,2025-08-10,SUP-0017,5412,Rent,Admin,333200,23324,356524,30,RENT-SVC-7,OPEN
BILL-2025-00122,2025-07-13,2025-08-12,SUP-0012,5413,Utilities-Electric,Admin,190400,13328,203728,30,ELEC-7,OPEN
BILL-2025-00123,2025-07-13,2025-08-12,SUP-0013,5413,Utilities-Water,Admin,47600,3332,50932,30,WATER-7,OPEN
BILL-2025-00124,2025-07-13,2025-08-12,SUP-0014,5413,Telecom,Admin,71400,4998,76398,30,TELECOM-7,OPEN
BILL-2025-00125,2025-07-15,2025-08-14,SUP-0023,5310,Marketing,Selling,571200,39984,611184,30,MKTG-7,OPEN
BILL-2025-00126,2025-07-15,2025-08-14,SUP-0024,5210,Logistics,Distribution,1190000,83300,1273300,30,LOGISTICS-7,OPEN
BILL-2025-00127,2025-07-17,2025-08-16,SUP-0007,5210,Fuel,Distribution,380800,26656,407456,30,FUEL-7,OPEN
BILL-2025-00128,2025-07-18,2025-09-01,SUP-0009,5130,Paint-Body,Service,238000,16660,254660,45,PAINT-7,OPEN
BILL-2025-00129,2025-07-18,2025-09-01,SUP-0011,5130,Tires,Service,142800,9996,152796,45,TIRES-7,OPEN
BILL-2025-00130,2025-07-19,2025-08-18,SUP-0021,5417,Security,Admin,71400,4998,76398,30,SEC-7,OPEN
BILL-2025-00131,2025-07-19,2025-08-18,SUP-0022,5417,Cleaning,Admin,47600,3332,50932,30,CLEAN-7,OPEN
BILL-2025-00132,2025-07-21,2025-08-20,SUP-0020,5417,IT,Admin,95200,6664,101864,30,IT-7,OPEN
BILL-2025-00133,2025-07-25,2025-08-24,SUP-0025,5416,Professional,Admin,523600,36652,560252,30,PROF-7,OPEN
BILL-2025-00134,2025-08-10,2025-09-09,SUP-0001,1141,Inventory-Vehicle,Inventory,80750000,5652500,86402500,30,HONDA-INV-8,OPEN
BILL-2025-00135,2025-08-12,2025-09-11,SUP-0002,1141,Inventory-Accessories,Inventory,3005398,210377.86,3215775.86,30,HONDA-ACC-8,OPEN
BILL-2025-00136,2025-08-15,2025-09-29,SUP-0003,1142,Inventory-Parts,Inventory,2975000,208250,3183250,45,HONDA-PRT-8,OPEN
BILL-2025-00137,2025-08-17,2025-10-01,SUP-0004,1142,Inventory-Parts,Inventory,637500,44625,682125,45,DENSO-PRT-8,OPEN
BILL-2025-00138,2025-08-19,2025-10-03,SUP-0005,1142,Inventory-Parts,Inventory,637500,44625,682125,45,BOSCH-PRT-8,OPEN
BILL-2025-00139,2025-08-11,2025-09-10,SUP-0016,5412,Rent,Admin,856800,59976,916776,30,RENT-SHOWROOM-8,OPEN
BILL-2025-00140,2025-08-11,2025-09-10,SUP-0017,5412,Rent,Admin,333200,23324,356524,30,RENT-SVC-8,OPEN
BILL-2025-00141,2025-08-13,2025-09-12,SUP-0012,5413,Utilities-Electric,Admin,190400,13328,203728,30,ELEC-8,OPEN
BILL-2025-00142,2025-08-13,2025-09-12,SUP-0013,5413,Utilities-Water,Admin,47600,3332,50932,30,WATER-8,OPEN
BILL-2025-00143,2025-08-13,2025-09-12,SUP-0014,5413,Telecom,Admin,71400,4998,76398,30,TELECOM-8,OPEN
BILL-2025-00144,2025-08-15,2025-09-14,SUP-0023,5310,Marketing,Selling,571200,39984,611184,30,MKTG-8,OPEN
BILL-2025-00145,2025-08-15,2025-09-14,SUP-0024,5210,Logistics,Distribution,1190000,83300,1273300,30,LOGISTICS-8,OPEN
BILL-2025-00146,2025-08-17,2025-09-16,SUP-0007,5210,Fuel,Distribution,380800,26656,407456,30,FUEL-8,OPEN
BILL-2025-00147,2025-08-18,2025-10-02,SUP-0009,5130,Paint-Body,Service,238000,16660,254660,45,PAINT-8,OPEN
BILL-2025-00148,2025-08-18,2025-10-02,SUP-0011,5130,Tires,Service,142800,9996,152796,45,TIRES-8,OPEN
BILL-2025-00149,2025-08-19,2025-09-18,SUP-0021,5417,Security,Admin,71400,4998,76398,30,SEC-8,OPEN
BILL-2025-00150,2025-08-19,2025-09-18,SUP-0022,5417,Cleaning,Admin,47600,3332,50932,30,CLEAN-8,OPEN
BILL-2025-00151,2025-08-21,2025-09-20,SUP-0020,5417,IT,Admin,95200,6664,101864,30,IT-8,OPEN
BILL-2025-00152,2025-08-25,2025-09-24,SUP-0025,5416,Professional,Admin,523600,36652,560252,30,PROF-8,OPEN
BILL-2025-00153,2025-09-10,2025-10-10,SUP-0001,1141,Inventory-Vehicle,Inventory,85500000,5985000,91485000,30,HONDA-INV-9,OPEN
BILL-2025-00154,2025-09-12,2025-10-12,SUP-0002,1141,Inventory-Accessories,Inventory,3182186,222753.02,3404939.02,30,HONDA-ACC-9,OPEN
BILL-2025-00155,2025-09-15,2025-10-30,SUP-0003,1142,Inventory-Parts,Inventory,3150000,220500,3370500,45,HONDA-PRT-9,OPEN
BILL-2025-00156,2025-09-17,2025-11-01,SUP-0004,1142,Inventory-Parts,Inventory,675000,47250,722250,45,DENSO-PRT-9,OPEN
BILL-2025-00157,2025-09-19,2025-11-03,SUP-0005,1142,Inventory-Parts,Inventory,675000,47250,722250,45,BOSCH-PRT-9,OPEN
BILL-2025-00158,2025-09-11,2025-10-11,SUP-0016,5412,Rent,Admin,907200,63504,970704,30,RENT-SHOWROOM-9,OPEN
BILL-2025-00159,2025-09-11,2025-10-11,SUP-0017,5412,Rent,Admin,352800,24696,377496,30,RENT-SVC-9,OPEN
BILL-2025-00160,2025-09-13,2025-10-13,SUP-0012,5413,Utilities-Electric,Admin,201600,14112,215712,30,ELEC-9,OPEN
BILL-2025-00161,2025-09-13,2025-10-13,SUP-0013,5413,Utilities-Water,Admin,50400,3528,53928,30,WATER-9,OPEN
BILL-2025-00162,2025-09-13,2025-10-13,SUP-0014,5413,Telecom,Admin,75600,5292,80892,30,TELECOM-9,OPEN
BILL-2025-00163,2025-09-15,2025-10-15,SUP-0023,5310,Marketing,Selling,604800,42336,647136,30,MKTG-9,OPEN
BILL-2025-00164,2025-09-15,2025-10-15,SUP-0024,5210,Logistics,Distribution,1260000,88200,1348200,30,LOGISTICS-9,OPEN
BILL-2025-00165,2025-09-17,2025-10-17,SUP-0007,5210,Fuel,Distribution,403200,28224,431424,30,FUEL-9,OPEN
BILL-2025-00166,2025-09-18,2025-11-02,SUP-0009,5130,Paint-Body,Service,252000,17640,269640,45,PAINT-9,OPEN
BILL-2025-00167,2025-09-18,2025-11-02,SUP-0011,5130,Tires,Service,151200,10584,161784,45,TIRES-9,OPEN
BILL-2025-00168,2025-09-19,2025-10-19,SUP-0021,5417,Security,Admin,75600,5292,80892,30,SEC-9,OPEN
BILL-2025-00169,2025-09-19,2025-10-19,SUP-0022,5417,Cleaning,Admin,50400,3528,53928,30,CLEAN-9,OPEN
BILL-2025-00170,2025-09-21,2025-10-21,SUP-0020,5417,IT,Admin,100800,7056,107856,30,IT-9,OPEN
BILL-2025-00171,2025-09-25,2025-10-25,SUP-0025,5416,Professional,Admin,554400,38808,593208,30,PROF-9,OPEN
BILL-2025-00172,2025-10-10,2025-11-09,SUP-0001,1141,Inventory-Vehicle,Inventory,85500000,5985000,91485000,30,HONDA-INV-10,OPEN
BILL-2025-00173,2025-10-12,2025-11-11,SUP-0002,1141,Inventory-Accessories,Inventory,3182186,222753.02,3404939.02,30,HONDA-ACC-10,OPEN
BILL-2025-00174,2025-10-15,2025-11-29,SUP-0003,1142,Inventory-Parts,Inventory,3150000,220500,3370500,45,HONDA-PRT-10,OPEN
BILL-2025-00175,2025-10-17,2025-12-01,SUP-0004,1142,Inventory-Parts,Inventory,675000,47250,722250,45,DENSO-PRT-10,OPEN
BILL-2025-00176,2025-10-19,2025-12-03,SUP-0005,1142,Inventory-Parts,Inventory,675000,47250,722250,45,BOSCH-PRT-10,OPEN
BILL-2025-00177,2025-10-11,2025-11-10,SUP-0016,5412,Rent,Admin,907200,63504,970704,30,RENT-SHOWROOM-10,OPEN
BILL-2025-00178,2025-10-11,2025-11-10,SUP-0017,5412,Rent,Admin,352800,24696,377496,30,RENT-SVC-10,OPEN
BILL-2025-00179,2025-10-13,2025-11-12,SUP-0012,5413,Utilities-Electric,Admin,201600,14112,215712,30,ELEC-10,OPEN
BILL-2025-00180,2025-10-13,2025-11-12,SUP-0013,5413,Utilities-Water,Admin,50400,3528,53928,30,WATER-10,OPEN
BILL-2025-00181,2025-10-13,2025-11-12,SUP-0014,5413,Telecom,Admin,75600,5292,80892,30,TELECOM-10,OPEN
BILL-2025-00182,2025-10-15,2025-11-14,SUP-0023,5310,Marketing,Selling,604800,42336,647136,30,MKTG-10,OPEN
BILL-2025-00183,2025-10-15,2025-11-14,SUP-0024,5210,Logistics,Distribution,1260000,88200,1348200,30,LOGISTICS-10,OPEN
BILL-2025-00184,2025-10-17,2025-11-16,SUP-0007,5210,Fuel,Distribution,403200,28224,431424,30,FUEL-10,OPEN
BILL-2025-00185,2025-10-18,2025-12-02,SUP-0009,5130,Paint-Body,Service,252000,17640,269640,45,PAINT-10,OPEN
BILL-2025-00186,2025-10-18,2025-12-02,SUP-0011,5130,Tires,Service,151200,10584,161784,45,TIRES-10,OPEN
BILL-2025-00187,2025-10-19,2025-11-18,SUP-0021,5417,Security,Admin,75600,5292,80892,30,SEC-10,OPEN
BILL-2025-00188,2025-10-19,2025-11-18,SUP-0022,5417,Cleaning,Admin,50400,3528,53928,30,CLEAN-10,OPEN
BILL-2025-00189,2025-10-21,2025-11-20,SUP-0020,5417,IT,Admin,100800,7056,107856,30,IT-10,OPEN
BILL-2025-00190,2025-10-25,2025-11-24,SUP-0025,5416,Professional,Admin,554400,38808,593208,30,PROF-10,OPEN
BILL-2025-00191,2025-11-10,2025-12-10,SUP-0001,1141,Inventory-Vehicle,Inventory,85500000,5985000,91485000,30,HONDA-INV-11,OPEN
BILL-2025-00192,2025-11-12,2025-12-12,SUP-0002,1141,Inventory-Accessories,Inventory,3182186,222753.02,3404939.02,30,HONDA-ACC-11,OPEN
BILL-2025-00193,2025-11-15,2025-12-30,SUP-0003,1142,Inventory-Parts,Inventory,3150000,220500,3370500,45,HONDA-PRT-11,OPEN
BILL-2025-00194,2025-11-17,2026-01-01,SUP-0004,1142,Inventory-Parts,Inventory,675000,47250,722250,45,DENSO-PRT-11,OPEN
BILL-2025-00195,2025-11-19,2026-01-03,SUP-0005,1142,Inventory-Parts,Inventory,675000,47250,722250,45,BOSCH-PRT-11,OPEN
BILL-2025-00196,2025-11-11,2025-12-11,SUP-0016,5412,Rent,Admin,907200,63504,970704,30,RENT-SHOWROOM-11,OPEN
BILL-2025-00197,2025-11-11,2025-12-11,SUP-0017,5412,Rent,Admin,352800,24696,377496,30,RENT-SVC-11,OPEN
BILL-2025-00198,2025-11-13,2025-12-13,SUP-0012,5413,Utilities-Electric,Admin,201600,14112,215712,30,ELEC-11,OPEN
