invoice_id,invoice_date,due_date,customer_id,revenue_account,revenue_type,segment,amount,vat_amount,total_amount,credit_term_days,reference,status
INV-2025-00045,2025-05-15,2025-05-15,CUST-0001,4110,Vehicle,Cash,37120000,2598400,39718400,0,BATCH-VEH-CASH-5,OPEN
INV-2025-00046,2025-05-15,2025-05-30,CUST-0005,4110,Vehicle,Finance,17539200,1227744,18766944,15,FIN-VEH-5-1,OPEN
INV-2025-00047,2025-05-18,2025-06-02,CUST-0006,4110,Vehicle,Finance,13780800,964656,14745456,15,FIN-VEH-5-2,OPEN
INV-2025-00048,2025-05-21,2025-05-28,CUST-0007,4110,Vehicle,Finance,10440000,730800,11170800,7,FIN-VEH-5-3,OPEN
INV-2025-00049,2025-05-25,2025-07-24,CUST-0015,4110,Vehicle,Corporate,9280000,649600,9929600,60,FLT-VEH-5,OPEN
INV-2025-00050,2025-05-22,2025-06-21,CUST-0025,4110,Vehicle,Dealer,4640000,324800,4964800,30,DLR-VEH-5,OPEN
INV-2025-00051,2025-05-15,2025-05-15,CUST-0035,4120,Service,Cash,4800000,336000,5136000,0,BATCH-SVC-CASH-5,OPEN
INV-2025-00052,2025-05-27,2025-07-11,CUST-0020,4120,Service,Corporate,1600000,112000,1712000,45,FLT-SVC-5,OPEN
INV-2025-00053,2025-05-15,2025-05-15,CUST-0001,4130,Parts,Cash,1616316,113142.12,1729458.12,0,BATCH-PRT-CASH-5,OPEN
INV-2025-00054,2025-05-20,2025-07-04,CUST-0023,4130,Parts,Dealer,4848949,339426.43,5188375.43,45,DLR-PRT-5,OPEN
INV-2025-00055,2025-05-23,2025-06-22,CUST-0040,4140,BodyShop,Insurance,1930117,135108.19,2065225.19,30,INS-BODY-5,OPEN
INV-2025-00056,2025-06-15,2025-06-15,CUST-0001,4110,Vehicle,Cash,39440000,2760800,42200800,0,BATCH-VEH-CASH-6,OPEN
INV-2025-00057,2025-06-15,2025-06-30,CUST-0008,4110,Vehicle,Finance,18635400,1304478,19939878,15,FIN-VEH-6-1,OPEN
INV-2025-00058,2025-06-18,2025-06-25,CUST-0009,4110,Vehicle,Finance,14642100,1024947,15667047,7,FIN-VEH-6-2,OPEN
INV-2025-00059,2025-06-21,2025-07-06,CUST-0010,4110,Vehicle,Finance,11092500,776475,11868975,15,FIN-VEH-6-3,OPEN
INV-2025-00060,2025-06-25,2025-08-09,CUST-0016,4110,Vehicle,Corporate,9860000,690200,10550200,45,FLT-VEH-6,OPEN
INV-2025-00061,2025-06-22,2025-07-22,CUST-0041,4110,Vehicle,Dealer,4930000,345100,5275100,30,DLR-VEH-6,OPEN
INV-2025-00062,2025-06-15,2025-06-15,CUST-0035,4120,Service,Cash,5100000,357000,5457000,0,BATCH-SVC-CASH-6,OPEN
INV-2025-00063,2025-06-27,2025-09-25,CUST-0043,4120,Service,Corporate,1700000,119000,1819000,90,FLT-SVC-6,OPEN
INV-2025-00064,2025-06-15,2025-06-15,CUST-0001,4130,Parts,Cash,1717336,120213.52,1837549.52,0,BATCH-PRT-CASH-6,OPEN
INV-2025-00065,2025-06-20,2025-07-20,CUST-0024,4130,Parts,Dealer,5152008,360640.56,5512648.56,30,DLR-PRT-6,OPEN
INV-2025-00066,2025-06-23,2025-07-23,CUST-0036,4140,BodyShop,Insurance,2050750,143552.5,2194302.5,30,INS-BODY-6,OPEN
INV-2025-00067,2025-07-15,2025-07-15,CUST-0001,4110,Vehicle,Cash,39440000,2760800,42200800,0,BATCH-VEH-CASH-7,OPEN
INV-2025-00068,2025-07-15,2025-07-22,CUST-0002,4110,Vehicle,Finance,18635400,1304478,19939878,7,FIN-VEH-7-1,OPEN
INV-2025-00069,2025-07-18,2025-07-25,CUST-0003,4110,Vehicle,Finance,14642100,1024947,15667047,7,FIN-VEH-7-2,OPEN
INV-2025-00070,2025-07-21,2025-07-28,CUST-0004,4110,Vehicle,Finance,11092500,776475,11868975,7,FIN-VEH-7-3,OPEN
INV-2025-00071,2025-07-25,2025-09-08,CUST-0017,4110,Vehicle,Corporate,9860000,690200,10550200,45,FLT-VEH-7,OPEN
INV-2025-00072,2025-07-22,2025-08-21,CUST-0042,4110,Vehicle,Dealer,4930000,345100,5275100,30,DLR-VEH-7,OPEN
INV-2025-00073,2025-07-15,2025-07-15,CUST-0035,4120,Service,Cash,5100000,357000,5457000,0,BATCH-SVC-CASH-7,OPEN
INV-2025-00074,2025-07-27,2025-10-25,CUST-0044,4120,Service,Corporate,1700000,119000,1819000,90,FLT-SVC-7,OPEN
INV-2025-00075,2025-07-15,2025-07-15,CUST-0001,4130,Parts,Cash,1717336,120213.52,1837549.52,0,BATCH-PRT-CASH-7,OPEN
INV-2025-00076,2025-07-20,2025-08-19,CUST-0025,4130,Parts,Dealer,5152008,360640.56,5512648.56,30,DLR-PRT-7,OPEN
INV-2025-00077,2025-07-23,2025-08-22,CUST-0037,4140,BodyShop,Insurance,2050750,143552.5,2194302.5,30,INS-BODY-7,OPEN
INV-2025-00078,2025-08-15,2025-08-15,CUST-0001,4110,Vehicle,Cash,39440000,2760800,42200800,0,BATCH-VEH-CASH-8,OPEN
INV-2025-00079,2025-08-15,2025-08-30,CUST-0005,4110,Vehicle,Finance,18635400,1304478,19939878,15,FIN-VEH-8-1,OPEN
INV-2025-00080,2025-08-18,2025-09-02,CUST-0006,4110,Vehicle,Finance,14642100,1024947,15667047,15,FIN-VEH-8-2,OPEN
INV-2025-00081,2025-08-21,2025-08-28,CUST-0007,4110,Vehicle,Finance,11092500,776475,11868975,7,FIN-VEH-8-3,OPEN
INV-2025-00082,2025-08-25,2025-09-24,CUST-0018,4110,Vehicle,Corporate,9860000,690200,10550200,30,FLT-VEH-8,OPEN
INV-2025-00083,2025-08-22,2025-10-06,CUST-0021,4110,Vehicle,Dealer,4930000,345100,5275100,45,DLR-VEH-8,OPEN
INV-2025-00084,2025-08-15,2025-08-15,CUST-0035,4120,Service,Cash,5100000,357000,5457000,0,BATCH-SVC-CASH-8,OPEN
INV-2025-00085,2025-08-27,2025-10-26,CUST-0045,4120,Service,Corporate,1700000,119000,1819000,60,FLT-SVC-8,OPEN
INV-2025-00086,2025-08-15,2025-08-15,CUST-0001,4130,Parts,Cash,1717336,120213.52,1837549.52,0,BATCH-PRT-CASH-8,OPEN
INV-2025-00087,2025-08-20,2025-09-19,CUST-0041,4130,Parts,Dealer,5152008,360640.56,5512648.56,30,DLR-PRT-8,OPEN
INV-2025-00088,2025-08-23,2025-09-22,CUST-0038,4140,BodyShop,Insurance,2050750,143552.5,2194302.5,30,INS-BODY-8,OPEN
INV-2025-00089,2025-09-15,2025-09-15,CUST-0001,4110,Vehicle,Cash,41760000,2923200,44683200,0,BATCH-VEH-CASH-9,OPEN
INV-2025-00090,2025-09-15,2025-09-30,CUST-0008,4110,Vehicle,Finance,19731600,1381212,21112812,15,FIN-VEH-9-1,OPEN
INV-2025-00091,2025-09-18,2025-09-25,CUST-0009,4110,Vehicle,Finance,15503400,1085238,16588638,7,FIN-VEH-9-2,OPEN
INV-2025-00092,2025-09-21,2025-10-06,CUST-0010,4110,Vehicle,Finance,11745000,822150,12567150,15,FIN-VEH-9-3,OPEN
INV-2025-00093,2025-09-25,2025-10-25,CUST-0019,4110,Vehicle,Corporate,10440000,730800,11170800,30,FLT-VEH-9,OPEN
INV-2025-00094,2025-09-22,2025-11-06,CUST-0022,4110,Vehicle,Dealer,5220000,365400,5585400,45,DLR-VEH-9,OPEN
INV-2025-00095,2025-09-15,2025-09-15,CUST-0035,4120,Service,Cash,5400000,378000,5778000,0,BATCH-SVC-CASH-9,OPEN
INV-2025-00096,2025-09-27,2025-11-11,CUST-0048,4120,Service,Corporate,1800000,126000,1926000,45,FLT-SVC-9,OPEN
INV-2025-00097,2025-09-15,2025-09-15,CUST-0001,4130,Parts,Cash,1818356,127284.92,1945640.92,0,BATCH-PRT-CASH-9,OPEN
INV-2025-00098,2025-09-20,2025-10-20,CUST-0042,4130,Parts,Dealer,5455067,381854.69,5836921.69,30,DLR-PRT-9,OPEN
INV-2025-00099,2025-09-23,2025-11-07,CUST-0039,4140,BodyShop,Insurance,2171382,151996.74,2323378.74,45,INS-BODY-9,OPEN
INV-2025-00100,2025-10-15,2025-10-15,CUST-0001,4110,Vehicle,Cash,41760000,2923200,44683200,0,BATCH-VEH-CASH-10,OPEN
INV-2025-00101,2025-10-15,2025-10-22,CUST-0002,4110,Vehicle,Finance,19731600,1381212,21112812,7,FIN-VEH-10-1,OPEN
INV-2025-00102,2025-10-18,2025-10-25,CUST-0003,4110,Vehicle,Finance,15503400,1085238,16588638,7,FIN-VEH-10-2,OPEN
INV-2025-00103,2025-10-21,2025-10-28,CUST-0004,4110,Vehicle,Finance,11745000,822150,12567150,7,FIN-VEH-10-3,OPEN
INV-2025-00104,2025-10-25,2025-12-09,CUST-0020,4110,Vehicle,Corporate,10440000,730800,11170800,45,FLT-VEH-10,OPEN
INV-2025-00105,2025-10-22,2025-12-06,CUST-0023,4110,Vehicle,Dealer,5220000,365400,5585400,45,DLR-VEH-10,OPEN
INV-2025-00106,2025-10-15,2025-10-15,CUST-0035,4120,Service,Cash,5400000,378000,5778000,0,BATCH-SVC-CASH-10,OPEN
INV-2025-00107,2025-10-27,2025-12-11,CUST-0049,4120,Service,Corporate,1800000,126000,1926000,45,FLT-SVC-10,OPEN
INV-2025-00108,2025-10-15,2025-10-15,CUST-0001,4130,Parts,Cash,1818356,127284.92,1945640.92,0,BATCH-PRT-CASH-10,OPEN
INV-2025-00109,2025-10-20,2025-11-19,CUST-0033,4130,Parts,Dealer,5455067,381854.69,5836921.69,30,DLR-PRT-10,OPEN
INV-2025-00110,2025-10-23,2025-11-22,CUST-0040,4140,BodyShop,Insurance,2171382,151996.74,2323378.74,30,INS-BODY-10,OPEN
INV-2025-00111,2025-11-15,2025-11-15,CUST-0001,4110,Vehicle,Cash,41760000,2923200,44683200,0,BATCH-VEH-CASH-11,OPEN
INV-2025-00112,2025-11-15,2025-11-30,CUST-0005,4110,Vehicle,Finance,19731600,1381212,21112812,15,FIN-VEH-11-1,OPEN
INV-2025-00113,2025-11-18,2025-12-03,CUST-0006,4110,Vehicle,Finance,15503400,1085238,16588638,15,FIN-VEH-11-2,OPEN
INV-2025-00114,2025-11-21,2025-11-28,CUST-0007,4110,Vehicle,Finance,11745000,822150,12567150,7,FIN-VEH-11-3,OPEN
INV-2025-00115,2025-11-25,2026-02-23,CUST-0043,4110,Vehicle,Corporate,10440000,730800,11170800,90,FLT-VEH-11,OPEN
INV-2025-00116,2025-11-22,2025-12-22,CUST-0024,4110,Vehicle,Dealer,5220000,365400,5585400,30,DLR-VEH-11,OPEN
INV-2025-00117,2025-11-15,2025-11-15,CUST-0035,4120,Service,Cash,5400000,378000,5778000,0,BATCH-SVC-CASH-11,OPEN
INV-2025-00118,2025-11-27,2025-12-27,CUST-0050,4120,Service,Corporate,1800000,126000,1926000,30,FLT-SVC-11,OPEN
INV-2025-00119,2025-11-15,2025-11-15,CUST-0001,4130,Parts,Cash,1818356,127284.92,1945640.92,0,BATCH-PRT-CASH-11,OPEN
INV-2025-00120,2025-11-20,2025-12-20,CUST-0034,4130,Parts,Dealer,5455067,381854.69,5836921.69,30,DLR-PRT-11,OPEN
INV-2025-00121,2025-11-23,2025-12-23,CUST-0036,4140,BodyShop,Insurance,2171382,151996.74,2323378.74,30,INS-BODY-11,OPEN
INV-2025-00122,2025-12-15,2025-12-15,CUST-0001,4110,Vehicle,Cash,41760000,2923200,44683200,0,BATCH-VEH-CASH-12,OPEN
INV-2025-00123,2025-12-15,2025-12-30,CUST-0008,4110,Vehicle,Finance,19731600,1381212,21112812,15,FIN-VEH-12-1,OPEN
INV-2025-00124,2025-12-18,2025-12-25,CUST-0009,4110,Vehicle,Finance,15503400,1085238,16588638,7,FIN-VEH-12-2,OPEN
INV-2025-00125,2025-12-21,2026-01-05,CUST-0010,4110,Vehicle,Finance,11745000,822150,12567150,15,FIN-VEH-12-3,OPEN
INV-2025-00126,2025-12-25,2026-03-25,CUST-0044,4110,Vehicle,Corporate,10440000,730800,11170800,90,FLT-VEH-12,OPEN
INV-2025-00127,2025-12-22,2026-01-21,CUST-0025,4110,Vehicle,Dealer,5220000,365400,5585400,30,DLR-VEH-12,OPEN
INV-2025-00128,2025-12-15,2025-12-15,CUST-0035,4120,Service,Cash,5400000,378000,5778000,0,BATCH-SVC-CASH-12,OPEN
INV-2025-00129,2025-12-27,2026-01-26,CUST-0011,4120,Service,Corporate,1800000,126000,1926000,30,FLT-SVC-12,OPEN
INV-2025-00130,2025-12-15,2025-12-15,CUST-0001,4130,Parts,Cash,1818355,127284.85,1945639.85,0,BATCH-PRT-CASH-12,OPEN
INV-2025-00131,2025-12-20,2026-02-03,CUST-0021,4130,Parts,Dealer,5455064,381854.48,5836918.48,45,DLR-PRT-12,OPEN
INV-2025-00132,2025-12-23,2026-01-22,CUST-0037,4140,BodyShop,Insurance,2171382,151996.74,2323378.74,30,INS-BODY-12,OPEN
