"receipt_id","company","receipt_date","amount","description","reference"
"JE-HMW-00056","HMW","2025-07-28","114531","HMW 4180 monthly revenue 2025-07","REV-HMW-2025-07-4180"
"JE-HMW-00057","HMW","2025-08-28","114531","HMW 4180 monthly revenue 2025-08","REV-HMW-2025-08-4180"
"JE-HMW-00058","HMW","2025-09-28","121268","HMW 4180 monthly revenue 2025-09","REV-HMW-2025-09-4180"
"JE-HMW-00059","HMW","2025-10-28","121268","HMW 4180 monthly revenue 2025-10","REV-HMW-2025-10-4180"
"JE-HMW-00060","HMW","2025-11-28","121268","HMW 4180 monthly revenue 2025-11","REV-HMW-2025-11-4180"
"JE-HMW-00061","HMW","2025-12-28","121270","HMW 4180 monthly revenue 2025-12","REV-HMW-2025-12-4180"
"JE-HMW-00062","HMW","2025-01-28","1800000","HMW 4140 monthly revenue 2025-01","REV-HMW-2025-01-4140"
"JE-HMW-00063","HMW","2025-02-28","1680000","HMW 4140 monthly revenue 2025-02","REV-HMW-2025-02-4140"
"JE-HMW-00064","HMW","2025-03-28","2040000","HMW 4140 monthly revenue 2025-03","REV-HMW-2025-03-4140"
"JE-HMW-00065","HMW","2025-04-28","1800000","HMW 4140 monthly revenue 2025-04","REV-HMW-2025-04-4140"
"JE-HMW-00066","HMW","2025-05-28","1920000","HMW 4140 monthly revenue 2025-05","REV-HMW-2025-05-4140"
"JE-HMW-00067","HMW","2025-06-28","2040000","HMW 4140 monthly revenue 2025-06","REV-HMW-2025-06-4140"
"JE-HMW-00068","HMW","2025-07-28","2040000","HMW 4140 monthly revenue 2025-07","REV-HMW-2025-07-4140"
"JE-HMW-00069","HMW","2025-08-28","2040000","HMW 4140 monthly revenue 2025-08","REV-HMW-2025-08-4140"
"JE-HMW-00070","HMW","2025-09-28","2160000","HMW 4140 monthly revenue 2025-09","REV-HMW-2025-09-4140"
"JE-HMW-00071","HMW","2025-10-28","2160000","HMW 4140 monthly revenue 2025-10","REV-HMW-2025-10-4140"
"JE-HMW-00072","HMW","2025-11-28","2160000","HMW 4140 monthly revenue 2025-11","REV-HMW-2025-11-4140"
"JE-HMW-00073","HMW","2025-12-28","2160000","HMW 4140 monthly revenue 2025-12","REV-HMW-2025-12-4140"
"JE-HMW-00074","HMW","2025-01-28","10800000","HMW 4120 monthly revenue 2025-01","REV-HMW-2025-01-4120"
"JE-HMW-00075","HMW","2025-02-28","10080000","HMW 4120 monthly revenue 2025-02","REV-HMW-2025-02-4120"
"JE-HMW-00076","HMW","2025-03-28","12240000","HMW 4120 monthly revenue 2025-03","REV-HMW-2025-03-4120"
"JE-HMW-00077","HMW","2025-04-28","10800000","HMW 4120 monthly revenue 2025-04","REV-HMW-2025-04-4120"
"JE-HMW-00078","HMW","2025-05-28","11520000","HMW 4120 monthly revenue 2025-05","REV-HMW-2025-05-4120"
"JE-HMW-00079","HMW","2025-06-28","12240000","HMW 4120 monthly revenue 2025-06","REV-HMW-2025-06-4120"
"JE-HMW-00080","HMW","2025-07-28","12240000","HMW 4120 monthly revenue 2025-07","REV-HMW-2025-07-4120"
"JE-HMW-00081","HMW","2025-08-28","12240000","HMW 4120 monthly revenue 2025-08","REV-HMW-2025-08-4120"
"JE-HMW-00082","HMW","2025-09-28","12960000","HMW 4120 monthly revenue 2025-09","REV-HMW-2025-09-4120"
"JE-HMW-00083","HMW","2025-10-28","12960000","HMW 4120 monthly revenue 2025-10","REV-HMW-2025-10-4120"
"JE-HMW-00084","HMW","2025-11-28","12960000","HMW 4120 monthly revenue 2025-11","REV-HMW-2025-11-4120"
"JE-HMW-00085","HMW","2025-12-28","12960000","HMW 4120 monthly revenue 2025-12","REV-HMW-2025-12-4120"
"JE-CLIK-00002","CLIK","2025-01-28","331345","CLIK 4190 monthly revenue","REV-CLIK-2025-01-4190"
"JE-CLIK-00003","CLIK","2025-02-28","309256","CLIK 4190 monthly revenue","REV-CLIK-2025-02-4190"
"JE-CLIK-00004","CLIK","2025-03-28","375525","CLIK 4190 monthly revenue","REV-CLIK-2025-03-4190"
"JE-CLIK-00005","CLIK","2025-04-28","331345","CLIK 4190 monthly revenue","REV-CLIK-2025-04-4190"
"JE-CLIK-00006","CLIK","2025-05-28","353435","CLIK 4190 monthly revenue","REV-CLIK-2025-05-4190"
"JE-CLIK-00007","CLIK","2025-06-28","375525","CLIK 4190 monthly revenue","REV-CLIK-2025-06-4190"
"JE-CLIK-00008","CLIK","2025-07-28","375525","CLIK 4190 monthly revenue","REV-CLIK-2025-07-4190"
"JE-CLIK-00009","CLIK","2025-08-28","375525","CLIK 4190 monthly revenue","REV-CLIK-2025-08-4190"
"JE-CLIK-00010","CLIK","2025-09-28","397614","CLIK 4190 monthly revenue","REV-CLIK-2025-09-4190"
"JE-CLIK-00011","CLIK","2025-10-28","397614","CLIK 4190 monthly revenue","REV-CLIK-2025-10-4190"
"JE-CLIK-00012","CLIK","2025-11-28","397614","CLIK 4190 monthly revenue","REV-CLIK-2025-11-4190"
"JE-CLIK-00013","CLIK","2025-12-28","397613","CLIK 4190 monthly revenue","REV-CLIK-2025-12-4190"
"JE-CLIK-00014","CLIK","2025-01-28","2550000","CLIK 4130 monthly revenue","REV-CLIK-2025-01-4130"
"JE-CLIK-00015","CLIK","2025-02-28","2380000","CLIK 4130 monthly revenue","REV-CLIK-2025-02-4130"
"JE-CLIK-00016","CLIK","2025-03-28","2890000","CLIK 4130 monthly revenue","REV-CLIK-2025-03-4130"
"JE-CLIK-00017","CLIK","2025-04-28","2550000","CLIK 4130 monthly revenue","REV-CLIK-2025-04-4130"
"JE-CLIK-00018","CLIK","2025-05-28","2720000","CLIK 4130 monthly revenue","REV-CLIK-2025-05-4130"
"JE-CLIK-00019","CLIK","2025-06-28","2890000","CLIK 4130 monthly revenue","REV-CLIK-2025-06-4130"
"JE-CLIK-00020","CLIK","2025-07-28","2890000","CLIK 4130 monthly revenue","REV-CLIK-2025-07-4130"
"JE-CLIK-00021","CLIK","2025-08-28","2890000","CLIK 4130 monthly revenue","REV-CLIK-2025-08-4130"
"JE-CLIK-00022","CLIK","2025-09-28","3060000","CLIK 4130 monthly revenue","REV-CLIK-2025-09-4130"
"JE-CLIK-00023","CLIK","2025-10-28","3060000","CLIK 4130 monthly revenue","REV-CLIK-2025-10-4130"
"JE-CLIK-00024","CLIK","2025-11-28","3060000","CLIK 4130 monthly revenue","REV-CLIK-2025-11-4130"
"JE-CLIK-00025","CLIK","2025-12-28","3060000","CLIK 4130 monthly revenue","REV-CLIK-2025-12-4130"
"JE-CLIK-00038","CLIK","2025-01-28","900000","CLIK 4140 monthly revenue","REV-CLIK-2025-01-4140"
"JE-CLIK-00039","CLIK","2025-02-28","840000","CLIK 4140 monthly revenue","REV-CLIK-2025-02-4140"
"JE-CLIK-00040","CLIK","2025-03-28","1020000","CLIK 4140 monthly revenue","REV-CLIK-2025-03-4140"
"JE-CLIK-00041","CLIK","2025-04-28","900000","CLIK 4140 monthly revenue","REV-CLIK-2025-04-4140"
"JE-CLIK-00042","CLIK","2025-05-28","960000","CLIK 4140 monthly revenue","REV-CLIK-2025-05-4140"
"JE-CLIK-00043","CLIK","2025-06-28","1020000","CLIK 4140 monthly revenue","REV-CLIK-2025-06-4140"
"JE-CLIK-00044","CLIK","2025-07-28","1020000","CLIK 4140 monthly revenue","REV-CLIK-2025-07-4140"
"JE-CLIK-00045","CLIK","2025-08-28","1020000","CLIK 4140 monthly revenue","REV-CLIK-2025-08-4140"
"JE-CLIK-00046","CLIK","2025-09-28","1080000","CLIK 4140 monthly revenue","REV-CLIK-2025-09-4140"
"JE-CLIK-00047","CLIK","2025-10-28","1080000","CLIK 4140 monthly revenue","REV-CLIK-2025-10-4140"
"JE-CLIK-00048","CLIK","2025-11-28","1080000","CLIK 4140 monthly revenue","REV-CLIK-2025-11-4140"
"JE-CLIK-00049","CLIK","2025-12-28","1080000","CLIK 4140 monthly revenue","REV-CLIK-2025-12-4140"
"JE-CLIK-00050","CLIK","2025-01-28","7875000","CLIK 4120 monthly revenue","REV-CLIK-2025-01-4120"
"JE-CLIK-00051","CLIK","2025-02-28","7350000","CLIK 4120 monthly revenue","REV-CLIK-2025-02-4120"
"JE-CLIK-00052","CLIK","2025-03-28","8925000","CLIK 4120 monthly revenue","REV-CLIK-2025-03-4120"
"JE-CLIK-00053","CLIK","2025-04-28","7875000","CLIK 4120 monthly revenue","REV-CLIK-2025-04-4120"
"JE-CLIK-00054","CLIK","2025-05-28","8400000","CLIK 4120 monthly revenue","REV-CLIK-2025-05-4120"
"JE-CLIK-00055","CLIK","2025-06-28","8925000","CLIK 4120 monthly revenue","REV-CLIK-2025-06-4120"
"JE-CLIK-00056","CLIK","2025-07-28","8925000","CLIK 4120 monthly revenue","REV-CLIK-2025-07-4120"
"JE-CLIK-00057","CLIK","2025-08-28","8925000","CLIK 4120 monthly revenue","REV-CLIK-2025-08-4120"
"JE-CLIK-00058","CLIK","2025-09-28","9450000","CLIK 4120 monthly revenue","REV-CLIK-2025-09-4120"
"JE-CLIK-00059","CLIK","2025-10-28","9450000","CLIK 4120 monthly revenue","REV-CLIK-2025-10-4120"
"JE-CLIK-00060","CLIK","2025-11-28","9450000","CLIK 4120 monthly revenue","REV-CLIK-2025-11-4120"
"JE-CLIK-00061","CLIK","2025-12-28","9450000","CLIK 4120 monthly revenue","REV-CLIK-2025-12-4120"
