"receipt_id","company","receipt_date","customer_code","ar_account","amount","description","reference"
"JE-ACG-00102","ACG","2025-02-15","CUST-ACG-001","1125","4565000","ACG receipt of mgmt fee from HMW","AR-RCP-ACG-HMW-2025-02"
"JE-ACG-00103","ACG","2025-02-15","CUST-ACG-002","1125","830000","ACG receipt of mgmt fee from CLIK","AR-RCP-ACG-CLIK-2025-02"
"JE-ACG-00104","ACG","2025-03-15","CUST-ACG-001","1125","4565000","ACG receipt of mgmt fee from HMW","AR-RCP-ACG-HMW-2025-03"
"JE-ACG-00105","ACG","2025-03-15","CUST-ACG-002","1125","830000","ACG receipt of mgmt fee from CLIK","AR-RCP-ACG-CLIK-2025-03"
"JE-ACG-00106","ACG","2025-04-15","CUST-ACG-001","1125","4565000","ACG receipt of mgmt fee from HMW","AR-RCP-ACG-HMW-2025-04"
"JE-ACG-00107","ACG","2025-04-15","CUST-ACG-002","1125","830000","ACG receipt of mgmt fee from CLIK","AR-RCP-ACG-CLIK-2025-04"
"JE-ACG-00108","ACG","2025-05-15","CUST-ACG-001","1125","4565000","ACG receipt of mgmt fee from HMW","AR-RCP-ACG-HMW-2025-05"
"JE-ACG-00109","ACG","2025-05-15","CUST-ACG-002","1125","830000","ACG receipt of mgmt fee from CLIK","AR-RCP-ACG-CLIK-2025-05"
"JE-ACG-00110","ACG","2025-06-15","CUST-ACG-001","1125","4565000","ACG receipt of mgmt fee from HMW","AR-RCP-ACG-HMW-2025-06"
"JE-ACG-00111","ACG","2025-06-15","CUST-ACG-002","1125","830000","ACG receipt of mgmt fee from CLIK","AR-RCP-ACG-CLIK-2025-06"
"JE-ACG-00112","ACG","2025-07-15","CUST-ACG-001","1125","4565000","ACG receipt of mgmt fee from HMW","AR-RCP-ACG-HMW-2025-07"
"JE-ACG-00113","ACG","2025-07-15","CUST-ACG-002","1125","830000","ACG receipt of mgmt fee from CLIK","AR-RCP-ACG-CLIK-2025-07"
"JE-ACG-00114","ACG","2025-08-15","CUST-ACG-001","1125","4565000","ACG receipt of mgmt fee from HMW","AR-RCP-ACG-HMW-2025-08"
"JE-ACG-00115","ACG","2025-08-15","CUST-ACG-002","1125","830000","ACG receipt of mgmt fee from CLIK","AR-RCP-ACG-CLIK-2025-08"
"JE-ACG-00116","ACG","2025-09-15","CUST-ACG-001","1125","4620000","ACG receipt of mgmt fee from HMW","AR-RCP-ACG-HMW-2025-09"
"JE-ACG-00117","ACG","2025-09-15","CUST-ACG-002","1125","840000","ACG receipt of mgmt fee from CLIK","AR-RCP-ACG-CLIK-2025-09"
"JE-ACG-00118","ACG","2025-10-15","CUST-ACG-001","1125","4620000","ACG receipt of mgmt fee from HMW","AR-RCP-ACG-HMW-2025-10"
"JE-ACG-00119","ACG","2025-10-15","CUST-ACG-002","1125","840000","ACG receipt of mgmt fee from CLIK","AR-RCP-ACG-CLIK-2025-10"
"JE-ACG-00120","ACG","2025-11-15","CUST-ACG-001","1125","4620000","ACG receipt of mgmt fee from HMW","AR-RCP-ACG-HMW-2025-11"
"JE-ACG-00121","ACG","2025-11-15","CUST-ACG-002","1125","840000","ACG receipt of mgmt fee from CLIK","AR-RCP-ACG-CLIK-2025-11"
"JE-ACG-00122","ACG","2025-12-15","CUST-ACG-001","1125","4620000","ACG receipt of mgmt fee from HMW","AR-RCP-ACG-HMW-2025-12"
"JE-ACG-00123","ACG","2025-12-15","CUST-ACG-002","1125","840000","ACG receipt of mgmt fee from CLIK","AR-RCP-ACG-CLIK-2025-12"
