"bank_txn_id","company","txn_date","bank_account","direction","amount","description","reference","source"
"JE-HMW-00041-1","HMW","2025-04-28","1112","IN","36000000","HMW 4110 monthly revenue 2025-04","REV-HMW-2025-04-4110","AR"
"JE-HMW-00042-1","HMW","2025-05-28","1112","IN","38400000","HMW 4110 monthly revenue 2025-05","REV-HMW-2025-05-4110","AR"
"JE-HMW-00043-1","HMW","2025-06-28","1112","IN","40800000","HMW 4110 monthly revenue 2025-06","REV-HMW-2025-06-4110","AR"
"JE-HMW-00044-1","HMW","2025-07-28","1112","IN","40800000","HMW 4110 monthly revenue 2025-07","REV-HMW-2025-07-4110","AR"
"JE-HMW-00045-1","HMW","2025-08-28","1112","IN","40800000","HMW 4110 monthly revenue 2025-08","REV-HMW-2025-08-4110","AR"
"JE-HMW-00046-1","HMW","2025-09-28","1112","IN","43200000","HMW 4110 monthly revenue 2025-09","REV-HMW-2025-09-4110","AR"
"JE-HMW-00047-1","HMW","2025-10-28","1112","IN","43200000","HMW 4110 monthly revenue 2025-10","REV-HMW-2025-10-4110","AR"
"JE-HMW-00048-1","HMW","2025-11-28","1112","IN","43200000","HMW 4110 monthly revenue 2025-11","REV-HMW-2025-11-4110","AR"
"JE-HMW-00049-1","HMW","2025-12-28","1112","IN","43200000","HMW 4110 monthly revenue 2025-12","REV-HMW-2025-12-4110","AR"
"JE-HMW-00050-1","HMW","2025-01-28","1112","IN","101057","HMW 4180 monthly revenue 2025-01","REV-HMW-2025-01-4180","AR"
"JE-HMW-00051-1","HMW","2025-02-28","1112","IN","94320","HMW 4180 monthly revenue 2025-02","REV-HMW-2025-02-4180","AR"
"JE-HMW-00052-1","HMW","2025-03-28","1112","IN","114531","HMW 4180 monthly revenue 2025-03","REV-HMW-2025-03-4180","AR"
"JE-HMW-00053-1","HMW","2025-04-28","1112","IN","101057","HMW 4180 monthly revenue 2025-04","REV-HMW-2025-04-4180","AR"
"JE-HMW-00054-1","HMW","2025-05-28","1112","IN","107794","HMW 4180 monthly revenue 2025-05","REV-HMW-2025-05-4180","AR"
"JE-HMW-00055-1","HMW","2025-06-28","1112","IN","114531","HMW 4180 monthly revenue 2025-06","REV-HMW-2025-06-4180","AR"
"JE-HMW-00056-1","HMW","2025-07-28","1112","IN","114531","HMW 4180 monthly revenue 2025-07","REV-HMW-2025-07-4180","AR"
"JE-HMW-00057-1","HMW","2025-08-28","1112","IN","114531","HMW 4180 monthly revenue 2025-08","REV-HMW-2025-08-4180","AR"
"JE-HMW-00058-1","HMW","2025-09-28","1112","IN","121268","HMW 4180 monthly revenue 2025-09","REV-HMW-2025-09-4180","AR"
"JE-HMW-00059-1","HMW","2025-10-28","1112","IN","121268","HMW 4180 monthly revenue 2025-10","REV-HMW-2025-10-4180","AR"
"JE-HMW-00060-1","HMW","2025-11-28","1112","IN","121268","HMW 4180 monthly revenue 2025-11","REV-HMW-2025-11-4180","AR"
"JE-HMW-00061-1","HMW","2025-12-28","1112","IN","121270","HMW 4180 monthly revenue 2025-12","REV-HMW-2025-12-4180","AR"
"JE-HMW-00062-1","HMW","2025-01-28","1112","IN","1800000","HMW 4140 monthly revenue 2025-01","REV-HMW-2025-01-4140","AR"
"JE-HMW-00063-1","HMW","2025-02-28","1112","IN","1680000","HMW 4140 monthly revenue 2025-02","REV-HMW-2025-02-4140","AR"
"JE-HMW-00064-1","HMW","2025-03-28","1112","IN","2040000","HMW 4140 monthly revenue 2025-03","REV-HMW-2025-03-4140","AR"
"JE-HMW-00065-1","HMW","2025-04-28","1112","IN","1800000","HMW 4140 monthly revenue 2025-04","REV-HMW-2025-04-4140","AR"
"JE-HMW-00066-1","HMW","2025-05-28","1112","IN","1920000","HMW 4140 monthly revenue 2025-05","REV-HMW-2025-05-4140","AR"
"JE-HMW-00067-1","HMW","2025-06-28","1112","IN","2040000","HMW 4140 monthly revenue 2025-06","REV-HMW-2025-06-4140","AR"
"JE-HMW-00068-1","HMW","2025-07-28","1112","IN","2040000","HMW 4140 monthly revenue 2025-07","REV-HMW-2025-07-4140","AR"
"JE-HMW-00069-1","HMW","2025-08-28","1112","IN","2040000","HMW 4140 monthly revenue 2025-08","REV-HMW-2025-08-4140","AR"
"JE-HMW-00070-1","HMW","2025-09-28","1112","IN","2160000","HMW 4140 monthly revenue 2025-09","REV-HMW-2025-09-4140","AR"
"JE-HMW-00071-1","HMW","2025-10-28","1112","IN","2160000","HMW 4140 monthly revenue 2025-10","REV-HMW-2025-10-4140","AR"
"JE-HMW-00072-1","HMW","2025-11-28","1112","IN","2160000","HMW 4140 monthly revenue 2025-11","REV-HMW-2025-11-4140","AR"
"JE-HMW-00073-1","HMW","2025-12-28","1112","IN","2160000","HMW 4140 monthly revenue 2025-12","REV-HMW-2025-12-4140","AR"
"JE-HMW-00074-2","HMW","2025-01-28","1112","IN","10800000","HMW 4120 monthly revenue 2025-01","REV-HMW-2025-01-4120","AR"
"JE-HMW-00075-2","HMW","2025-02-28","1112","IN","10080000","HMW 4120 monthly revenue 2025-02","REV-HMW-2025-02-4120","AR"
"JE-HMW-00076-2","HMW","2025-03-28","1112","IN","12240000","HMW 4120 monthly revenue 2025-03","REV-HMW-2025-03-4120","AR"
"JE-HMW-00077-2","HMW","2025-04-28","1112","IN","10800000","HMW 4120 monthly revenue 2025-04","REV-HMW-2025-04-4120","AR"
"JE-HMW-00078-2","HMW","2025-05-28","1112","IN","11520000","HMW 4120 monthly revenue 2025-05","REV-HMW-2025-05-4120","AR"
"JE-HMW-00079-2","HMW","2025-06-28","1112","IN","12240000","HMW 4120 monthly revenue 2025-06","REV-HMW-2025-06-4120","AR"
"JE-HMW-00080-2","HMW","2025-07-28","1112","IN","12240000","HMW 4120 monthly revenue 2025-07","REV-HMW-2025-07-4120","AR"
"JE-HMW-00081-2","HMW","2025-08-28","1112","IN","12240000","HMW 4120 monthly revenue 2025-08","REV-HMW-2025-08-4120","AR"
"JE-HMW-00082-2","HMW","2025-09-28","1112","IN","12960000","HMW 4120 monthly revenue 2025-09","REV-HMW-2025-09-4120","AR"
"JE-HMW-00083-2","HMW","2025-10-28","1112","IN","12960000","HMW 4120 monthly revenue 2025-10","REV-HMW-2025-10-4120","AR"
"JE-HMW-00084-2","HMW","2025-11-28","1112","IN","12960000","HMW 4120 monthly revenue 2025-11","REV-HMW-2025-11-4120","AR"
"JE-HMW-00085-2","HMW","2025-12-28","1112","IN","12960000","HMW 4120 monthly revenue 2025-12","REV-HMW-2025-12-4120","AR"
"JE-HMW-00220-2","HMW","2025-01-28","1112","OUT","2656000","HMW SGA 5411 monthly","OPEX-HMW-2025-01-5411","GL"
"JE-HMW-00221-2","HMW","2025-02-28","1112","OUT","2656000","HMW SGA 5411 monthly","OPEX-HMW-2025-02-5411","GL"
"JE-HMW-00222-2","HMW","2025-03-28","1112","OUT","2656000","HMW SGA 5411 monthly","OPEX-HMW-2025-03-5411","GL"
"JE-HMW-00223-2","HMW","2025-04-28","1112","OUT","2656000","HMW SGA 5411 monthly","OPEX-HMW-2025-04-5411","GL"
"JE-HMW-00224-2","HMW","2025-05-28","1112","OUT","2656000","HMW SGA 5411 monthly","OPEX-HMW-2025-05-5411","GL"
"JE-HMW-00225-2","HMW","2025-06-28","1112","OUT","2656000","HMW SGA 5411 monthly","OPEX-HMW-2025-06-5411","GL"
"JE-HMW-00226-2","HMW","2025-07-28","1112","OUT","2656000","HMW SGA 5411 monthly","OPEX-HMW-2025-07-5411","GL"
"JE-HMW-00227-2","HMW","2025-08-28","1112","OUT","2656000","HMW SGA 5411 monthly","OPEX-HMW-2025-08-5411","GL"
"JE-HMW-00228-2","HMW","2025-09-28","1112","OUT","2688000","HMW SGA 5411 monthly","OPEX-HMW-2025-09-5411","GL"
"JE-HMW-00229-2","HMW","2025-10-28","1112","OUT","2688000","HMW SGA 5411 monthly","OPEX-HMW-2025-10-5411","GL"
"JE-HMW-00230-2","HMW","2025-11-28","1112","OUT","2688000","HMW SGA 5411 monthly","OPEX-HMW-2025-11-5411","GL"
"JE-HMW-00231-2","HMW","2025-12-28","1112","OUT","2688000","HMW SGA 5411 monthly","OPEX-HMW-2025-12-5411","GL"
"JE-HMW-00268-2","HMW","2025-03-25","1112","OUT","4000000","Pay accrued other payables Q1","PAY-HMW-Q1-OCP","BANK"
"JE-HMW-00269-2","HMW","2025-06-25","1112","OUT","4000000","Pay accrued other payables Q2","PAY-HMW-Q2-OCP","BANK"
"JE-HMW-00270-2","HMW","2025-09-25","1112","OUT","4000000","Pay accrued other payables Q3","PAY-HMW-Q3-OCP","BANK"
"JE-HMW-00271-2","HMW","2025-12-25","1112","OUT","4000000","Pay accrued other payables Q4","PAY-HMW-Q4-OCP","BANK"
"JE-HMW-00272-2","HMW","2025-01-10","1112","OUT","9375000","HMW AP payment","AP-PAY-HMW-2025-01-2122","BANK"
"JE-HMW-00273-2","HMW","2025-02-10","1112","OUT","8750000","HMW AP payment","AP-PAY-HMW-2025-02-2122","BANK"
"JE-HMW-00274-2","HMW","2025-03-10","1112","OUT","10625000","HMW AP payment","AP-PAY-HMW-2025-03-2122","BANK"
"JE-HMW-00275-2","HMW","2025-04-10","1112","OUT","9375000","HMW AP payment","AP-PAY-HMW-2025-04-2122","BANK"
"JE-HMW-00276-2","HMW","2025-05-10","1112","OUT","10000000","HMW AP payment","AP-PAY-HMW-2025-05-2122","BANK"
"JE-HMW-00277-2","HMW","2025-06-10","1112","OUT","10625000","HMW AP payment","AP-PAY-HMW-2025-06-2122","BANK"
"JE-HMW-00278-2","HMW","2025-07-10","1112","OUT","10625000","HMW AP payment","AP-PAY-HMW-2025-07-2122","BANK"
"JE-HMW-00279-2","HMW","2025-08-10","1112","OUT","10625000","HMW AP payment","AP-PAY-HMW-2025-08-2122","BANK"
"JE-HMW-00280-2","HMW","2025-09-10","1112","OUT","11250000","HMW AP payment","AP-PAY-HMW-2025-09-2122","BANK"
"JE-HMW-00281-2","HMW","2025-10-10","1112","OUT","11250000","HMW AP payment","AP-PAY-HMW-2025-10-2122","BANK"
"JE-HMW-00282-2","HMW","2025-11-10","1112","OUT","11250000","HMW AP payment","AP-PAY-HMW-2025-11-2122","BANK"
"JE-HMW-00283-2","HMW","2025-12-10","1112","OUT","11250000","HMW AP payment","AP-PAY-HMW-2025-12-2122","BANK"
"JE-HMW-00284-2","HMW","2025-01-10","1112","OUT","54000000","HMW AP payment","AP-PAY-HMW-2025-01-2121","BANK"
"JE-HMW-00285-2","HMW","2025-02-10","1112","OUT","50400000","HMW AP payment","AP-PAY-HMW-2025-02-2121","BANK"
"JE-HMW-00286-2","HMW","2025-03-10","1112","OUT","61200000","HMW AP payment","AP-PAY-HMW-2025-03-2121","BANK"
"JE-HMW-00287-2","HMW","2025-04-10","1112","OUT","54000000","HMW AP payment","AP-PAY-HMW-2025-04-2121","BANK"
"JE-HMW-00288-2","HMW","2025-05-10","1112","OUT","57600000","HMW AP payment","AP-PAY-HMW-2025-05-2121","BANK"
"JE-HMW-00289-2","HMW","2025-06-10","1112","OUT","61200000","HMW AP payment","AP-PAY-HMW-2025-06-2121","BANK"
"JE-HMW-00290-2","HMW","2025-07-10","1112","OUT","61200000","HMW AP payment","AP-PAY-HMW-2025-07-2121","BANK"
"JE-HMW-00291-2","HMW","2025-08-10","1112","OUT","61200000","HMW AP payment","AP-PAY-HMW-2025-08-2121","BANK"
"JE-HMW-00292-2","HMW","2025-09-10","1112","OUT","64800000","HMW AP payment","AP-PAY-HMW-2025-09-2121","BANK"
"JE-HMW-00293-2","HMW","2025-10-10","1112","OUT","64800000","HMW AP payment","AP-PAY-HMW-2025-10-2121","BANK"
"JE-HMW-00294-2","HMW","2025-11-10","1112","OUT","64800000","HMW AP payment","AP-PAY-HMW-2025-11-2121","BANK"
"JE-HMW-00295-2","HMW","2025-12-10","1112","OUT","64800000","HMW AP payment","AP-PAY-HMW-2025-12-2121","BANK"
"JE-HMW-00296-2","HMW","2025-01-10","1112","OUT","596250","HMW AP payment","AP-PAY-HMW-2025-01-2123","BANK"
"JE-HMW-00297-2","HMW","2025-02-10","1112","OUT","556500","HMW AP payment","AP-PAY-HMW-2025-02-2123","BANK"
"JE-HMW-00298-2","HMW","2025-03-10","1112","OUT","675750","HMW AP payment","AP-PAY-HMW-2025-03-2123","BANK"
"JE-HMW-00299-2","HMW","2025-04-10","1112","OUT","596250","HMW AP payment","AP-PAY-HMW-2025-04-2123","BANK"
"JE-HMW-00300-2","HMW","2025-05-10","1112","OUT","636000","HMW AP payment","AP-PAY-HMW-2025-05-2123","BANK"
"JE-HMW-00301-2","HMW","2025-06-10","1112","OUT","675750","HMW AP payment","AP-PAY-HMW-2025-06-2123","BANK"
"JE-HMW-00302-2","HMW","2025-07-10","1112","OUT","675750","HMW AP payment","AP-PAY-HMW-2025-07-2123","BANK"
"JE-HMW-00303-2","HMW","2025-08-10","1112","OUT","675750","HMW AP payment","AP-PAY-HMW-2025-08-2123","BANK"
"JE-HMW-00304-2","HMW","2025-09-10","1112","OUT","715500","HMW AP payment","AP-PAY-HMW-2025-09-2123","BANK"
"JE-HMW-00305-2","HMW","2025-10-10","1112","OUT","715500","HMW AP payment","AP-PAY-HMW-2025-10-2123","BANK"
"JE-HMW-00306-2","HMW","2025-11-10","1112","OUT","715500","HMW AP payment","AP-PAY-HMW-2025-11-2123","BANK"
"JE-HMW-00307-2","HMW","2025-12-10","1112","OUT","715500","HMW AP payment","AP-PAY-HMW-2025-12-2123","BANK"
"JE-HMW-00308-1","HMW","2025-01-18","1112","IN","8670000","HMW AR receipts","AR-RCP-HMW-2025-01-1123","BANK"
"JE-HMW-00309-1","HMW","2025-02-18","1112","IN","8092000","HMW AR receipts","AR-RCP-HMW-2025-02-1123","BANK"
"JE-HMW-00310-1","HMW","2025-03-18","1112","IN","9826000","HMW AR receipts","AR-RCP-HMW-2025-03-1123","BANK"
"JE-HMW-00311-1","HMW","2025-04-18","1112","IN","8670000","HMW AR receipts","AR-RCP-HMW-2025-04-1123","BANK"
"JE-HMW-00312-1","HMW","2025-05-18","1112","IN","9248000","HMW AR receipts","AR-RCP-HMW-2025-05-1123","BANK"
"JE-HMW-00313-1","HMW","2025-06-18","1112","IN","9826000","HMW AR receipts","AR-RCP-HMW-2025-06-1123","BANK"
"JE-HMW-00314-1","HMW","2025-07-18","1112","IN","9826000","HMW AR receipts","AR-RCP-HMW-2025-07-1123","BANK"
"JE-HMW-00315-1","HMW","2025-08-18","1112","IN","9826000","HMW AR receipts","AR-RCP-HMW-2025-08-1123","BANK"
"JE-HMW-00316-1","HMW","2025-09-18","1112","IN","10404000","HMW AR receipts","AR-RCP-HMW-2025-09-1123","BANK"
"JE-HMW-00317-1","HMW","2025-10-18","1112","IN","10404000","HMW AR receipts","AR-RCP-HMW-2025-10-1123","BANK"
"JE-HMW-00318-1","HMW","2025-11-18","1112","IN","10404000","HMW AR receipts","AR-RCP-HMW-2025-11-1123","BANK"
"JE-HMW-00319-1","HMW","2025-12-18","1112","IN","10404000","HMW AR receipts","AR-RCP-HMW-2025-12-1123","BANK"
"JE-HMW-00320-1","HMW","2025-01-18","1112","IN","17775000","HMW AR receipts","AR-RCP-HMW-2025-01-1122","BANK"
"JE-HMW-00321-1","HMW","2025-02-18","1112","IN","16590000","HMW AR receipts","AR-RCP-HMW-2025-02-1122","BANK"
"JE-HMW-00322-1","HMW","2025-03-18","1112","IN","20145000","HMW AR receipts","AR-RCP-HMW-2025-03-1122","BANK"
"JE-HMW-00323-1","HMW","2025-04-18","1112","IN","17775000","HMW AR receipts","AR-RCP-HMW-2025-04-1122","BANK"
"JE-HMW-00324-1","HMW","2025-05-18","1112","IN","18960000","HMW AR receipts","AR-RCP-HMW-2025-05-1122","BANK"
"JE-HMW-00325-1","HMW","2025-06-18","1112","IN","20145000","HMW AR receipts","AR-RCP-HMW-2025-06-1122","BANK"
"JE-HMW-00326-1","HMW","2025-07-18","1112","IN","20145000","HMW AR receipts","AR-RCP-HMW-2025-07-1122","BANK"
"JE-HMW-00327-1","HMW","2025-08-18","1112","IN","20145000","HMW AR receipts","AR-RCP-HMW-2025-08-1122","BANK"
"JE-HMW-00328-1","HMW","2025-09-18","1112","IN","21330000","HMW AR receipts","AR-RCP-HMW-2025-09-1122","BANK"
"JE-HMW-00329-1","HMW","2025-10-18","1112","IN","21330000","HMW AR receipts","AR-RCP-HMW-2025-10-1122","BANK"
"JE-HMW-00330-1","HMW","2025-11-18","1112","IN","21330000","HMW AR receipts","AR-RCP-HMW-2025-11-1122","BANK"
"JE-HMW-00331-1","HMW","2025-12-18","1112","IN","21330000","HMW AR receipts","AR-RCP-HMW-2025-12-1122","BANK"
"JE-HMW-00332-1","HMW","2025-01-20","1112","IN","990000","HMW IC AR receipt from CLIK","IC-RCP-HMW-2025-01","BANK"
"JE-HMW-00333-1","HMW","2025-02-20","1112","IN","924000","HMW IC AR receipt from CLIK","IC-RCP-HMW-2025-02","BANK"
"JE-HMW-00334-1","HMW","2025-03-20","1112","IN","1122000","HMW IC AR receipt from CLIK","IC-RCP-HMW-2025-03","BANK"
"JE-HMW-00335-1","HMW","2025-04-20","1112","IN","990000","HMW IC AR receipt from CLIK","IC-RCP-HMW-2025-04","BANK"
"JE-HMW-00336-1","HMW","2025-05-20","1112","IN","1056000","HMW IC AR receipt from CLIK","IC-RCP-HMW-2025-05","BANK"
"JE-HMW-00337-1","HMW","2025-06-20","1112","IN","1122000","HMW IC AR receipt from CLIK","IC-RCP-HMW-2025-06","BANK"
"JE-HMW-00338-1","HMW","2025-07-20","1112","IN","1122000","HMW IC AR receipt from CLIK","IC-RCP-HMW-2025-07","BANK"
"JE-HMW-00339-1","HMW","2025-08-20","1112","IN","1122000","HMW IC AR receipt from CLIK","IC-RCP-HMW-2025-08","BANK"
"JE-HMW-00340-1","HMW","2025-09-20","1112","IN","1188000","HMW IC AR receipt from CLIK","IC-RCP-HMW-2025-09","BANK"
"JE-HMW-00341-1","HMW","2025-10-20","1112","IN","1188000","HMW IC AR receipt from CLIK","IC-RCP-HMW-2025-10","BANK"
"JE-HMW-00342-1","HMW","2025-11-20","1112","IN","1188000","HMW IC AR receipt from CLIK","IC-RCP-HMW-2025-11","BANK"
"JE-HMW-00343-1","HMW","2025-12-20","1112","IN","1188000","HMW IC AR receipt from CLIK","IC-RCP-HMW-2025-12","BANK"
"JE-HMW-00356-2","HMW","2025-01-25","1112","OUT","498000","HMW finance cost 5510_STLOAN","FIN-HMW-2025-01-5510_STLOAN","GL"
"JE-HMW-00357-2","HMW","2025-02-25","1112","OUT","498000","HMW finance cost 5510_STLOAN","FIN-HMW-2025-02-5510_STLOAN","GL"
"JE-HMW-00358-2","HMW","2025-03-25","1112","OUT","498000","HMW finance cost 5510_STLOAN","FIN-HMW-2025-03-5510_STLOAN","GL"
"JE-HMW-00359-2","HMW","2025-04-25","1112","OUT","498000","HMW finance cost 5510_STLOAN","FIN-HMW-2025-04-5510_STLOAN","GL"
"JE-HMW-00360-2","HMW","2025-05-25","1112","OUT","498000","HMW finance cost 5510_STLOAN","FIN-HMW-2025-05-5510_STLOAN","GL"
"JE-HMW-00361-2","HMW","2025-06-25","1112","OUT","498000","HMW finance cost 5510_STLOAN","FIN-HMW-2025-06-5510_STLOAN","GL"
"JE-HMW-00362-2","HMW","2025-07-25","1112","OUT","498000","HMW finance cost 5510_STLOAN","FIN-HMW-2025-07-5510_STLOAN","GL"
"JE-HMW-00363-2","HMW","2025-08-25","1112","OUT","498000","HMW finance cost 5510_STLOAN","FIN-HMW-2025-08-5510_STLOAN","GL"
"JE-HMW-00364-2","HMW","2025-09-25","1112","OUT","504000","HMW finance cost 5510_STLOAN","FIN-HMW-2025-09-5510_STLOAN","GL"
"JE-HMW-00365-2","HMW","2025-10-25","1112","OUT","504000","HMW finance cost 5510_STLOAN","FIN-HMW-2025-10-5510_STLOAN","GL"
"JE-HMW-00366-2","HMW","2025-11-25","1112","OUT","504000","HMW finance cost 5510_STLOAN","FIN-HMW-2025-11-5510_STLOAN","GL"
"JE-HMW-00367-2","HMW","2025-12-25","1112","OUT","504000","HMW finance cost 5510_STLOAN","FIN-HMW-2025-12-5510_STLOAN","GL"
"JE-HMW-00368-2","HMW","2025-01-25","1112","OUT","36739","HMW finance cost 5510_LTLOAN","FIN-HMW-2025-01-5510_LTLOAN","GL"
"JE-HMW-00369-2","HMW","2025-02-25","1112","OUT","36739","HMW finance cost 5510_LTLOAN","FIN-HMW-2025-02-5510_LTLOAN","GL"
"JE-HMW-00370-2","HMW","2025-03-25","1112","OUT","36739","HMW finance cost 5510_LTLOAN","FIN-HMW-2025-03-5510_LTLOAN","GL"
"JE-HMW-00371-2","HMW","2025-04-25","1112","OUT","36739","HMW finance cost 5510_LTLOAN","FIN-HMW-2025-04-5510_LTLOAN","GL"
"JE-HMW-00372-2","HMW","2025-05-25","1112","OUT","36739","HMW finance cost 5510_LTLOAN","FIN-HMW-2025-05-5510_LTLOAN","GL"
"JE-HMW-00373-2","HMW","2025-06-25","1112","OUT","36739","HMW finance cost 5510_LTLOAN","FIN-HMW-2025-06-5510_LTLOAN","GL"
"JE-HMW-00374-2","HMW","2025-07-25","1112","OUT","36739","HMW finance cost 5510_LTLOAN","FIN-HMW-2025-07-5510_LTLOAN","GL"
"JE-HMW-00375-2","HMW","2025-08-25","1112","OUT","36739","HMW finance cost 5510_LTLOAN","FIN-HMW-2025-08-5510_LTLOAN","GL"
"JE-HMW-00376-2","HMW","2025-09-25","1112","OUT","37182","HMW finance cost 5510_LTLOAN","FIN-HMW-2025-09-5510_LTLOAN","GL"
"JE-HMW-00377-2","HMW","2025-10-25","1112","OUT","37182","HMW finance cost 5510_LTLOAN","FIN-HMW-2025-10-5510_LTLOAN","GL"
"JE-HMW-00378-2","HMW","2025-11-25","1112","OUT","37182","HMW finance cost 5510_LTLOAN","FIN-HMW-2025-11-5510_LTLOAN","GL"
