"invoice_id","company","invoice_date","customer_code","ar_account","amount_ex_vat","description","reference"
"JE-CLIK-00060","CLIK","2025-11-28","CUST-CLIK-002","1123","4050000","CLIK 4120 monthly revenue","REV-CLIK-2025-11-4120"
"JE-CLIK-00061","CLIK","2025-12-28","CUST-CLIK-002","1123","4050000","CLIK 4120 monthly revenue","REV-CLIK-2025-12-4120"
"JE-ACG-00002","ACG","2025-01-28","CUST-ACG-001","1125","4565000","ACG mgmt fee from HMW","REV-ACG-2025-01-HMW"
"JE-ACG-00003","ACG","2025-02-28","CUST-ACG-001","1125","4565000","ACG mgmt fee from HMW","REV-ACG-2025-02-HMW"
"JE-ACG-00004","ACG","2025-03-28","CUST-ACG-001","1125","4565000","ACG mgmt fee from HMW","REV-ACG-2025-03-HMW"
"JE-ACG-00005","ACG","2025-04-28","CUST-ACG-001","1125","4565000","ACG mgmt fee from HMW","REV-ACG-2025-04-HMW"
"JE-ACG-00006","ACG","2025-05-28","CUST-ACG-001","1125","4565000","ACG mgmt fee from HMW","REV-ACG-2025-05-HMW"
"JE-ACG-00007","ACG","2025-06-28","CUST-ACG-001","1125","4565000","ACG mgmt fee from HMW","REV-ACG-2025-06-HMW"
"JE-ACG-00008","ACG","2025-07-28","CUST-ACG-001","1125","4565000","ACG mgmt fee from HMW","REV-ACG-2025-07-HMW"
"JE-ACG-00009","ACG","2025-08-28","CUST-ACG-001","1125","4565000","ACG mgmt fee from HMW","REV-ACG-2025-08-HMW"
"JE-ACG-00010","ACG","2025-09-28","CUST-ACG-001","1125","4620000","ACG mgmt fee from HMW","REV-ACG-2025-09-HMW"
"JE-ACG-00011","ACG","2025-10-28","CUST-ACG-001","1125","4620000","ACG mgmt fee from HMW","REV-ACG-2025-10-HMW"
"JE-ACG-00012","ACG","2025-11-28","CUST-ACG-001","1125","4620000","ACG mgmt fee from HMW","REV-ACG-2025-11-HMW"
"JE-ACG-00013","ACG","2025-12-28","CUST-ACG-001","1125","4620000","ACG mgmt fee from HMW","REV-ACG-2025-12-HMW"
"JE-ACG-00014","ACG","2025-01-28","CUST-ACG-002","1125","838061","ACG mgmt fee from CLIK","REV-ACG-2025-01-CLIK"
"JE-ACG-00015","ACG","2025-02-28","CUST-ACG-002","1125","838061","ACG mgmt fee from CLIK","REV-ACG-2025-02-CLIK"
"JE-ACG-00016","ACG","2025-03-28","CUST-ACG-002","1125","838061","ACG mgmt fee from CLIK","REV-ACG-2025-03-CLIK"
"JE-ACG-00017","ACG","2025-04-28","CUST-ACG-002","1125","838061","ACG mgmt fee from CLIK","REV-ACG-2025-04-CLIK"
"JE-ACG-00018","ACG","2025-05-28","CUST-ACG-002","1125","838061","ACG mgmt fee from CLIK","REV-ACG-2025-05-CLIK"
"JE-ACG-00019","ACG","2025-06-28","CUST-ACG-002","1125","838061","ACG mgmt fee from CLIK","REV-ACG-2025-06-CLIK"
"JE-ACG-00020","ACG","2025-07-28","CUST-ACG-002","1125","838061","ACG mgmt fee from CLIK","REV-ACG-2025-07-CLIK"
"JE-ACG-00021","ACG","2025-08-28","CUST-ACG-002","1125","838061","ACG mgmt fee from CLIK","REV-ACG-2025-08-CLIK"
"JE-ACG-00022","ACG","2025-09-28","CUST-ACG-002","1125","848158","ACG mgmt fee from CLIK","REV-ACG-2025-09-CLIK"
"JE-ACG-00023","ACG","2025-10-28","CUST-ACG-002","1125","848158","ACG mgmt fee from CLIK","REV-ACG-2025-10-CLIK"
"JE-ACG-00024","ACG","2025-11-28","CUST-ACG-002","1125","848158","ACG mgmt fee from CLIK","REV-ACG-2025-11-CLIK"
"JE-ACG-00025","ACG","2025-12-28","CUST-ACG-002","1125","848157","ACG mgmt fee from CLIK","REV-ACG-2025-12-CLIK"
