"payment_id","company","payment_date","vendor_code","ap_account","amount","description","reference"
"JE-HMW-00301","HMW","2025-06-10","VEND-HMW-007","2123","675750","HMW AP payment","AP-PAY-HMW-2025-06-2123"
"JE-HMW-00302","HMW","2025-07-10","VEND-HMW-007","2123","675750","HMW AP payment","AP-PAY-HMW-2025-07-2123"
"JE-HMW-00303","HMW","2025-08-10","VEND-HMW-007","2123","675750","HMW AP payment","AP-PAY-HMW-2025-08-2123"
"JE-HMW-00304","HMW","2025-09-10","VEND-HMW-007","2123","715500","HMW AP payment","AP-PAY-HMW-2025-09-2123"
"JE-HMW-00305","HMW","2025-10-10","VEND-HMW-007","2123","715500","HMW AP payment","AP-PAY-HMW-2025-10-2123"
"JE-HMW-00306","HMW","2025-11-10","VEND-HMW-007","2123","715500","HMW AP payment","AP-PAY-HMW-2025-11-2123"
"JE-HMW-00307","HMW","2025-12-10","VEND-HMW-007","2123","715500","HMW AP payment","AP-PAY-HMW-2025-12-2123"
"JE-CLIK-00315","CLIK","2025-01-10","VEND-CLIK-001","2122","4350000","CLIK AP payment","AP-PAY-CLIK-2025-01-2122"
"JE-CLIK-00316","CLIK","2025-02-10","VEND-CLIK-001","2122","4060000","CLIK AP payment","AP-PAY-CLIK-2025-02-2122"
"JE-CLIK-00317","CLIK","2025-03-10","VEND-CLIK-001","2122","4930000","CLIK AP payment","AP-PAY-CLIK-2025-03-2122"
"JE-CLIK-00318","CLIK","2025-04-10","VEND-CLIK-001","2122","4350000","CLIK AP payment","AP-PAY-CLIK-2025-04-2122"
"JE-CLIK-00319","CLIK","2025-05-10","VEND-CLIK-001","2122","4640000","CLIK AP payment","AP-PAY-CLIK-2025-05-2122"
"JE-CLIK-00320","CLIK","2025-06-10","VEND-CLIK-001","2122","4930000","CLIK AP payment","AP-PAY-CLIK-2025-06-2122"
"JE-CLIK-00321","CLIK","2025-07-10","VEND-CLIK-001","2122","4930000","CLIK AP payment","AP-PAY-CLIK-2025-07-2122"
"JE-CLIK-00322","CLIK","2025-08-10","VEND-CLIK-001","2122","4930000","CLIK AP payment","AP-PAY-CLIK-2025-08-2122"
"JE-CLIK-00323","CLIK","2025-09-10","VEND-CLIK-001","2122","5220000","CLIK AP payment","AP-PAY-CLIK-2025-09-2122"
"JE-CLIK-00324","CLIK","2025-10-10","VEND-CLIK-001","2122","5220000","CLIK AP payment","AP-PAY-CLIK-2025-10-2122"
"JE-CLIK-00325","CLIK","2025-11-10","VEND-CLIK-001","2122","5220000","CLIK AP payment","AP-PAY-CLIK-2025-11-2122"
"JE-CLIK-00326","CLIK","2025-12-10","VEND-CLIK-001","2122","5220000","CLIK AP payment","AP-PAY-CLIK-2025-12-2122"
"JE-CLIK-00327","CLIK","2025-01-10","VEND-CLIK-099","2125","1207500","CLIK AP payment","AP-PAY-CLIK-2025-01-2125"
"JE-CLIK-00328","CLIK","2025-02-10","VEND-CLIK-099","2125","1127000","CLIK AP payment","AP-PAY-CLIK-2025-02-2125"
"JE-CLIK-00329","CLIK","2025-03-10","VEND-CLIK-099","2125","1368500","CLIK AP payment","AP-PAY-CLIK-2025-03-2125"
"JE-CLIK-00330","CLIK","2025-04-10","VEND-CLIK-099","2125","1207500","CLIK AP payment","AP-PAY-CLIK-2025-04-2125"
"JE-CLIK-00331","CLIK","2025-05-10","VEND-CLIK-099","2125","1288000","CLIK AP payment","AP-PAY-CLIK-2025-05-2125"
"JE-CLIK-00332","CLIK","2025-06-10","VEND-CLIK-099","2125","1368500","CLIK AP payment","AP-PAY-CLIK-2025-06-2125"
"JE-CLIK-00333","CLIK","2025-07-10","VEND-CLIK-099","2125","1368500","CLIK AP payment","AP-PAY-CLIK-2025-07-2125"
"JE-CLIK-00334","CLIK","2025-08-10","VEND-CLIK-099","2125","1368500","CLIK AP payment","AP-PAY-CLIK-2025-08-2125"
"JE-CLIK-00335","CLIK","2025-09-10","VEND-CLIK-099","2125","1449000","CLIK AP payment","AP-PAY-CLIK-2025-09-2125"
"JE-CLIK-00336","CLIK","2025-10-10","VEND-CLIK-099","2125","1449000","CLIK AP payment","AP-PAY-CLIK-2025-10-2125"
"JE-CLIK-00337","CLIK","2025-11-10","VEND-CLIK-099","2125","1449000","CLIK AP payment","AP-PAY-CLIK-2025-11-2125"
"JE-CLIK-00338","CLIK","2025-12-10","VEND-CLIK-099","2125","1449000","CLIK AP payment","AP-PAY-CLIK-2025-12-2125"
"JE-CLIK-00339","CLIK","2025-01-10","VEND-CLIK-005","2123","675000","CLIK AP payment","AP-PAY-CLIK-2025-01-2123"
"JE-CLIK-00340","CLIK","2025-02-10","VEND-CLIK-005","2123","630000","CLIK AP payment","AP-PAY-CLIK-2025-02-2123"
"JE-CLIK-00341","CLIK","2025-03-10","VEND-CLIK-005","2123","765000","CLIK AP payment","AP-PAY-CLIK-2025-03-2123"
"JE-CLIK-00342","CLIK","2025-04-10","VEND-CLIK-005","2123","675000","CLIK AP payment","AP-PAY-CLIK-2025-04-2123"
"JE-CLIK-00343","CLIK","2025-05-10","VEND-CLIK-005","2123","720000","CLIK AP payment","AP-PAY-CLIK-2025-05-2123"
"JE-CLIK-00344","CLIK","2025-06-10","VEND-CLIK-005","2123","765000","CLIK AP payment","AP-PAY-CLIK-2025-06-2123"
"JE-CLIK-00345","CLIK","2025-07-10","VEND-CLIK-005","2123","765000","CLIK AP payment","AP-PAY-CLIK-2025-07-2123"
"JE-CLIK-00346","CLIK","2025-08-10","VEND-CLIK-005","2123","765000","CLIK AP payment","AP-PAY-CLIK-2025-08-2123"
"JE-CLIK-00347","CLIK","2025-09-10","VEND-CLIK-005","2123","810000","CLIK AP payment","AP-PAY-CLIK-2025-09-2123"
"JE-CLIK-00348","CLIK","2025-10-10","VEND-CLIK-005","2123","810000","CLIK AP payment","AP-PAY-CLIK-2025-10-2123"
"JE-CLIK-00349","CLIK","2025-11-10","VEND-CLIK-005","2123","810000","CLIK AP payment","AP-PAY-CLIK-2025-11-2123"
"JE-CLIK-00350","CLIK","2025-12-10","VEND-CLIK-005","2123","810000","CLIK AP payment","AP-PAY-CLIK-2025-12-2123"
