"payment_id","company","payment_date","amount","description","reference","source"
"JE-HMW-00359","HMW","2025-04-25","498000","HMW finance cost 5510_STLOAN","FIN-HMW-2025-04-5510_STLOAN","GL"
"JE-HMW-00360","HMW","2025-05-25","498000","HMW finance cost 5510_STLOAN","FIN-HMW-2025-05-5510_STLOAN","GL"
"JE-HMW-00361","HMW","2025-06-25","498000","HMW finance cost 5510_STLOAN","FIN-HMW-2025-06-5510_STLOAN","GL"
"JE-HMW-00362","HMW","2025-07-25","498000","HMW finance cost 5510_STLOAN","FIN-HMW-2025-07-5510_STLOAN","GL"
"JE-HMW-00363","HMW","2025-08-25","498000","HMW finance cost 5510_STLOAN","FIN-HMW-2025-08-5510_STLOAN","GL"
"JE-HMW-00364","HMW","2025-09-25","504000","HMW finance cost 5510_STLOAN","FIN-HMW-2025-09-5510_STLOAN","GL"
"JE-HMW-00365","HMW","2025-10-25","504000","HMW finance cost 5510_STLOAN","FIN-HMW-2025-10-5510_STLOAN","GL"
"JE-HMW-00366","HMW","2025-11-25","504000","HMW finance cost 5510_STLOAN","FIN-HMW-2025-11-5510_STLOAN","GL"
"JE-HMW-00367","HMW","2025-12-25","504000","HMW finance cost 5510_STLOAN","FIN-HMW-2025-12-5510_STLOAN","GL"
"JE-HMW-00368","HMW","2025-01-25","36739","HMW finance cost 5510_LTLOAN","FIN-HMW-2025-01-5510_LTLOAN","GL"
"JE-HMW-00369","HMW","2025-02-25","36739","HMW finance cost 5510_LTLOAN","FIN-HMW-2025-02-5510_LTLOAN","GL"
"JE-HMW-00370","HMW","2025-03-25","36739","HMW finance cost 5510_LTLOAN","FIN-HMW-2025-03-5510_LTLOAN","GL"
"JE-HMW-00371","HMW","2025-04-25","36739","HMW finance cost 5510_LTLOAN","FIN-HMW-2025-04-5510_LTLOAN","GL"
"JE-HMW-00372","HMW","2025-05-25","36739","HMW finance cost 5510_LTLOAN","FIN-HMW-2025-05-5510_LTLOAN","GL"
"JE-HMW-00373","HMW","2025-06-25","36739","HMW finance cost 5510_LTLOAN","FIN-HMW-2025-06-5510_LTLOAN","GL"
"JE-HMW-00374","HMW","2025-07-25","36739","HMW finance cost 5510_LTLOAN","FIN-HMW-2025-07-5510_LTLOAN","GL"
"JE-HMW-00375","HMW","2025-08-25","36739","HMW finance cost 5510_LTLOAN","FIN-HMW-2025-08-5510_LTLOAN","GL"
"JE-HMW-00376","HMW","2025-09-25","37182","HMW finance cost 5510_LTLOAN","FIN-HMW-2025-09-5510_LTLOAN","GL"
"JE-HMW-00377","HMW","2025-10-25","37182","HMW finance cost 5510_LTLOAN","FIN-HMW-2025-10-5510_LTLOAN","GL"
"JE-HMW-00378","HMW","2025-11-25","37182","HMW finance cost 5510_LTLOAN","FIN-HMW-2025-11-5510_LTLOAN","GL"
"JE-HMW-00379","HMW","2025-12-25","37185","HMW finance cost 5510_LTLOAN","FIN-HMW-2025-12-5510_LTLOAN","GL"
"JE-HMW-00381","HMW","2025-01-28","85000000","HMW ST loan repayment","STL-REPAY-HMW-2025-01","LOAN"
"JE-HMW-00383","HMW","2025-02-28","85000000","HMW ST loan repayment","STL-REPAY-HMW-2025-02","LOAN"
"JE-HMW-00385","HMW","2025-03-28","85000000","HMW ST loan repayment","STL-REPAY-HMW-2025-03","LOAN"
"JE-HMW-00387","HMW","2025-04-28","85000000","HMW ST loan repayment","STL-REPAY-HMW-2025-04","LOAN"
"JE-HMW-00389","HMW","2025-05-28","85000000","HMW ST loan repayment","STL-REPAY-HMW-2025-05","LOAN"
"JE-HMW-00391","HMW","2025-06-28","85000000","HMW ST loan repayment","STL-REPAY-HMW-2025-06","LOAN"
"JE-HMW-00393","HMW","2025-07-28","85000000","HMW ST loan repayment","STL-REPAY-HMW-2025-07","LOAN"
"JE-HMW-00395","HMW","2025-08-28","85000000","HMW ST loan repayment","STL-REPAY-HMW-2025-08","LOAN"
"JE-HMW-00397","HMW","2025-09-28","85000000","HMW ST loan repayment","STL-REPAY-HMW-2025-09","LOAN"
"JE-HMW-00399","HMW","2025-10-28","85000000","HMW ST loan repayment","STL-REPAY-HMW-2025-10","LOAN"
"JE-HMW-00401","HMW","2025-11-28","85000000","HMW ST loan repayment","STL-REPAY-HMW-2025-11","LOAN"
"JE-HMW-00403","HMW","2025-12-28","85000000","HMW ST loan repayment","STL-REPAY-HMW-2025-12","LOAN"
"JE-HMW-00404","HMW","2025-06-30","11150000","HMW LT loan final repayment","LTL-REPAY-HMW-FINAL","LOAN"
"JE-HMW-00405","HMW","2025-01-01","1233504","HMW lease payment","LEASE-PAY-HMW-2025-01","BANK"
"JE-HMW-00406","HMW","2025-02-01","1233504","HMW lease payment","LEASE-PAY-HMW-2025-02","BANK"
"JE-HMW-00407","HMW","2025-03-01","1233504","HMW lease payment","LEASE-PAY-HMW-2025-03","BANK"
"JE-HMW-00408","HMW","2025-04-01","1233504","HMW lease payment","LEASE-PAY-HMW-2025-04","BANK"
"JE-HMW-00409","HMW","2025-05-01","1233504","HMW lease payment","LEASE-PAY-HMW-2025-05","BANK"
"JE-HMW-00410","HMW","2025-06-01","1233504","HMW lease payment","LEASE-PAY-HMW-2025-06","BANK"
"JE-HMW-00411","HMW","2025-07-01","1233504","HMW lease payment","LEASE-PAY-HMW-2025-07","BANK"
"JE-HMW-00412","HMW","2025-08-01","1233504","HMW lease payment","LEASE-PAY-HMW-2025-08","BANK"
"JE-HMW-00413","HMW","2025-09-01","1248365","HMW lease payment","LEASE-PAY-HMW-2025-09","BANK"
"JE-HMW-00414","HMW","2025-10-01","1248365","HMW lease payment","LEASE-PAY-HMW-2025-10","BANK"
"JE-HMW-00415","HMW","2025-11-01","1248365","HMW lease payment","LEASE-PAY-HMW-2025-11","BANK"
"JE-HMW-00416","HMW","2025-12-01","1248362","HMW lease payment","LEASE-PAY-HMW-2025-12","BANK"
"JE-HMW-00418","HMW","2025-03-01","2800000","HMW capex - new test drive fleet","CAPEX-HMW-VEH-002","FA"
"JE-HMW-00419","HMW","2025-09-30","263493","HMW capex - F&E upgrade","CAPEX-HMW-FE-2025","FA"
"JE-HMW-00425","HMW","2025-04-30","3875000","HMW tax payment PND.51 Q1","TAX-PAY-HMW-Q1","TAX"
"JE-HMW-00426","HMW","2025-07-30","3875000","HMW tax payment PND.51 Q2","TAX-PAY-HMW-Q2","TAX"
"JE-HMW-00427","HMW","2025-10-30","3875000","HMW tax payment PND.51 Q3","TAX-PAY-HMW-Q3","TAX"
"JE-HMW-00428","HMW","2025-12-30","3875000","HMW tax payment PND.51 Q4","TAX-PAY-HMW-Q4","TAX"
"JE-HMW-00429","HMW","2025-04-30","15956511","HMW dividend declared and paid to ACG","DIV-HMW-2025","GL"
"JE-CLIK-00110","CLIK","2025-01-28","2075000","CLIK SGA 5411","OPEX-CLIK-2025-01-5411","GL"
"JE-CLIK-00111","CLIK","2025-02-28","2075000","CLIK SGA 5411","OPEX-CLIK-2025-02-5411","GL"
"JE-CLIK-00112","CLIK","2025-03-28","2075000","CLIK SGA 5411","OPEX-CLIK-2025-03-5411","GL"
"JE-CLIK-00113","CLIK","2025-04-28","2075000","CLIK SGA 5411","OPEX-CLIK-2025-04-5411","GL"
"JE-CLIK-00114","CLIK","2025-05-28","2075000","CLIK SGA 5411","OPEX-CLIK-2025-05-5411","GL"
"JE-CLIK-00115","CLIK","2025-06-28","2075000","CLIK SGA 5411","OPEX-CLIK-2025-06-5411","GL"
"JE-CLIK-00116","CLIK","2025-07-28","2075000","CLIK SGA 5411","OPEX-CLIK-2025-07-5411","GL"
"JE-CLIK-00117","CLIK","2025-08-28","2075000","CLIK SGA 5411","OPEX-CLIK-2025-08-5411","GL"
"JE-CLIK-00118","CLIK","2025-09-28","2100000","CLIK SGA 5411","OPEX-CLIK-2025-09-5411","GL"
"JE-CLIK-00119","CLIK","2025-10-28","2100000","CLIK SGA 5411","OPEX-CLIK-2025-10-5411","GL"
"JE-CLIK-00120","CLIK","2025-11-28","2100000","CLIK SGA 5411","OPEX-CLIK-2025-11-5411","GL"
"JE-CLIK-00121","CLIK","2025-12-28","2100000","CLIK SGA 5411","OPEX-CLIK-2025-12-5411","GL"
"JE-CLIK-00230","CLIK","2025-01-25","298800","CLIK interest expense 5510_OTHER","FIN-CLIK-2025-01-5510_OTHER","GL"
"JE-CLIK-00231","CLIK","2025-02-25","298800","CLIK interest expense 5510_OTHER","FIN-CLIK-2025-02-5510_OTHER","GL"
"JE-CLIK-00232","CLIK","2025-03-25","298800","CLIK interest expense 5510_OTHER","FIN-CLIK-2025-03-5510_OTHER","GL"
"JE-CLIK-00233","CLIK","2025-04-25","298800","CLIK interest expense 5510_OTHER","FIN-CLIK-2025-04-5510_OTHER","GL"
"JE-CLIK-00234","CLIK","2025-05-25","298800","CLIK interest expense 5510_OTHER","FIN-CLIK-2025-05-5510_OTHER","GL"
"JE-CLIK-00235","CLIK","2025-06-25","298800","CLIK interest expense 5510_OTHER","FIN-CLIK-2025-06-5510_OTHER","GL"
"JE-CLIK-00236","CLIK","2025-07-25","298800","CLIK interest expense 5510_OTHER","FIN-CLIK-2025-07-5510_OTHER","GL"
"JE-CLIK-00237","CLIK","2025-08-25","298800","CLIK interest expense 5510_OTHER","FIN-CLIK-2025-08-5510_OTHER","GL"
"JE-CLIK-00238","CLIK","2025-09-25","302400","CLIK interest expense 5510_OTHER","FIN-CLIK-2025-09-5510_OTHER","GL"
"JE-CLIK-00239","CLIK","2025-10-25","302400","CLIK interest expense 5510_OTHER","FIN-CLIK-2025-10-5510_OTHER","GL"
"JE-CLIK-00240","CLIK","2025-11-25","302400","CLIK interest expense 5510_OTHER","FIN-CLIK-2025-11-5510_OTHER","GL"
"JE-CLIK-00241","CLIK","2025-12-25","302400","CLIK interest expense 5510_OTHER","FIN-CLIK-2025-12-5510_OTHER","GL"
"JE-CLIK-00254","CLIK","2025-01-25","365200","CLIK interest expense 5510_LTBANK","FIN-CLIK-2025-01-5510_LTBANK","GL"
"JE-CLIK-00255","CLIK","2025-02-25","365200","CLIK interest expense 5510_LTBANK","FIN-CLIK-2025-02-5510_LTBANK","GL"
"JE-CLIK-00256","CLIK","2025-03-25","365200","CLIK interest expense 5510_LTBANK","FIN-CLIK-2025-03-5510_LTBANK","GL"
"JE-CLIK-00257","CLIK","2025-04-25","365200","CLIK interest expense 5510_LTBANK","FIN-CLIK-2025-04-5510_LTBANK","GL"
"JE-CLIK-00258","CLIK","2025-05-25","365200","CLIK interest expense 5510_LTBANK","FIN-CLIK-2025-05-5510_LTBANK","GL"
"JE-CLIK-00259","CLIK","2025-06-25","365200","CLIK interest expense 5510_LTBANK","FIN-CLIK-2025-06-5510_LTBANK","GL"
"JE-CLIK-00260","CLIK","2025-07-25","365200","CLIK interest expense 5510_LTBANK","FIN-CLIK-2025-07-5510_LTBANK","GL"
"JE-CLIK-00261","CLIK","2025-08-25","365200","CLIK interest expense 5510_LTBANK","FIN-CLIK-2025-08-5510_LTBANK","GL"
"JE-CLIK-00262","CLIK","2025-09-25","369600","CLIK interest expense 5510_LTBANK","FIN-CLIK-2025-09-5510_LTBANK","GL"
"JE-CLIK-00263","CLIK","2025-10-25","369600","CLIK interest expense 5510_LTBANK","FIN-CLIK-2025-10-5510_LTBANK","GL"
"JE-CLIK-00264","CLIK","2025-11-25","369600","CLIK interest expense 5510_LTBANK","FIN-CLIK-2025-11-5510_LTBANK","GL"
"JE-CLIK-00265","CLIK","2025-12-25","369600","CLIK interest expense 5510_LTBANK","FIN-CLIK-2025-12-5510_LTBANK","GL"
"JE-CLIK-00266","CLIK","2025-01-01","149400","CLIK lease payment","LEASE-CLIK-2025-01","BANK"
"JE-CLIK-00267","CLIK","2025-02-01","149400","CLIK lease payment","LEASE-CLIK-2025-02","BANK"
"JE-CLIK-00268","CLIK","2025-03-01","149400","CLIK lease payment","LEASE-CLIK-2025-03","BANK"
"JE-CLIK-00269","CLIK","2025-04-01","149400","CLIK lease payment","LEASE-CLIK-2025-04","BANK"
"JE-CLIK-00270","CLIK","2025-05-01","149400","CLIK lease payment","LEASE-CLIK-2025-05","BANK"
"JE-CLIK-00271","CLIK","2025-06-01","149400","CLIK lease payment","LEASE-CLIK-2025-06","BANK"
"JE-CLIK-00272","CLIK","2025-07-01","149400","CLIK lease payment","LEASE-CLIK-2025-07","BANK"
"JE-CLIK-00273","CLIK","2025-08-01","149400","CLIK lease payment","LEASE-CLIK-2025-08","BANK"
"JE-CLIK-00274","CLIK","2025-09-01","151200","CLIK lease payment","LEASE-CLIK-2025-09","BANK"
"JE-CLIK-00275","CLIK","2025-10-01","151200","CLIK lease payment","LEASE-CLIK-2025-10","BANK"
"JE-CLIK-00276","CLIK","2025-11-01","151200","CLIK lease payment","LEASE-CLIK-2025-11","BANK"
"JE-CLIK-00277","CLIK","2025-12-01","151200","CLIK lease payment","LEASE-CLIK-2025-12","BANK"
"JE-CLIK-00303","CLIK","2025-01-10","8925000","CLIK AP payment","AP-PAY-CLIK-2025-01-2130","BANK"
"JE-CLIK-00304","CLIK","2025-02-10","8330000","CLIK AP payment","AP-PAY-CLIK-2025-02-2130","BANK"
"JE-CLIK-00305","CLIK","2025-03-10","10115000","CLIK AP payment","AP-PAY-CLIK-2025-03-2130","BANK"
"JE-CLIK-00306","CLIK","2025-04-10","8925000","CLIK AP payment","AP-PAY-CLIK-2025-04-2130","BANK"
"JE-CLIK-00307","CLIK","2025-05-10","9520000","CLIK AP payment","AP-PAY-CLIK-2025-05-2130","BANK"
"JE-CLIK-00308","CLIK","2025-06-10","10115000","CLIK AP payment","AP-PAY-CLIK-2025-06-2130","BANK"
"JE-CLIK-00309","CLIK","2025-07-10","10115000","CLIK AP payment","AP-PAY-CLIK-2025-07-2130","BANK"
"JE-CLIK-00310","CLIK","2025-08-10","10115000","CLIK AP payment","AP-PAY-CLIK-2025-08-2130","BANK"
"JE-CLIK-00311","CLIK","2025-09-10","10710000","CLIK AP payment","AP-PAY-CLIK-2025-09-2130","BANK"
"JE-CLIK-00312","CLIK","2025-10-10","10710000","CLIK AP payment","AP-PAY-CLIK-2025-10-2130","BANK"
"JE-CLIK-00313","CLIK","2025-11-10","10710000","CLIK AP payment","AP-PAY-CLIK-2025-11-2130","BANK"
"JE-CLIK-00314","CLIK","2025-12-10","10710000","CLIK AP payment","AP-PAY-CLIK-2025-12-2130","BANK"
"JE-CLIK-00315","CLIK","2025-01-10","4350000","CLIK AP payment","AP-PAY-CLIK-2025-01-2122","BANK"
"JE-CLIK-00316","CLIK","2025-02-10","4060000","CLIK AP payment","AP-PAY-CLIK-2025-02-2122","BANK"
"JE-CLIK-00317","CLIK","2025-03-10","4930000","CLIK AP payment","AP-PAY-CLIK-2025-03-2122","BANK"
"JE-CLIK-00318","CLIK","2025-04-10","4350000","CLIK AP payment","AP-PAY-CLIK-2025-04-2122","BANK"
"JE-CLIK-00319","CLIK","2025-05-10","4640000","CLIK AP payment","AP-PAY-CLIK-2025-05-2122","BANK"
"JE-CLIK-00320","CLIK","2025-06-10","4930000","CLIK AP payment","AP-PAY-CLIK-2025-06-2122","BANK"
"JE-CLIK-00321","CLIK","2025-07-10","4930000","CLIK AP payment","AP-PAY-CLIK-2025-07-2122","BANK"
"JE-CLIK-00322","CLIK","2025-08-10","4930000","CLIK AP payment","AP-PAY-CLIK-2025-08-2122","BANK"
"JE-CLIK-00323","CLIK","2025-09-10","5220000","CLIK AP payment","AP-PAY-CLIK-2025-09-2122","BANK"
"JE-CLIK-00324","CLIK","2025-10-10","5220000","CLIK AP payment","AP-PAY-CLIK-2025-10-2122","BANK"
"JE-CLIK-00325","CLIK","2025-11-10","5220000","CLIK AP payment","AP-PAY-CLIK-2025-11-2122","BANK"
"JE-CLIK-00326","CLIK","2025-12-10","5220000","CLIK AP payment","AP-PAY-CLIK-2025-12-2122","BANK"
"JE-CLIK-00327","CLIK","2025-01-10","1207500","CLIK AP payment","AP-PAY-CLIK-2025-01-2125","BANK"
"JE-CLIK-00328","CLIK","2025-02-10","1127000","CLIK AP payment","AP-PAY-CLIK-2025-02-2125","BANK"
"JE-CLIK-00329","CLIK","2025-03-10","1368500","CLIK AP payment","AP-PAY-CLIK-2025-03-2125","BANK"
"JE-CLIK-00330","CLIK","2025-04-10","1207500","CLIK AP payment","AP-PAY-CLIK-2025-04-2125","BANK"
"JE-CLIK-00331","CLIK","2025-05-10","1288000","CLIK AP payment","AP-PAY-CLIK-2025-05-2125","BANK"
"JE-CLIK-00332","CLIK","2025-06-10","1368500","CLIK AP payment","AP-PAY-CLIK-2025-06-2125","BANK"
"JE-CLIK-00333","CLIK","2025-07-10","1368500","CLIK AP payment","AP-PAY-CLIK-2025-07-2125","BANK"
"JE-CLIK-00334","CLIK","2025-08-10","1368500","CLIK AP payment","AP-PAY-CLIK-2025-08-2125","BANK"
"JE-CLIK-00335","CLIK","2025-09-10","1449000","CLIK AP payment","AP-PAY-CLIK-2025-09-2125","BANK"
"JE-CLIK-00336","CLIK","2025-10-10","1449000","CLIK AP payment","AP-PAY-CLIK-2025-10-2125","BANK"
"JE-CLIK-00337","CLIK","2025-11-10","1449000","CLIK AP payment","AP-PAY-CLIK-2025-11-2125","BANK"
"JE-CLIK-00338","CLIK","2025-12-10","1449000","CLIK AP payment","AP-PAY-CLIK-2025-12-2125","BANK"
"JE-CLIK-00339","CLIK","2025-01-10","675000","CLIK AP payment","AP-PAY-CLIK-2025-01-2123","BANK"
"JE-CLIK-00340","CLIK","2025-02-10","630000","CLIK AP payment","AP-PAY-CLIK-2025-02-2123","BANK"
"JE-CLIK-00341","CLIK","2025-03-10","765000","CLIK AP payment","AP-PAY-CLIK-2025-03-2123","BANK"
"JE-CLIK-00342","CLIK","2025-04-10","675000","CLIK AP payment","AP-PAY-CLIK-2025-04-2123","BANK"
"JE-CLIK-00343","CLIK","2025-05-10","720000","CLIK AP payment","AP-PAY-CLIK-2025-05-2123","BANK"
"JE-CLIK-00344","CLIK","2025-06-10","765000","CLIK AP payment","AP-PAY-CLIK-2025-06-2123","BANK"
"JE-CLIK-00345","CLIK","2025-07-10","765000","CLIK AP payment","AP-PAY-CLIK-2025-07-2123","BANK"
"JE-CLIK-00346","CLIK","2025-08-10","765000","CLIK AP payment","AP-PAY-CLIK-2025-08-2123","BANK"
"JE-CLIK-00347","CLIK","2025-09-10","810000","CLIK AP payment","AP-PAY-CLIK-2025-09-2123","BANK"
"JE-CLIK-00348","CLIK","2025-10-10","810000","CLIK AP payment","AP-PAY-CLIK-2025-10-2123","BANK"
"JE-CLIK-00349","CLIK","2025-11-10","810000","CLIK AP payment","AP-PAY-CLIK-2025-11-2123","BANK"
"JE-CLIK-00350","CLIK","2025-12-10","810000","CLIK AP payment","AP-PAY-CLIK-2025-12-2123","BANK"
"JE-ACG-00052","ACG","2025-01-30","4883604","ACG payment of operating costs","PAY-ACG-2025-01","BANK"
"JE-ACG-00053","ACG","2025-03-02","4883604","ACG payment of operating costs","PAY-ACG-2025-03","BANK"
"JE-ACG-00054","ACG","2025-03-30","4883604","ACG payment of operating costs","PAY-ACG-2025-03","BANK"
"JE-ACG-00055","ACG","2025-04-30","4883604","ACG payment of operating costs","PAY-ACG-2025-04","BANK"
"JE-ACG-00056","ACG","2025-05-30","4883604","ACG payment of operating costs","PAY-ACG-2025-05","BANK"
"JE-ACG-00057","ACG","2025-06-30","4883604","ACG payment of operating costs","PAY-ACG-2025-06","BANK"
"JE-ACG-00058","ACG","2025-07-30","4883604","ACG payment of operating costs","PAY-ACG-2025-07","BANK"
"JE-ACG-00059","ACG","2025-08-30","4883604","ACG payment of operating costs","PAY-ACG-2025-08","BANK"
"JE-ACG-00060","ACG","2025-09-30","4942442","ACG payment of operating costs","PAY-ACG-2025-09","BANK"
"JE-ACG-00061","ACG","2025-10-30","4942442","ACG payment of operating costs","PAY-ACG-2025-10","BANK"
"JE-ACG-00062","ACG","2025-11-30","4942442","ACG payment of operating costs","PAY-ACG-2025-11","BANK"
"JE-ACG-00063","ACG","2025-12-30","4942443","ACG payment of operating costs","PAY-ACG-2025-12","BANK"
"JE-ACG-00076","ACG","2025-01-25","20936","ACG admin 5419","OPEX-ACG-2025-01-5419","GL"
"JE-ACG-00077","ACG","2025-02-25","20936","ACG admin 5419","OPEX-ACG-2025-02-5419","GL"
"JE-ACG-00078","ACG","2025-03-25","20936","ACG admin 5419","OPEX-ACG-2025-03-5419","GL"
"JE-ACG-00079","ACG","2025-04-25","20936","ACG admin 5419","OPEX-ACG-2025-04-5419","GL"
"JE-ACG-00080","ACG","2025-05-25","20936","ACG admin 5419","OPEX-ACG-2025-05-5419","GL"
"JE-ACG-00081","ACG","2025-06-25","20936","ACG admin 5419","OPEX-ACG-2025-06-5419","GL"
"JE-ACG-00082","ACG","2025-07-25","20936","ACG admin 5419","OPEX-ACG-2025-07-5419","GL"
"JE-ACG-00083","ACG","2025-08-25","20936","ACG admin 5419","OPEX-ACG-2025-08-5419","GL"
"JE-ACG-00084","ACG","2025-09-25","21188","ACG admin 5419","OPEX-ACG-2025-09-5419","GL"
"JE-ACG-00085","ACG","2025-10-25","21188","ACG admin 5419","OPEX-ACG-2025-10-5419","GL"
"JE-ACG-00086","ACG","2025-11-25","21188","ACG admin 5419","OPEX-ACG-2025-11-5419","GL"
