account_code,account_name_th,account_name_en,account_type,statement,normal_balance,parent_code
3110,ทุนจดทะเบียน,Share Capital - Registered,EQUITY,BS,CR,3000
3120,ส่วนเกินมูลค่าหุ้นสามัญ,Share Premium,EQUITY,BS,CR,3000
3130,ส่วนเกินทุนจากการจัดโครงสร้างทางธุรกิจ,Premium from Business Restructure,EQUITY,BS,CR,3000
3140,สำคัญแสดงสิทธิที่จะซื้อหุ้น,Warrants,EQUITY,BS,CR,3000
3150,กำไรสะสม - จัดสรรแล้ว - สำรองตามกฎหมาย,Retained Earnings - Legal Reserve,EQUITY,BS,CR,3000
3160,กำไรสะสม - ยังไม่ได้จัดสรร,Retained Earnings - Unappropriated,EQUITY,BS,CR,3000
3170,ส่วนของผู้ถือหุ้นส่วนน้อย,Non-Controlling Interest,EQUITY,BS,CR,3000
4000,รายได้,Revenue,HEADER,PL,CR,
4110,รายได้จากการขายรถยนต์,Revenue - Vehicle Sales,REVENUE,PL,CR,4000
4120,รายได้จากการบริการ (ศูนย์บริการ),Revenue - Service Center,REVENUE,PL,CR,4000
4130,รายได้จากการขายอะไหล่,Revenue - Spare Parts,REVENUE,PL,CR,4000
4140,รายได้ค่าก่อสร้าง / งานตัวถัง,Revenue - Body Shop/Construction,REVENUE,PL,CR,4000
4150,เงินปันผลรับ,Dividend Income,REVENUE,PL,CR,4000
4160,รายได้ค่าคอมมิชชั่นประกัน,Insurance Commission Income,REVENUE,PL,CR,4000
4170,กำไรจากการปรับมูลค่าสินค้าคงเหลือ,Gain on Inventory Revaluation,REVENUE,PL,CR,4000
4180,กำไรจากการจำหน่ายอุปกรณ์,Gain on Disposal of Equipment,REVENUE,PL,CR,4000
4190,รายได้อื่น,Other Income,REVENUE,PL,CR,4000
5000,ค่าใช้จ่าย,Expenses,HEADER,PL,DR,
5110,ต้นทุนขาย - รถยนต์,COGS - Vehicles,EXPENSE,PL,DR,5000
5120,ต้นทุนขาย - อะไหล่,COGS - Spare Parts,EXPENSE,PL,DR,5000
5130,ต้นทุนการให้บริการ,Cost of Services,EXPENSE,PL,DR,5000
5210,ต้นทุนในการจัดจำหน่าย,Cost of Distribution,EXPENSE,PL,DR,5000
5310,ค่าใช้จ่ายในการขาย,Selling Expenses,EXPENSE,PL,DR,5000
5410,ค่าใช้จ่ายในการบริหาร,Administrative Expenses,EXPENSE,PL,DR,5000
5411,เงินเดือนและสวัสดิการ,Salaries and Benefits,EXPENSE,PL,DR,5410
5412,ค่าเช่า,Rent,EXPENSE,PL,DR,5410
5413,ค่าสาธารณูปโภค,Utilities,EXPENSE,PL,DR,5410
5414,ค่าเสื่อมราคา,Depreciation,EXPENSE,PL,DR,5410
5415,ค่าตัดจำหน่าย,Amortization,EXPENSE,PL,DR,5410
5416,ค่าธรรมเนียมและบริการวิชาชีพ,Professional Fees,EXPENSE,PL,DR,5410
5417,ค่าใช้จ่ายในการบริหารอื่น,Other Admin Expenses,EXPENSE,PL,DR,5410
5510,ต้นทุนทางการเงิน,Finance Cost,EXPENSE,PL,DR,5000
5610,ค่าใช้จ่ายภาษีเงินได้,Income Tax Expense,EXPENSE,PL,DR,5000
