แผนก,#,ชื่อข้อมูล,ชื่ออื่นๆ,วัตถุประสงค์,รูปแบบ,ความถี่,หมายเหตุ,ได้รับ
AR,22,รายการ Credit Limit,Credit Limit/Credit Facility,ทราบขีดเครดิตของแต่ละลูกค้า,Excel/CSV,รายครั้งที่มีการเปลี่ยน,ต้องมี: ลูกค้า Credit Limit,☐
AR,,ข้อมูลลูกค้า (Customer Master Data),,,,,
AR,23,ข้อมูลลูกค้า,Customer Master/Customer List,เก็บข้อมูลพื้นฐานของลูกค้า,Excel/CSV,รายครั้งที่มีลูกค้าใหม่,ต้องมี: Customer Code ชื่อ ประเภท Contact Address,☐
AR,24,การแบ่งประเภทลูกค้า,Customer Segmentation,แยกว่าลูกค้าไหนจ่ายสด ไหนเครดิต ไหนพิเศษ,Excel/CSV,รายครั้งที่มีการเปลี่ยน,ต้องมี: ลูกค้า ประเภท (Cash/Credit/VIP),☐
Accounting,,ข้อมูลบัญชี (General Ledger),,,,,
Accounting,25,GL / General Ledger,Chart of Accounts/Account Ledger,ได้รายการบัญชีทั้งหมด สำหรับ Indirect Method,Excel/CSV,รายเดือน,ต้องมี: Account Code Account Name Debit Credit Balance,☐
Accounting,26,Trial Balance,TB/Trial Balance Report,ยอดบัญชีทั้งหมดเพื่อ Reconcile,Excel/CSV,รายเดือน,ต้องมี: Account Debit Credit Balance,☐
Accounting,27,Net Profit/Loss,P&L/Income Statement,ได้กำไรสุทธิ สำหรับ Indirect Method,Excel/CSV,รายเดือน,ต้องมี: Revenue Expenses Net Profit,☐
Accounting,,ข้อมูลค่าเสื่อมราคา (Depreciation),,,,,
Accounting,28,ค่าเสื่อมราคา,Depreciation Expense/Amortization,ปรับในการคำนวณ Cash Flow (Indirect Method) เพราะไม่ใช่ Cash Out,Excel/CSV,รายเดือน,ต้องมี: ประเภทสินทรัพย์ จำนวน วิธีคำนวณ,☐
Accounting,,ข้อมูลเจ้าหนี้ (Account Payable),,,,,
Accounting,29,เจ้าหนี้ค้างชำระ,AP Aging/Outstanding Payable,ทราบว่าต้องจ่ายใครเท่าไร สำหรับคำนวณ Working Capital,Excel/CSV,รายเดือน,ต้องมี: เจ้าหนี้ Invoice No. จำนวนค้าง Due Date,☐
Accounting,30,ใบแจ้งหนี้จากเจ้าหนี้,Vendor Invoice/PO Invoice,บันทึกใบแจ้งหนี้ที่ได้รับจากเจ้าหนี้,Excel/CSV,รายวัน,ต้องมี: เจ้าหนี้ Invoice No. วันที่ จำนวนเงิน Due Date,☐
Accounting,,ข้อมูลลูกหนี้บัญชี (Account Receivable GL),,,,,
Accounting,31,ลูกหนี้บัญชี,AR GL/Receivable Ledger,ทราบยอดลูกหนี้ทั้งหมดในบัญชี,Excel/CSV,รายเดือน,ต้องมี: ลูกค้า Invoice Debit Credit Balance,☐
Accounting,,ข้อมูลสินค้า (Inventory),,,,,
Accounting,32,ยอดสินค้าคงคลัง,Inventory Balance/Stock Level,ปรับในการคำนวณ Working Capital (Indirect Method),Excel/CSV,รายเดือน,ต้องมี: SKU ชื่อ จำนวน มูลค่า,☐
Treasury,,สินทรัพย์ถาวร (Fixed Assets),,,,,
Treasury,33,Asset Master List,Fixed Asset Register,บันทึกสินทรัพย์ถาวรทั้งหมด (เครื่องจักร ยานพาหนะ สิ่งปลูกสร้าง),Excel/CSV,รายครั้งที่มี Asset ใหม่,ต้องมี: Asset Code ชื่อ ประเภท ยอดเบิกจ่าย วันซื้อ,☐
Treasury,34,Asset Book Value,Accumulated Depreciation/Net Book Value,ยอดสุทธิสินทรัพย์หลังหักค่าเสื่อมสะสม,Excel/CSV,รายเดือน,ต้องมี: Asset Cost วันซื้อ Useful Life Accumulated Deprec,☐
Treasury,35,Depreciation Schedule,Depreciation Expense by Asset,วางแผนค่าเสื่อมในแต่ละปี สำหรับ Indirect Method,Excel/CSV,รายเดือน,ต้องมี: Asset ยอด % หรือ Amount per Month,☐
Treasury,,หนี้สิน (Loan & Debt),,,,,
Treasury,36,Loan/Debt Schedule,Liabilities/Debt Register,บันทึก Loan ทั้งหมด (ยอด ดอก ระยะเวลา ผู้ให้กู้),Excel/CSV,รายครั้งที่เปลี่ยน,ต้องมี: Loan ID ยอด Interest Rate Term ผู้ให้กู้ Payment Start,☐
Treasury,37,Interest Expense,Accrued Interest,ค่าดอกเบี้ยรายเดือน (Non-Cash) สำหรับ Indirect Method,Excel/CSV,รายเดือน,ต้องมี: Loan ยอด Interest Rate Interest/Month,☐
Treasury,38,Loan Payment Schedule,Debt Repayment/Principal Payment,วางแผนการจ่ายหนี้เงินต้น + ดอก สำหรับ Cash Flow,Excel/CSV,รายเดือน,ต้องมี: Loan Principal Payment Interest Payment Due Date,☐
