account_code,account_name_th,sub_caption_th,fs_caption_th,bs_class,cf_category,acg_dec25,hmw_dec25,clik_dec25,conso_dec25,acg_mar26,hmw_mar26,clik_mar26,conso_mar26,companies_active
11112050,SCB สาขาโลตัส ขอนแก่น 2- กระแสรายวัน 468-120508-5,เงินฝากกระแสรายวัน,เงินสดและรายการเทียบเท่าเงินสด,Asset,Cash & Bank,0,0,2130.93,2130.93,0,0,20.1,20.1,CLIK
11113010,กสิกรไทย-ออมทรัพย์-003-8-21488-8,เงินฝากออมทรัพย์,เงินสดและรายการเทียบเท่าเงินสด,Asset,Cash & Bank,0,25973225.61,7564249.64,33537475.25,0,244992.83410000004,71349.8964,316342.73050000006,"HMW,CLIK"
11113011,KBANK สาขาขอนแก่น-ออมทรัพย์ 983-2-05555-4,เงินฝากออมทรัพย์,เงินสดและรายการเทียบเท่าเงินสด,Asset,Cash & Bank,7439436.42,0,257783.9,7697220.32,70172.59389999999,0,2431.5504,72604.1443,"ACG,CLIK"
11113020,กรุงไทย-ออมทรัพย์-382-0-35555-3,เงินฝากออมทรัพย์,เงินสดและรายการเทียบเท่าเงินสด,Asset,Cash & Bank,0,13.58,1598740.58,1598754.16,0,0.1281,15080.1441,15080.2722,"HMW,CLIK"
11113021,กรุงไทย-ออมทรัพย์-984-0-73182-3,เงินฝากออมทรัพย์,เงินสดและรายการเทียบเท่าเงินสด,Asset,Cash & Bank,209053.86,5233878.51,0,5442932.37,1971.9035999999999,49368.636300000006,0,51340.53990000001,"ACG,HMW"
11113022,กรุงไทย-ออมทรัพย์-437-0-64333-3,เงินฝากออมทรัพย์,เงินสดและรายการเทียบเท่าเงินสด,Asset,Cash & Bank,10754376.33,33324.82,0,10787701.15,101440.81349999999,314.3369,0,101755.15039999998,"ACG,HMW"
11113023,กรุงไทย-ออมทรัพย์-382-0-30955-1,เงินฝากออมทรัพย์,เงินสดและรายการเทียบเท่าเงินสด,Asset,Cash & Bank,1984466.93,20541.83,0,2005008.76,18718.513600000002,193.7611,0,18912.2747,"ACG,HMW"
11113030,กรุงเทพ-ออมทรัพย์-264-462888-1,เงินฝากออมทรัพย์,เงินสดและรายการเทียบเท่าเงินสด,Asset,Cash & Bank,0,73059.09,1828934.25,1901993.34,0,689.1309,17251.449399999998,17940.5803,"HMW,CLIK"
11113031,กรุงเทพ-ออมทรัพย์-297-0-66559-8,เงินฝากออมทรัพย์,เงินสดและรายการเทียบเท่าเงินสด,Asset,Cash & Bank,0,268745.58,468264.74,737010.32,0,2534.9466,4416.9141,6951.860699999999,"HMW,CLIK"
11113032,กรุงเทพ-ออมทรัพย์-260-584777-7,เงินฝากออมทรัพย์,เงินสดและรายการเทียบเท่าเงินสด,Asset,Cash & Bank,0,25164087.64,0,25164087.64,0,237360.6282000065,0,237360.6282000065,HMW
11113033,กรุงเทพ-ออมทรัพย์-301-4-51313-3,เงินฝากออมทรัพย์,เงินสดและรายการเทียบเท่าเงินสด,Asset,Cash & Bank,0,340220.79,0,340220.79,0,3209.1376,0,3209.1376,HMW
11113034,กรุงเทพ-ออมทรัพย์-260-5-99999-0,เงินฝากออมทรัพย์,เงินสดและรายการเทียบเท่าเงินสด,Asset,Cash & Bank,0,8223941.47,0,8223941.47,0,77572.44929999977,0,77572.44929999977,HMW
11113037,กรุงเทพ-ออมทรัพย์-280-4-04236-0,เงินฝากออมทรัพย์,เงินสดและรายการเทียบเท่าเงินสด,Asset,Cash & Bank,0,807470.92,0,807470.92,0,7616.481400000001,0,7616.481400000001,HMW
11113038,กรุงเทพ-ออมทรัพย์-301-0-84621-4,เงินฝากออมทรัพย์,เงินสดและรายการเทียบเท่าเงินสด,Asset,Cash & Bank,0,1024600.25,0,1024600.25,0,9664.556999999999,0,9664.556999999999,HMW
11113040,กรุงเทพ-ออมทรัพย์-264-462889-9,เงินฝากออมทรัพย์,เงินสดและรายการเทียบเท่าเงินสด,Asset,Cash & Bank,0,5466618.82,3451467.85,8918086.67,0,51563.9627,32556.0215,84119.9842,"HMW,CLIK"
11113041,กรุงเทพ-ออมทรัพย์-260-7-25323-0,เงินฝากออมทรัพย์,เงินสดและรายการเทียบเท่าเงินสด,Asset,Cash & Bank,0,57698390.57,0,57698390.57,0,544240.920999999,0,544240.920999999,HMW
11113042,BBL สาขาสุรินทร์-ออมทรัพย์ 301-5-12993-9,เงินฝากออมทรัพย์,เงินสดและรายการเทียบเท่าเงินสด,Asset,Cash & Bank,0,4618420.52,0,4618420.52,0,43563.319699999985,0,43563.319699999985,HMW
11113050,SCB สาขาโลตัส ขอนแก่น 2 - ออมทรัพย์ 425-163890-1,เงินฝากออมทรัพย์,เงินสดและรายการเทียบเท่าเงินสด,Asset,Cash & Bank,0,0,1363835.98,1363835.98,0,0,12864.403,12864.403,CLIK
11113080,บัญชีพัก-ธนาคาร,เงินฝากระหว่างทาง,เงินสดและรายการเทียบเท่าเงินสด,Asset,Cash & Bank,0,0,-189.77,-189.77,0,0,-1.79,-1.79,CLIK
11113090,บัญชีพัก-ระหว่างสาขา,,สินทรัพย์หมุนเวียนอื่น,Asset,Cash & Bank,0,0.22,0,0.22,0,0.0019999995827674867,0,0.0019999995827674867,HMW
11113100,บัญชีพัก-โอนย้ายสินค้าระหว่างสาขา,เงินฝากระหว่างทาง,เงินสดและรายการเทียบเท่าเงินสด,Asset,Cash & Bank,0,0.1,0,0.1,0,0.0009000000357627869,0,0.0009000000357627869,HMW
11113101,บัญชีพัก-ซื้อสินค้า,,เจ้าหนี้การค้า ,Liabilities,Cash & Bank,0,0,1281.95,1281.95,0,0,13.106300000000001,13.106300000000001,CLIK
11113110,เงินฝากระหว่างทาง-ธนาคาร,เงินฝากระหว่างทาง,เงินสดและรายการเทียบเท่าเงินสด,Asset,Cash & Bank,0,245641.12,371261.55,616902.67,0,2317.0135,3501.93,5818.943499999999,"HMW,CLIK"
11113120,บัญชีพัก-ค่าธรรมเนียมธนาคาร,,สินทรัพย์หมุนเวียนอื่น,Asset,Cash & Bank,0,0,871.72,871.72,0,0,8.0518,8.0518,CLIK
11121010,ลูกหนี้การค้า-กิจการที่ไม่เกี่ยวข้องกัน,,ลูกหนี้การค้า,Asset,Cash & Bank,0,1639356.85,540055.39,2179412.24,0,16275.6198,5361.6979,21637.3177,"HMW,CLIK"
11121011,ลูกหนี้การค้า-ไฟแนนซ์,,ลูกหนี้การค้า,Asset,Cash & Bank,0,3205990.96,0,3205990.96,0,31829.2445,0,31829.2445,HMW
11121012,ลูกหนี้การค้า-ประกันภัย,,ลูกหนี้การค้า,Asset,Cash & Bank,0,15041117.53,0,15041117.53,0,149328.9947,0,149328.9947,HMW
11121013,ลูกหนี้การค้า-รถเช่า,,ลูกหนี้การค้า,Asset,Cash & Bank,0,398183.52,0,398183.52,0,3953.1866000000005,0,3953.1866000000005,HMW
11121014,ลูกหนี้การค้า-คอเปอร์เรท,,ลูกหนี้การค้า,Asset,Cash & Bank,0,0,0,0,0,0,0,0,-
11121020,ลูกหนี้การค้า-ฮอนด้า ออโต้โมบิล,,ลูกหนี้การค้า,Asset,Cash & Bank,0,3757195.34,0,3757195.34,0,37301.6301,0,37301.6301,HMW
11121030,ลูกหนี้การค้า-กิจการที่เกี่ยวข้องกัน,,ลูกหนี้หมุนเวียนอื่น,Asset,Cash & Bank,0,0,0,0,0,0,0,0,-
11121099,ค่าเผื่อหนี้สงสัยจะสูญ,,ลูกหนี้การค้า,Asset,Cash & Bank,0,-2975007.59,0,-2975007.59,0,-29536.029600000005,0,-29536.029600000005,HMW
11131010,สินค้าคงเหลือ-รถยนต์,รถยนต์,สินค้าคงเหลือ,Asset,Cash & Bank,0,25413076.67,0,25413076.67,0,261180.43060000002,0,261180.43060000002,HMW
11131011,บัญชีปรับมูลค่าสินค้าคงเหลือ-รถยนต์,อะไหล่รถยนต์และอื่นๆ,สินค้าคงเหลือ,Asset,Cash & Bank,0,0,0,0,0,0,0,0,-
11131020,สินค้าคงเหลือ-อะไหล่,อะไหล่รถยนต์และอื่นๆ,สินค้าคงเหลือ,Asset,Cash & Bank,0,30562701.75,17769748.15,48332449.9,0,314105.2029,182626.8631,496732.06599999993,"HMW,CLIK"
11131030,สินค้าคงเหลือ-อุปกรณ์ตกแต่ง,อะไหล่รถยนต์และอื่นๆ,สินค้าคงเหลือ,Asset,Cash & Bank,0,783299.69,0,783299.69,0,8050.2866,0,8050.2866,HMW
11131040,บัญชีปรับมูลค่าสินค้าคงเหลือ,อะไหล่รถยนต์และอื่นๆ,สินค้าคงเหลือ,Asset,Cash & Bank,0,0,-39390.03,-39390.03,0,0,-404.8272,-404.8272,CLIK
11131050,สินค้าระหว่างทาง,อะไหล่รถยนต์และอื่นๆ,สินค้าคงเหลือ,Asset,Cash & Bank,0,0,0,0,0,0,0,0,-
11131050-1,สินค้าคงเหลือ-อะไหล่ฝากขาย,อะไหล่รถยนต์และอื่นๆ,สินค้าคงเหลือ,Asset,Cash & Bank,0,0,-7274.13,-7274.13,0,0,-74.7592,-74.7592,CLIK
11131060,ทรัพย์สินรอการขาย-รถยนต์,อะไหล่รถยนต์และอื่นๆ,สินค้าคงเหลือ,Asset,Cash & Bank,0,0,0,0,0,0,0,0,-
11131060-1,สินค้าคงเหลือ-อะไหล่ในพื้นที่,อะไหล่รถยนต์และอื่นๆ,สินค้าคงเหลือ,Asset,Cash & Bank,0,0,58067.33,58067.33,0,0,596.7814,596.7814,CLIK
11131070,สินค้าคงเหลือ-อื่น,อะไหล่รถยนต์และอื่นๆ,สินค้าคงเหลือ,Asset,Cash & Bank,0,6275.9,0,6275.9,0,64.5,0,64.5,HMW
11131080,สินค้าคงเหลือ-สำหรับเบิกใช้ในกิจการ,อะไหล่รถยนต์และอื่นๆ,สินค้าคงเหลือ,Asset,Cash & Bank,0,0,0,0,0,0,0,0,-
11131098,ค่าเผื่อการขาดทุนจากมูลค่าสินค้าลดลง,ค่าเผื่อมูลค่าสินค้าลดลง,สินค้าคงเหลือ,Asset,Cash & Bank,0,-1799.72,0,-1799.72,0,-18.496399999999998,0,-18.496399999999998,HMW
11131099,ค่าเผื่อการขาดทุนจากสินค้าล้าสมัย,ค่าเผื่อมูลค่าสินค้าลดลง,สินค้าคงเหลือ,Asset,Cash & Bank,0,-345962.17,-74334.46,-420296.63,0,-3555.5926,-763.9652000000001,-4319.5578000000005,"HMW,CLIK"
11141010,ลูกหนี้เงินทดรอง-พนักงาน,,ลูกหนี้หมุนเวียนอื่น,Asset,Cash & Bank,23524.87,41313.4,87339.8,152178.07,333.282,585.2959999999999,1237.362,2155.94,"ACG,HMW,CLIK"
11141020,ลูกหนี้เงินทดรอง-อื่น,,ลูกหนี้หมุนเวียนอื่น,Asset,Cash & Bank,0,0,0,0,0,1.1641532182693482e-12,0,1.1641532182693482e-12,HMW
11141030,ลูกหนี้เงินทดรอง-กิจการที่เกี่ยวข้องกัน,,ลูกหนี้หมุนเวียนอื่น,Asset,Cash & Bank,0,0,0,0,0,0,0,0,-
11151010,ลูกหนี้อื่น,,ลูกหนี้หมุนเวียนอื่น,Asset,Cash & Bank,34474.54,393343.94,100501.19,528319.67,488.4084,5572.5898,1423.8224,7484.820599999999,"ACG,HMW,CLIK"
11151011,ค่าใช้จ่ายจ่ายล่วงหน้า,,ลูกหนี้หมุนเวียนอื่น,Asset,Cash & Bank,370410.56,1660788.51,689308.68,2720507.75,5247.6876,23528.7547,9914.1002,38542.02945901032,"ACG,HMW,CLIK"
11151012,ภาษีซื้อ,,สินทรัพย์หมุนเวียนอื่น,Asset,Cash & Bank,0.01,0,0,0.01,0.00010000000009313225,0,0,0.00010000000009313225,ACG
11151012-1,ลูกหนี้กรมสรรพากร,,ลูกหนี้หมุนเวียนอื่น,Asset,Cash & Bank,0,256749.66,3170480.91,3427230.57,0,3637.4287,44916.897800000006,48554.3265,"HMW,CLIK"
11151013,ภาษีซื้อยังไม่ถึงกำหนด,,สินทรัพย์หมุนเวียนอื่น,Asset,Cash & Bank,18167.69,290812.78,606266.5,915246.97,167.81009999999998,2686.1602,5599.9223,8453.8926,"ACG,HMW,CLIK"
11151014,ภาษีมูลค่าเพิ่มรอเครดิตขอคืน,,สินทรัพย์หมุนเวียนอื่น,Asset,Cash & Bank,0,0,-0.03,-0.03,0,0,-0.0003,-0.0003,CLIK
11151015,ภาษีเงินได้ถูกหัก ณ ที่จ่าย,,สินทรัพย์ภาษีเงินได้ของงวดปัจจุบัน,Asset,Cash & Bank,0,0,0,0,4096.0929,0,2308.281,6404.3739000000005,"ACG,CLIK"
11151016,ภาษีเงินได้นิติบุคคลจ่ายล่วงหน้า (ภงด.51),,สินทรัพย์หมุนเวียนอื่น,Asset,Cash & Bank,0,0,0,0,0,0,0,0,-
11151017,รายได้ค้างรับ-ค่านายหน้าไฟแนนซ์,,ลูกหนี้หมุนเวียนอื่น,Asset,Cash & Bank,0,88807.15,0,88807.15,0,1258.1504,0,1258.1504,HMW
11151018,รายได้ค้างรับ-ค่านายหน้าประกันภัย,,ลูกหนี้หมุนเวียนอื่น,Asset,Cash & Bank,0,236359.81,0,236359.81,0,3348.5612000000006,0,3348.5612000000006,HMW
11151019,รายได้ค้างรับ-ค่าแรงเคลมฮอนด้า,,ลูกหนี้หมุนเวียนอื่น,Asset,Cash & Bank,0,129587.89,0,129587.89,0,1835.9,0,1835.9,HMW
11151020,รายได้ค้างรับ-อะไหล่เคลมฮอนด้า,,ลูกหนี้หมุนเวียนอื่น,Asset,Cash & Bank,0,1185900.04,0,1185900.04,0,16800.905799999997,0,16800.905799999997,HMW
11151021,เงินปันผลค้างรับ,,ลูกหนี้หมุนเวียนอื่น,Asset,Cash & Bank,0,0,0,0,0,0,0,0,-
11151022,สินทรัพย์หมุนเวียนอื่น,,สินทรัพย์หมุนเวียนอื่น,Asset,Cash & Bank,41015.58,349064.3,160723.7,550803.58,378.85,3224.2140000000004,1484.5620000000001,5087.626,"ACG,HMW,CLIK"
11151023,รายได้ค้างรับ-รางวัลการขาย,,ลูกหนี้หมุนเวียนอื่น,Asset,Cash & Bank,0,3946222.22,0,3946222.22,0,55906.995,0,55906.995,HMW
11151024,contra ภาษีมูลค่าเพิ่ม,,ลูกหนี้หมุนเวียนอื่น,Asset,Cash & Bank,0,0,0,0,0,0,0,0,-
11151025,ลูกหนี้อื่น-กิจการที่เกี่ยวข้องกัน,,ลูกหนี้หมุนเวียนอื่น,Asset,Cash & Bank,0,0,0,0,113379.7647,42.2975,0,0,"ACG,HMW"
11151026,รายได้ค้างรับบริการซ่อม,,ลูกหนี้หมุนเวียนอื่น,Asset,Cash & Bank,0,0,0,0,0,0,0,0,-
11151028,รายได้ค้างรับ-ค่าแรงเคลม-คุณภาพ,,ลูกหนี้หมุนเวียนอื่น,Asset,Cash & Bank,0,278943.26,0,278943.26,0,3951.8503,0,3951.8503,HMW
11151029,รายได้ค้างรับ-ค่าแรงเคลม-Exclusive,,ลูกหนี้หมุนเวียนอื่น,Asset,Cash & Bank,0,168254.61,0,168254.61,0,2383.7,0,2383.7,HMW
11151030,รายได้ค้างรับ-อะไหล่เคลม-Exclusive,,ลูกหนี้หมุนเวียนอื่น,Asset,Cash & Bank,0,205134.38,0,205134.38,0,2906.1837,0,2906.1837,HMW
11151031,รายได้ค่าขนส่งค้างรับ-อะไหล่เคลมฮอนด้า,,ลูกหนี้หมุนเวียนอื่น,Asset,Cash & Bank,0,52656.77,0,52656.77,0,746,0,746,HMW
11151032,รายได้ค้างรับ-อื่น,,ลูกหนี้หมุนเวียนอื่น,Asset,Cash & Bank,0,56677.31,0,56677.31,0,802.9599000000001,0,802.9599000000001,HMW
11151033,รายได้ค้างรับ Honda - สนับสนุนแคมเปญ,,ลูกหนี้หมุนเวียนอื่น,Asset,Cash & Bank,0,257562.25,0,257562.25,0,3648.9408999999996,0,3648.9408999999996,HMW
11151034,ภาษีเงินได้ถูกหัก ณ ที่จ่าย (รอเอกสาร),,สินทรัพย์ภาษีเงินได้ของงวดปัจจุบัน,Asset,Cash & Bank,0,0,0,0,0,2227.5501999999997,41.5728,2269.123,"HMW,CLIK"
11151035,ลูกหนี้เงิน-พนักงาน,,ลูกหนี้หมุนเวียนอื่น,Asset,Cash & Bank,0,0.16,3256.08,3256.24,0,0.0022999999999999982,46.1296,46.131899999999995,"HMW,CLIK"
11151037,รายได้ค้างรับ-อุปกรณ์ตกแต่ง ฟิล์มเคลม-Exclusive,,ลูกหนี้หมุนเวียนอื่น,Asset,Cash & Bank,0,0,0,0,0,0,0,0,-
11212010,เงินให้กู้ยืมแก่บริษัทย่อย,,เงินให้กู้ยืมระยะยาวแก่บริษัทย่อย,Asset,Trade Receivables / AR,0,0,0,0,0,0,0,0,-
11212011,ดอกเบี้ยค้างรับจากบริษัทย่อย,,ลูกหนี้หมุนเวียนอื่น,Asset,Trade Receivables / AR,0,0,0,0,0,0,0,0,-
11212030,เงินให้กู้ยืมแก่บริษัทอื่น,,เงินให้กู้ยืมระยะยาวแก่บริษัทย่อย,Asset,Trade Receivables / AR,0,0,0,0,0,2500000,0,0,HMW
11212031,ดอกเบี้ยค้างรับจากบริษัทอื่น,,ลูกหนี้หมุนเวียนอื่น,Asset,Trade Receivables / AR,0,0,0,0,0,3450.4109999999996,0,0,HMW
11213010,เงินลงทุนในบริษัทย่อย,,เงินลงทุนในบริษัทย่อย,Asset,Trade Receivables / AR,0,0,0,0,5985900,0,0,0,ACG
11214010,อสังหาริมทรัพย์เพื่อการลงทุน,,อสังหาริมทรัพย์เพื่อการลงทุน,Asset,Trade Receivables / AR,0,166633508.96,0,166633508.96,0,1662246.1676999999,0,1662246.1676999999,HMW
11221010,ที่ดิน,,ที่ดิน อาคารและอุปกรณ์ ,Asset,Trade Receivables / AR,0,235810341.4,0,235810341.4,0,2324088.3218,0,2324088.3218,HMW
11221020,ส่วนปรับปรุงที่ดิน,,ที่ดิน อาคารและอุปกรณ์ ,Asset,Trade Receivables / AR,0,15120422.8,0,15120422.8,0,149023.1422,0,149023.1422,HMW
11221030,อาคารและสิ่งปลูกสร้าง,,ที่ดิน อาคารและอุปกรณ์ ,Asset,Trade Receivables / AR,0,305121208.94,54569570.21,359690779.15,0,3007199.066,537824.1688,3545023.2348,"HMW,CLIK"
11221040,ส่วนปรับปรุงอาคาร,,ที่ดิน อาคารและอุปกรณ์ ,Asset,Trade Receivables / AR,0,73454013.98,40518742.26,113972756.24,0,723944.5695,397961.6338,1123287.2578999999,"HMW,CLIK"
11221050,เครื่องคอมพิวเตอร์,,ที่ดิน อาคารและอุปกรณ์ ,Asset,Trade Receivables / AR,0,10073757.75,3980195.97,14053953.72,0,99284.46139999999,39076.9913,138512.28709999996,"HMW,CLIK"
11221060,เครื่องมือเครื่องใช้อุปกรณ์ช่าง,,ที่ดิน อาคารและอุปกรณ์ ,Asset,Trade Receivables / AR,0,56198215.76,35603950.42,91802166.18,0,553875.696,349871.162,904779.4133000001,"HMW,CLIK"
11221070,เครื่องตกแต่งและติดตั้งสำนักงาน,,ที่ดิน อาคารและอุปกรณ์ ,Asset,Trade Receivables / AR,0,17078549.67,11563055.18,28641604.85,0,168321.9557,113843.13140000001,282284.5637,"HMW,CLIK"
11221080,ยานพาหนะ,,ที่ดิน อาคารและอุปกรณ์ ,Asset,Trade Receivables / AR,0,37466775.34,0,37466775.34,0,369263.25840000005,0,369263.25840000005,HMW
11221090,อุปกรณ์สำนักงาน,,ที่ดิน อาคารและอุปกรณ์ ,Asset,Trade Receivables / AR,0,6431623.21,1309876.48,7741499.69,0,63388.48539999999,12885.8701,76298.30359999998,"HMW,CLIK"
11221100,งานระหว่างการก่อสร้าง,,ที่ดิน อาคารและอุปกรณ์ ,Asset,Trade Receivables / AR,0,1255.07,0,1255.07,0,12.3697,0,12.3697,HMW
11221120,สินทรัพย์รอการจำหน่าย หรือ ทำลาย,,ที่ดิน อาคารและอุปกรณ์ ,Asset,Trade Receivables / AR,0,0,64432.37,64432.37,0,0,635.0295,635.0295,CLIK
11221130,สินทรัพย์รอการจำหน่าย หรือ ทำลาย,,ที่ดิน อาคารและอุปกรณ์ ,Asset,Trade Receivables / AR,0,43600.17,0,43600.17,0,429.7125,0,429.7125,HMW
11222020,ค่าเสื่อมราคาสะสม-ส่วนปรับปรุงที่ดิน,,ที่ดิน อาคารและอุปกรณ์ ,Asset,Trade Receivables / AR,0,-421676.22,0,-421676.22,0,-4155.9364000000005,0,-4155.9364000000005,HMW
11222030,ค่าเสื่อมราคาสะสม-อาคารและสิ่งปลูกสร้าง,,ที่ดิน อาคารและอุปกรณ์ ,Asset,Trade Receivables / AR,0,-109171101.62,-23430539.48,-132601641.1,0,-1075963.3391685688,-230925.5941,-1306888.9332685687,"HMW,CLIK"
11222031,ค่าเสื่อมราคาสะสม-อาคารและสิ่งปลูกสร้าง - IP,,อสังหาริมทรัพย์เพื่อการลงทุน,Asset,Trade Receivables / AR,0,-22302223.42,0,-22302223.42,0,-222474.972999331,0,-222474.972999331,HMW
11222040,ค่าเสื่อมราคาสะสม-ส่วนปรับปรุงอาคาร,,ที่ดิน อาคารและอุปกรณ์ ,Asset,Trade Receivables / AR,0,-58243620.25,-17054493.29,-75298113.54,0,-574034.6959770997,-166126.3374,-742119.5579577025,"HMW,CLIK"
11222041,ค่าเสื่อมราคาสะสม-ส่วนปรับปรุงอาคาร - IP,,อสังหาริมทรัพย์เพื่อการลงทุน,Asset,Trade Receivables / AR,0,-166917.54,0,-166917.54,0,-1665.0795550006396,0,-1665.0795550006396,HMW
11222050,ค่าเสื่อมราคาสะสม-เครื่องคอมพิวเตอร์,,ที่ดิน อาคารและอุปกรณ์ ,Asset,Trade Receivables / AR,0,-8410275.3,-3233294.76,-11643570.06,0,-82889.59040000002,-31715.718399999998,-114756.14271025542,"HMW,CLIK"
11222060,ค่าเสื่อมราคาสะสม-เครื่องมือเครื่องใช้อุปกรณ์ช่าง,,ที่ดิน อาคารและอุปกรณ์ ,Asset,Trade Receivables / AR,0,-49508935.78,-18079388.86,-67588324.64,0,-487947.8092,-175997.3505,-666133.7880954519,"HMW,CLIK"
11222070,ค่าเสื่อมราคาสะสม-เครื่องตกแต่งและติดตั้งสำนักงาน,,ที่ดิน อาคารและอุปกรณ์ ,Asset,Trade Receivables / AR,0,-16838587.91,-8845145.01,-25683732.92,0,-165956.95209999997,-87056.08189999999,-253132.51062552235,"HMW,CLIK"
11222080,ค่าเสื่อมราคาสะสม-ยานพาหนะ,,ที่ดิน อาคารและอุปกรณ์ ,Asset,Trade Receivables / AR,0,-25690456.8,0,-25690456.8,0,-253198.7795,0,-253198.7795,HMW
11222090,ค่าเสื่อมราคาสะสม-อุปกรณ์สำนักงาน,,ที่ดิน อาคารและอุปกรณ์ ,Asset,Trade Receivables / AR,0,-6244648.6,-949440.1,-7194088.7,0,-61545.71,-9299.5126,-70903.15646750391,"HMW,CLIK"
11223010,ลิขสิทธิ์คอมพิวเตอร์,,สินทรัพย์ไม่มีตัวตน,Asset,Trade Receivables / AR,6845883.6,10606398.02,415859.87,17868141.49,66150.39110000001,102487.48270000001,4018.37,172656.24380000003,"ACG,HMW,CLIK"
11223020,โปรแกรม,,สินทรัพย์ไม่มีตัวตน,Asset,Trade Receivables / AR,3996909.2,0,0,3996909.2,38621.3267,0,0,38621.3267,ACG
11223021,โปรแกรม-ระหว่างทำ,,สินทรัพย์ไม่มีตัวตน,Asset,Trade Receivables / AR,1085214.72,0,0,1085214.72,10486.210700000001,0,0,10486.210700000001,ACG
11224010,ค่าตัดจำหน่ายสะสม-ลิขสิทธิ์คอมพิวเตอร์,,สินทรัพย์ไม่มีตัวตน,Asset,Trade Receivables / AR,-4937243.31,-10379175.95,-289659.29,-15606078.55,-47707.585300000006,-100291.8817,-2798.9193,-150798.38629999998,"ACG,HMW,CLIK"
11224020,ค่าตัดจำหน่ายสะสม-โปรแกรม,,สินทรัพย์ไม่มีตัวตน,Asset,Trade Receivables / AR,-887173.86,0,0,-887173.86,-8572.5819,0,0,-8572.5819,ACG
11225010,ค่าเสื่อมราคาสะสมอสังหาริมทรัพย์เพื่อการลงทุน,,อสังหาริมทรัพย์เพื่อการลงทุน,Asset,Trade Receivables / AR,0,0,0,0,0,0,0,0,-
11231010,เงินมัดจำจ่าย,,สินทรัพย์หมุนเวียนอื่น,Asset,Trade Receivables / AR,0,6116.88,0,6116.88,0,56.5,0,56.5,HMW
11231010-1,เงินมัดจำจ่าย,,สินทรัพย์หมุนเวียนอื่น,Asset,Trade Receivables / AR,0,0,23866.66,23866.66,0,0,220.45,220.45,CLIK
11231020,เงินค้ำประกัน,,สินทรัพย์ไม่หมุนเวียนอื่น,Asset,Trade Receivables / AR,0,752455.68,8403771.14,9156226.82,0,7547.2928,84291.6374,91838.9302,"HMW,CLIK"
11231030,สินทรัพย์ไม่หมุนเวียนอื่น,,สินทรัพย์ไม่หมุนเวียนอื่น,Asset,Trade Receivables / AR,0,772386.18,0,772386.18,0,7747.2,0,7747.2,HMW
11231040,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,Asset,Trade Receivables / AR,1508366.89,7936792.1,6862233.75,16307392.74,15802.0613,83147.99019999999,71890.6251,170840.67659999998,"ACG,HMW,CLIK"
