บริษัท ออโตคอร์ป โฮลดิ้ง จำกัด (มหาชน) และบริษัทย่อย,,,,,,,,,,,,,,,,,,,,,
งบกระแสเงินสด,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,งบการเงินรวม,,,,งบการเงินเฉพาะกิจการ,,,,,,,,,
ผลขาดทุนจากการด้อยค่าด้านเครดิตที่คาดว่าจะเกิดขึ้น,,,,,,,,,,0,,0,,0,,,,,,,
กลับรายการผลขาดทุนจากการปรับมูลค่าสินค้าคงเหลือ,,,,,,,7,-916786,,-5940759,,0,,0,,,,,,,
กำไรจากการจำหน่ายอุปกรณ์,,,,,,,,-1347426,,-1544768,,0,,0,,,,,,,
ขาดทุนจากการเปลี่ยนแปลงสัญญาเช่า,,,,,,,11,0,,911601,,0,,0,,,,,,,
เงินปันผลรับ,,,,,,,8,0,,0,,-15959273,,-7979636,,,,,,,
การจ่ายโดยใช้หุ้นเป็นเกณฑ์,,,,,,,14,767884,,3279447,,767884,,3279447,,,,,,,
ดอกเบี้ยรับ,,,,,,,,-491541,,-826945,,-50195,,-76363,,,,,,,
,,,,,,,,125903941,,116301620,,4426008,,3995284,,,,,,,
การเปลี่ยนแปลงในสินทรัพย์และหนี้สินดำเนินงาน,,,,,,,,,,,,,,,,,,,,,
ลูกหนี้การค้ากิจการอื่น,,,,,,,,593664,,25977178,,0,,0,,,,,,,
ลูกหนี้หมุนเวียนอื่น,,,,,,,,-3291363,,899201,,297155,,-1285017,,,,,,,
สินค้าคงเหลือ,,,,,,,,44824978,,43546862,,0,,0,,,,,,,
สินทรัพย์หมุนเวียนอื่น,,,,,,,,1319218,,3283893,,-9109,,27992,,,,,,,
ลูกหนี้ไม่หมุนเวียนอื่น,,,,,,,,-59323,,-249883,,0,,0,,,,,,,
สินทรัพย์ไม่หมุนเวียนอื่น,,,,,,,,-155838,,-116179,,0,,0,,,,,,,
เจ้าหนี้การค้า,,,,,,,,4392612,,-6544856,,0,,0,,,,,,,
เจ้าหนี้หมุนเวียนอื่น,,,,,,,,-1170818,,-3166726,,-1177220,,39339,,,,,,,
หนี้สินหมุนเวียนอื่น,,,,,,,,2935759,,-1156955,,1045,,-47887,,,,,,,
ประมาณการหนี้สินไม่หมุนเวียนอื่น,,,,,,,,,,,,,,0,,,,,,,
หนี้สินไม่หมุนเวียนอื่น,,,,,,,,0,,0,,0,,0,,,,,,,
กระแสเงินสดสุทธิได้มาจากการดำเนินงาน ,,,,,,,,175292830,,178774155,,3537879,,2729711,,,,,,,
ภาษีเงินได้ (จ่ายออก) รับคืน,,,,,,,,-16154376,,-18986735,,68839,,786453,,,,,,,
กระแสเงินสดสุทธิได้มาจากกิจกรรมดำเนินงาน ,,,,,,,,159138454,,159787420,,3606718,,3516164,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
บริษัท ออโตคอร์ป โฮลดิ้ง จำกัด (มหาชน) และบริษัทย่อย,,,,,,,,,,,,,,,,,,,,,
งบกระแสเงินสด,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,งบการเงินรวม,,,,งบการเงินเฉพาะกิจการ,,,,,,,,,
,,,,,,,,สำหรับปีสิ้นสุดวันที่ 31 ธันวาคม ,,,,สำหรับปีสิ้นสุดวันที่ 31 ธันวาคม ,,,,,,,,,
,,,,,,,หมายเหตุ,2568,,2567,,2568,,2567,,,,,,,
,,,,,,,,(บาท) ,,,,,,,,,,,,,
กระแสเงินสดจากกิจกรรมลงทุน,,,,,,,,,,,,,,,,,,,,,
เงินสดจ่ายเพื่อซื้ออุปกรณ์,,,,,,,,-3063493,,-18203626,,0,,0,,,,,,,
เงินสดรับจากการจำหน่ายอุปกรณ์,,,,,,,,3272996,,4447972,,0,,0,,,,,,,
เงินสดจ่ายเพื่อซื้อสินทรัพย์ไม่มีตัวตน,,,,,,,,-1134658,,-1620269,,-1022979,,-1530843,,,,,,,
เงินสดจ่ายเพื่อการลงทุนในบริษัทย่อย,,,,,,,8,0,,0,0,0,,0,,,,,,,
เงินสดรับชำระคืนจากเงินให้กู้ยืมระยะยาวแก่บริษัทย่อย,,,,,,,,0,,0,0,0,,0,,,,,,,
เงินปันผลรับ,,,,,,,4,0,,0,,15959273,,7979636,,,,,,,
ดอกเบี้ยรับ,,,,,,,,491541,,826945,,50195,,76363,,,,,,,
กระแสเงินสดสุทธิได้มาจาก (ใช้ไปใน) กิจกรรมลงทุน,,,,,,,,-433614,,-14548978,,14986489,,6525156,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
กระแสเงินสดจากกิจกรรมจัดหาเงิน,,,,,,,,,,,,,,,,,,,,,
เงินสดรับจากการออกหุ้นทุน,,,,,,,,,,,,,,,,,,,,,
ค่าใช้จ่ายในการออกหุ้น,,,,,,,,,,,,,,,,,,,,,
เงินเบิกเกินบัญชีธนาคารลดลง,,,,,,,,,,0,,0,,0,,,,,,,
เงินสดรับจากเงินกู้ยืมระยะสั้นจากสถาบันการเงิน,,,,,,,,920000000,,1800000000,,0,0,0,,,,,,,
เงินสดจ่ายเพื่อชำระเงินกู้ยืมระยะสั้นจากสถาบันการเงิน,,,,,,,,-1020000000,,-1900000000,,0,0,0,,,,,,,
เงินสดจ่ายเพื่อชำระเงินกู้ยืมระยะยาวจากสถาบันการเงิน,,,,,,,,-11150000,,-16200000,,0,0,0,,,,,,,
เงินสดจ่ายชำระหนี้สินตามสัญญาเช่า,,,,,,,,-16661489,,-16874374,,0,0,0,,,,,,,
เงินปันผลจ่ายให้ผู้ถือหุ้นของบริษัท,,,,,,,,-15956511,,-8003940,,-15956511,,-8003940,,,,,,,
เงินปันผลจ่ายให้ส่วนได้เสียที่ไม่มีอำนาจควบคุม,,,,,,,,-40727,,-20364,,0,0,0,,,,,,,
เงินสดรับจากการเรียกทุนชำระของบริษัทย่อย,,,,,,,,,,,,0,0,0,,,,,,,
ดอกเบี้ยจ่าย,,,,,,,,-7024093,,-11407255,,0,0,0,,,,,,,
กระแสเงินสดสุทธิใช้ไปในกิจกรรมจัดหาเงิน,,,,,,,,-150832820,,-152505933,,-15956511,,-8003940,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
เงินสดและรายการเทียบเท่าเงินสดเพิ่มขึ้น (ลดลง) สุทธิ,,,,,,,,7872020,,-7267491,,2636696,,2037380,,,,,,,
เงินสดและรายการเทียบเท่าเงินสด ณ วันที่ 1 มกราคม,,,,,,,,165871149,,173138640,,15003473,,12966093,,,,,,,
เงินสดและรายการเทียบเท่าเงินสด ณ วันที่ 31 ธันวาคม,,,,,,,5,173743169,,165871149,,17640169,,15003473,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
รายการที่ไม่ใช่เงินสด,,,,,,,,,,,,,,,,,,,,,
เจ้าหนี้จากการซื้ออุปกรณ์,,,,,,,,296345,,130848,,0,0,0,,,,,,,
ลูกหนี้จากการขายอุปกรณ์,,,,,,,,580797,,0,,0,,0,,,,,,,
เงินปันผลค้างจ่าย,,,,,,,,3489,,0,,3489,0,0,,,,,,,
โอนที่ดิน อาคารและอุปกรณ์เป็นอสังหาริมทรัพย์เพื่อการลงทุน,,,,,,,,,,0,,0,,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
